label,mse,mae,max_err,corr
random_plate_0,2.738204578988994e-23,4.096984580208796e-12,1.866435825337298e-11,0.9999999999999983
random_plate_1,1.9478027248546966e-22,1.201373184871189e-11,3.006608156885804e-11,0.9999999999999992
random_plate_2,2.5281510954033094e-22,1.233256942345403e-11,5.023224197708842e-11,1.0
random_plate_3,1.4173539195784423e-23,2.94442011508303e-12,1.3914369656475856e-11,0.9999999999999998
random_plate_4,6.058201365814608e-24,1.9675759665952865e-12,7.536856555523386e-12,1.0
random_plate_5,6.925381003424345e-23,6.51253413654379e-12,2.752040262343769e-11,0.9999999999999994
random_plate_6,5.0566542265718454e-24,1.8692046533532424e-12,5.341345421516763e-12,1.0
random_plate_7,5.003455019402771e-22,1.913789271750564e-11,5.165355643210745e-11,1.0
random_plate_8,9.621661917806389e-24,2.437391915334347e-12,9.63426040334614e-12,1.0
random_plate_9,7.44514737921606e-22,2.335639597371715e-11,6.252777115522967e-11,0.9999999999999993
