loss,fdc_pearson_7d,fdc_pearson_6d,fdc_spearman_7d,fdc_spearman_6d
SC+LogMag,0.2996624683055393,0.33814686628807916,0.27614899953724986,0.31368489492122376
CQT+LogDec,0.2843604046190712,0.30831846862238016,0.31391495972873995,0.35280602295150576
L1_STFT,0.2783237061141287,0.34499973335867606,0.29998349710785494,0.3521715550428888
MSS,0.25716251196989337,0.31859828375596105,0.24869078546955697,0.29514397828599453
Dispersion,0.24153926631591233,0.31010949461754006,0.28974082993520744,0.3738204897051224
Gammatone,0.2182890354521815,0.2532212399681638,0.20691286197821546,0.23694980590724057
Mel,0.20099986541356357,0.2561730412924139,0.2010073980018495,0.23703523500880874
ComplexSTFT,0.1736334084859278,0.19049280809513036,0.1641910637028563,0.17161836540459136
InstFreq,0.17019461645449296,0.18837827785398353,0.15506422776605694,0.16457738323733495
CQT_L1,0.16193290584259068,0.1866984274261042,0.1598254937361427,0.18535569133892282
VQT,0.127991167442852,0.14228111292230267,0.11951448062862013,0.1268028767251306
Envelope,0.10605785013889585,0.08172306581946298,0.09625236831309207,0.08976198144049535
GroupDelay,0.07336269801958337,0.06754687120037274,0.05764996068410891,0.04906878551719638
ESR,0.07095699810189549,0.024321403668469528,0.05366975391743847,0.002140538785134697
