CMA-ES full   L1_STFT,DDSP  l1_stft_tgtnorm,CMA-ES 1rst   l1_stft,CMA-ES 1rst   mss,CMA-ES 1rst   smoothmss,CMA-ES 1rst   l1_stft_pow,CMA-ES 1rst   l1_stft_c2,CMA-ES 1rst   l1_stft_log
1.149414446e-14,5.298998678e-04,1.267326302e-01,1.743081574e-01,1.235332939e-01,1.108575733e-01,1.200848796e-01,5.801615806e-02
4.353477465e-14,2.849490765e-04,3.246670108e-09,3.046979444e-09,1.294755136e-07,6.869118270e-03,1.591082451e-02,6.711171915e-02
2.040598087e-13,2.259600516e-05,5.964038101e-08,4.412143874e-02,7.630451184e-02,1.910200933e-02,1.730155844e-01,1.726231512e-01
1.521266693e-13,1.118790509e-05,4.987083873e-10,1.820706084e-03,2.226888926e-01,8.074489792e-02,9.393069259e-02,2.450713168e-01
1.485295259e-14,3.549799268e-04,8.163698118e-10,1.127424708e-03,4.494132211e-08,2.051824080e-02,1.394363245e-04,7.246155890e-02
2.524147192e-14,1.642162495e-03,5.606147837e-10,1.625394222e-10,1.034946372e-01,6.660380549e-02,3.606487106e-02,6.211649632e-02
3.115733988e-15,2.871590947e-06,1.829932468e-01,1.586997830e-02,1.533416636e-02,2.662455392e-05,1.262583080e-11,1.351976858e-03
2.182603005e-15,2.011031806e-04,1.431090794e-09,3.213846274e-09,3.312855491e-02,7.932374459e-03,4.666722517e-02,3.775203457e-03
6.434374973e-15,1.576956400e-02,7.384892323e-03,8.720603404e-03,1.203970954e-07,1.297184169e-02,1.424223652e-02,3.356993183e-03
1.010291179e-14,8.469716920e-05,1.232256936e-02,2.141567414e-02,1.045189517e-01,1.495931133e-01,2.063138351e-01,1.757976009e-01
9.933823056e-15,1.229253379e-04,2.378950107e-01,2.301295659e-01,2.255779390e-01,1.571066001e-01,9.952681924e-02,8.544772462e-02
2.566898127e-15,6.400890867e-05,7.366413620e-02,6.731040603e-02,9.734561810e-02,3.447845929e-02,1.375979598e-01,5.649619782e-02
1.094208644e-13,4.948226367e-04,2.920396104e-03,2.564651098e-01,3.703370997e-02,7.250211417e-02,3.285298294e-02,1.387518974e-01
1.408644217e-15,6.135770681e-05,1.289339192e-01,2.377884610e-03,1.017247928e-08,1.418336962e-02,1.553067596e-02,8.286362115e-02
1.661304531e-13,1.031549192e-01,1.875996882e-01,2.964117693e-01,1.292534482e-02,4.681387489e-02,1.492543366e-01,1.069782754e-02
2.311711769e-14,4.382914882e-05,1.189569030e-09,1.909821275e-01,8.431945987e-02,6.738805346e-02,1.521225146e-01,1.510141956e-01
