step,epoch,final_spec_losses_weighted/2048_spectrogram_logmag_eps,in_domain_validation_losses/loss_total,in_domain_validation_losses/raw_params_loss,in_domain_validation_losses/raw_spec_loss,in_domain_validation_losses/weighted_params_loss,in_domain_validation_losses/weighted_spec_loss,in_domain_validation_metrics/lsd_value,in_domain_validation_metrics/mean_average_error,in_domain_validation_metrics/mfcc_mae,in_domain_validation_metrics/paper_lsd_value,in_domain_validation_metrics/pearson_fft,in_domain_validation_metrics/pearson_stft,in_domain_validation_metrics/spectral_convergence_value,loss/parameters_decay_factor,loss/spec_loss_rampup_factor,lr-Adam,normalized_losses/post_rampup_weighted_params_loss,normalized_losses/post_rampup_weighted_spec_loss,normalized_losses/running_avg_parameters_loss,normalized_losses/running_avg_spectrogram_loss,train_loss_epoch,train_loss_step,train_losses/loss_total,train_losses/raw_params_loss,train_losses/raw_spec_loss,train_losses/weighted_params_loss,train_losses/weighted_spec_loss
0,,,5.307446002960205,,,,,,,,,,,,0.0,1.0,,0.0,5.905925750732422,5.229793548583984,5.222963809967041,,,,,,,
1,,,5.36606502532959,,,,,,,,,,,,0.0,1.0,,0.0,5.7649993896484375,5.228384494781494,5.222963809967041,,,,,,,
2,,,5.94318151473999,,,,,,,,,,,,0.0,1.0,,0.0,5.314908981323242,5.223883628845215,5.222963809967041,,,,,,,
3,,,5.356156349182129,,,,,,,,,,,,0.0,1.0,,0.0,5.2452826499938965,5.223187446594238,5.222963809967041,,,,,,,
4,,,5.845268249511719,,,,,,,,,,,,0.0,1.0,,0.0,5.387309551239014,5.224607467651367,5.222963809967041,,,,,,,
5,,,5.466665744781494,,,,,,,,,,,,0.0,1.0,,0.0,5.131617546081543,5.222050666809082,5.222963809967041,,,,,,,
6,,,5.370053768157959,,,,,,,,,,,,0.0,1.0,,0.0,5.442824840545654,5.225162506103516,5.222963809967041,,,,,,,
7,,,5.086812973022461,,,,,,,,,,,,0.0,1.0,,0.0,5.51304817199707,5.225864887237549,5.222963809967041,,,,,,,
8,,,5.513312339782715,,,,,,,,,,,,0.0,1.0,,0.0,5.492096424102783,5.225655555725098,5.222963809967041,,,,,,,
9,,,4.994505882263184,,,,,,,,,,,,0.0,1.0,,0.0,5.539287090301514,5.2261271476745605,5.222963809967041,,,,,,,
10,,,4.904571533203125,,,,,,,,,,,,0.0,1.0,,0.0,5.683664321899414,5.2275710105896,5.222963809967041,,,,,,,
