step,epoch,final_spec_losses_weighted/2048_spectrogram_mag,in_domain_validation_losses/loss_total,in_domain_validation_losses/raw_params_loss,in_domain_validation_losses/raw_spec_loss,in_domain_validation_losses/weighted_params_loss,in_domain_validation_losses/weighted_spec_loss,in_domain_validation_metrics/lsd_value,in_domain_validation_metrics/mean_average_error,in_domain_validation_metrics/mfcc_mae,in_domain_validation_metrics/paper_lsd_value,in_domain_validation_metrics/pearson_fft,in_domain_validation_metrics/pearson_stft,in_domain_validation_metrics/spectral_convergence_value,loss/parameters_decay_factor,loss/spec_loss_rampup_factor,lr-Adam,normalized_losses/post_rampup_weighted_params_loss,normalized_losses/post_rampup_weighted_spec_loss,normalized_losses/running_avg_parameters_loss,normalized_losses/running_avg_spectrogram_loss,train_loss_epoch,train_loss_step,train_losses/loss_total,train_losses/raw_params_loss,train_losses/raw_spec_loss,train_losses/weighted_params_loss,train_losses/weighted_spec_loss
0,,,82.40057373046875,,,,,,,,,,,,0.0,1.0,,0.0,126.92774963378906,144.984130859375,145.16651916503906,,,,,,,
1,,,83.49664306640625,,,,,,,,,,,,0.0,1.0,,0.0,128.78146362304688,145.00267028808594,145.16651916503906,,,,,,,
2,,,77.85533142089844,,,,,,,,,,,,0.0,1.0,,0.0,79.66411590576172,144.51150512695312,145.16651916503906,,,,,,,
3,,,76.97945404052734,,,,,,,,,,,,0.0,1.0,,0.0,100.05224609375,144.7153778076172,145.16651916503906,,,,,,,
4,,,79.18605041503906,,,,,,,,,,,,0.0,1.0,,0.0,90.69782257080078,144.62184143066406,145.16651916503906,,,,,,,
5,,,68.26954650878906,,,,,,,,,,,,0.0,1.0,,0.0,66.64573669433594,144.38131713867188,145.16651916503906,,,,,,,
6,,,87.60501861572266,,,,,,,,,,,,0.0,1.0,,0.0,95.9500961303711,144.6743621826172,145.16651916503906,,,,,,,
7,,,77.82329559326172,,,,,,,,,,,,0.0,1.0,,0.0,75.88243865966797,144.4736785888672,145.16651916503906,,,,,,,
8,,,81.38153076171875,,,,,,,,,,,,0.0,1.0,,0.0,82.25889587402344,144.53744506835938,145.16651916503906,,,,,,,
9,,,68.89521789550781,,,,,,,,,,,,0.0,1.0,,0.0,72.62873840332031,144.44114685058594,145.16651916503906,,,,,,,
10,,,81.78411102294922,,,,,,,,,,,,0.0,1.0,,0.0,95.64152526855469,144.67127990722656,145.16651916503906,,,,,,,
11,,,80.61132049560547,,,,,,,,,,,,0.0,1.0,,0.0,88.32996368408203,144.59815979003906,145.16651916503906,,,,,,,
12,,,75.98815155029297,,,,,,,,,,,,0.0,1.0,,0.0,88.9418716430664,144.60427856445312,145.16651916503906,,,,,,,
13,,,75.75205993652344,,,,,,,,,,,,0.0,1.0,,0.0,78.80732727050781,144.5029296875,145.16651916503906,,,,,,,
14,,,76.02598571777344,,,,,,,,,,,,0.0,1.0,,0.0,77.43885040283203,144.48924255371094,145.16651916503906,,,,,,,
15,,,83.59133911132812,,,,,,,,,,,,0.0,1.0,,0.0,85.088134765625,144.56573486328125,145.16651916503906,,,,,,,
16,,,82.39811706542969,,,,,,,,,,,,0.0,1.0,,0.0,72.83688354492188,144.44322204589844,145.16651916503906,,,,,,,
