step,epoch,final_spec_losses_weighted/1024_spectrogram_logmag,final_spec_losses_weighted/1024_spectrogram_mag,final_spec_losses_weighted/128_spectrogram_logmag,final_spec_losses_weighted/128_spectrogram_mag,final_spec_losses_weighted/2048_spectrogram_logmag,final_spec_losses_weighted/2048_spectrogram_mag,final_spec_losses_weighted/256_spectrogram_logmag,final_spec_losses_weighted/256_spectrogram_mag,final_spec_losses_weighted/512_spectrogram_logmag,final_spec_losses_weighted/512_spectrogram_mag,final_spec_losses_weighted/64_spectrogram_logmag,final_spec_losses_weighted/64_spectrogram_mag,in_domain_validation_losses/loss_total,in_domain_validation_losses/raw_params_loss,in_domain_validation_losses/raw_spec_loss,in_domain_validation_losses/weighted_params_loss,in_domain_validation_losses/weighted_spec_loss,in_domain_validation_metrics/lsd_value,in_domain_validation_metrics/mean_average_error,in_domain_validation_metrics/mfcc_mae,in_domain_validation_metrics/paper_lsd_value,in_domain_validation_metrics/pearson_fft,in_domain_validation_metrics/pearson_stft,in_domain_validation_metrics/spectral_convergence_value,loss/parameters_decay_factor,loss/spec_loss_rampup_factor,lr-Adam,normalized_losses/post_rampup_weighted_params_loss,normalized_losses/post_rampup_weighted_spec_loss,normalized_losses/running_avg_parameters_loss,normalized_losses/running_avg_spectrogram_loss,train_loss_epoch,train_loss_step,train_losses/loss_total,train_losses/raw_params_loss,train_losses/raw_spec_loss,train_losses/weighted_params_loss,train_losses/weighted_spec_loss
0,,,,,,,,,,,,,,171.83352661132812,,,,,,,,,,,,0.0,1.0,,0.0,246.15121459960938,263.7752685546875,263.9532775878906,,,,,,,
1,,,,,,,,,,,,,,172.12899780273438,,,,,,,,,,,,0.0,1.0,,0.0,274.4171447753906,264.05792236328125,263.9532775878906,,,,,,,
2,,,,,,,,,,,,,,161.5373992919922,,,,,,,,,,,,0.0,1.0,,0.0,209.47129821777344,263.4084777832031,263.9532775878906,,,,,,,
3,,,,,,,,,,,,,,160.26246643066406,,,,,,,,,,,,0.0,1.0,,0.0,257.9891052246094,263.8936462402344,263.9532775878906,,,,,,,
4,,,,,,,,,,,,,,164.3726043701172,,,,,,,,,,,,0.0,1.0,,0.0,238.66624450683594,263.7004089355469,263.9532775878906,,,,,,,
5,,,,,,,,,,,,,,143.05191040039062,,,,,,,,,,,,0.0,1.0,,0.0,197.79661560058594,263.2917175292969,263.9532775878906,,,,,,,
6,,,,,,,,,,,,,,181.99758911132812,,,,,,,,,,,,0.0,1.0,,0.0,248.8455810546875,263.8022155761719,263.9532775878906,,,,,,,
7,,,,,,,,,,,,,,160.44163513183594,,,,,,,,,,,,0.0,1.0,,0.0,211.13937377929688,263.4251403808594,263.9532775878906,,,,,,,
8,,,,,,,,,,,,,,168.54342651367188,,,,,,,,,,,,0.0,1.0,,0.0,220.91490173339844,263.52288818359375,263.9532775878906,,,,,,,
9,,,,,,,,,,,,,,144.2716522216797,,,,,,,,,,,,0.0,1.0,,0.0,197.07635498046875,263.2845153808594,263.9532775878906,,,,,,,
10,,,,,,,,,,,,,,166.95933532714844,,,,,,,,,,,,0.0,1.0,,0.0,239.41632080078125,263.7079162597656,263.9532775878906,,,,,,,
11,,,,,,,,,,,,,,166.19554138183594,,,,,,,,,,,,0.0,1.0,,0.0,218.8779296875,263.5025329589844,263.9532775878906,,,,,,,
12,,,,,,,,,,,,,,157.9339599609375,,,,,,,,,,,,0.0,1.0,,0.0,219.09205627441406,263.5046691894531,263.9532775878906,,,,,,,
13,,,,,,,,,,,,,,156.587646484375,,,,,,,,,,,,0.0,1.0,,0.0,193.21298217773438,263.2458801269531,263.9532775878906,,,,,,,
