step,epoch,final_spec_losses_weighted/2048_spectrogram_mag,in_domain_validation_losses/loss_total,in_domain_validation_losses/raw_params_loss,in_domain_validation_losses/raw_spec_loss,in_domain_validation_losses/weighted_params_loss,in_domain_validation_losses/weighted_spec_loss,in_domain_validation_metrics/lsd_value,in_domain_validation_metrics/mean_average_error,in_domain_validation_metrics/mfcc_mae,in_domain_validation_metrics/paper_lsd_value,in_domain_validation_metrics/pearson_fft,in_domain_validation_metrics/pearson_stft,in_domain_validation_metrics/spectral_convergence_value,loss/parameters_decay_factor,loss/spec_loss_rampup_factor,lr-Adam,normalized_losses/post_rampup_weighted_params_loss,normalized_losses/post_rampup_weighted_spec_loss,normalized_losses/running_avg_parameters_loss,normalized_losses/running_avg_spectrogram_loss,train_loss_epoch,train_loss_step,train_losses/loss_total,train_losses/raw_params_loss,train_losses/raw_spec_loss,train_losses/weighted_params_loss,train_losses/weighted_spec_loss
0,,,1.575687289237976,,,,,,,,,,,,0.0,1.0,,0.0,2.290843963623047,2.506915330886841,2.5090978145599365,,,,,,,
1,,,1.6163723468780518,,,,,,,,,,,,0.0,1.0,,0.0,2.6641716957092285,2.510648488998413,2.5090978145599365,,,,,,,
2,,,1.629963994026184,,,,,,,,,,,,0.0,1.0,,0.0,2.2866272926330566,2.50687313079834,2.5090978145599365,,,,,,,
3,,,1.5478425025939941,,,,,,,,,,,,0.0,1.0,,0.0,2.5942368507385254,2.509949207305908,2.5090978145599365,,,,,,,
4,,,1.6434754133224487,,,,,,,,,,,,0.0,1.0,,0.0,2.407761573791504,2.508084535598755,2.5090978145599365,,,,,,,
5,,,1.435469388961792,,,,,,,,,,,,0.0,1.0,,0.0,2.269397020339966,2.5067007541656494,2.5090978145599365,,,,,,,
6,,,1.7153387069702148,,,,,,,,,,,,0.0,1.0,,0.0,2.633788824081421,2.5103447437286377,2.5090978145599365,,,,,,,
7,,,1.536879301071167,,,,,,,,,,,,0.0,1.0,,0.0,2.3993279933929443,2.508000135421753,2.5090978145599365,,,,,,,
8,,,1.6072443723678589,,,,,,,,,,,,0.0,1.0,,0.0,2.3689169883728027,2.5076961517333984,2.5090978145599365,,,,,,,
9,,,1.4495935440063477,,,,,,,,,,,,0.0,1.0,,0.0,2.2322542667388916,2.5063295364379883,2.5090978145599365,,,,,,,
