step,epoch,final_spec_losses_weighted/2048_spectrogram_logmag_eps,in_domain_validation_losses/loss_total,in_domain_validation_losses/raw_params_loss,in_domain_validation_losses/raw_spec_loss,in_domain_validation_losses/weighted_params_loss,in_domain_validation_losses/weighted_spec_loss,in_domain_validation_metrics/lsd_value,in_domain_validation_metrics/mean_average_error,in_domain_validation_metrics/mfcc_mae,in_domain_validation_metrics/paper_lsd_value,in_domain_validation_metrics/pearson_fft,in_domain_validation_metrics/pearson_stft,in_domain_validation_metrics/spectral_convergence_value,loss/parameters_decay_factor,loss/spec_loss_rampup_factor,lr-Adam,normalized_losses/post_rampup_weighted_params_loss,normalized_losses/post_rampup_weighted_spec_loss,normalized_losses/running_avg_parameters_loss,normalized_losses/running_avg_spectrogram_loss,train_loss_epoch,train_loss_step,train_losses/loss_total,train_losses/raw_params_loss,train_losses/raw_spec_loss,train_losses/weighted_params_loss,train_losses/weighted_spec_loss
0,,,3.664142370223999,,,,,,,,,,,,0.0,1.0,,0.0,2.701519250869751,2.2059214115142822,2.2009153366088867,,,,,,,
1,,,3.2745306491851807,,,,,,,,,,,,0.0,1.0,,0.0,2.477825880050659,2.2036845684051514,2.2009153366088867,,,,,,,
2,,,3.046346426010132,,,,,,,,,,,,0.0,1.0,,0.0,2.4465227127075195,2.203371524810791,2.2009153366088867,,,,,,,
3,,,3.4661519527435303,,,,,,,,,,,,0.0,1.0,,0.0,2.310534954071045,2.2020115852355957,2.2009153366088867,,,,,,,
4,,,2.973309278488159,,,,,,,,,,,,0.0,1.0,,0.0,2.4479122161865234,2.203385353088379,2.2009153366088867,,,,,,,
5,,,4.1803297996521,,,,,,,,,,,,0.0,1.0,,0.0,2.2818992137908936,2.2017252445220947,2.2009153366088867,,,,,,,
6,,,2.9220967292785645,,,,,,,,,,,,0.0,1.0,,0.0,2.2542104721069336,2.2014482021331787,2.2009153366088867,,,,,,,
7,,,3.2457821369171143,,,,,,,,,,,,0.0,1.0,,0.0,2.3501133918762207,2.2024073600769043,2.2009153366088867,,,,,,,
8,,,3.354022979736328,,,,,,,,,,,,0.0,1.0,,0.0,2.3491363525390625,2.202397584915161,2.2009153366088867,,,,,,,
9,,,3.172215461730957,,,,,,,,,,,,0.0,1.0,,0.0,2.3523495197296143,2.20242977142334,2.2009153366088867,,,,,,,
10,,,3.268789768218994,,,,,,,,,,,,0.0,1.0,,0.0,2.202953577041626,2.2009358406066895,2.2009153366088867,,,,,,,
11,,,3.900089740753174,,,,,,,,,,,,0.0,1.0,,0.0,2.112398862838745,2.2000300884246826,2.2009153366088867,,,,,,,
12,,,4.137944221496582,,,,,,,,,,,,0.0,1.0,,0.0,2.0732951164245605,2.199639081954956,2.2009153366088867,,,,,,,
13,,,2.71087384223938,,,,,,,,,,,,0.0,1.0,,0.0,2.3225581645965576,2.202131748199463,2.2009153366088867,,,,,,,
14,,,3.9249746799468994,,,,,,,,,,,,0.0,1.0,,0.0,2.306117057800293,2.201967477798462,2.2009153366088867,,,,,,,
15,,,2.913978338241577,,,,,,,,,,,,0.0,1.0,,0.0,2.025434732437134,2.199160575866699,2.2009153366088867,,,,,,,
16,,,3.3323047161102295,,,,,,,,,,,,0.0,1.0,,0.0,2.214991331100464,2.2010560035705566,2.2009153366088867,,,,,,,
17,,,2.9556474685668945,,,,,,,,,,,,0.0,1.0,,0.0,2.115734577178955,2.200063467025757,2.2009153366088867,,,,,,,
18,,,2.7011146545410156,,,,,,,,,,,,0.0,1.0,,0.0,2.0302445888519287,2.1992087364196777,2.2009153366088867,,,,,,,
19,,,3.100674867630005,,,,,,,,,,,,0.0,1.0,,0.0,1.9260671138763428,2.198166847229004,2.2009153366088867,,,,,,,
20,,,2.648810863494873,,,,,,,,,,,,0.0,1.0,,0.0,2.008939266204834,2.198995590209961,2.2009153366088867,,,,,,,
21,,,3.7878577709198,,,,,,,,,,,,0.0,1.0,,0.0,2.3946163654327393,2.202852249145508,2.2009153366088867,,,,,,,
22,,,2.5739402770996094,,,,,,,,,,,,0.0,1.0,,0.0,1.9336544275283813,2.198242664337158,2.2009153366088867,,,,,,,
23,,,2.875572919845581,,,,,,,,,,,,0.0,1.0,,0.0,2.3146400451660156,2.202052593231201,2.2009153366088867,,,,,,,
24,,,3.0189778804779053,,,,,,,,,,,,0.0,1.0,,0.0,2.195972442626953,2.2008659839630127,2.2009153366088867,,,,,,,
25,,,2.7500975131988525,,,,,,,,,,,,0.0,1.0,,0.0,2.3013412952423096,2.2019195556640625,2.2009153366088867,,,,,,,
26,,,2.8502440452575684,,,,,,,,,,,,0.0,1.0,,0.0,2.1152851581573486,2.200058937072754,2.2009153366088867,,,,,,,
27,,,3.5894742012023926,,,,,,,,,,,,0.0,1.0,,0.0,1.893012285232544,2.197836399078369,2.2009153366088867,,,,,,,
28,,,3.7994930744171143,,,,,,,,,,,,0.0,1.0,,0.0,2.3027255535125732,2.2019333839416504,2.2009153366088867,,,,,,,
29,,,2.3662564754486084,,,,,,,,,,,,0.0,1.0,,0.0,1.8247431516647339,2.1971535682678223,2.2009153366088867,,,,,,,
30,,,3.570545196533203,,,,,,,,,,,,0.0,1.0,,0.0,1.9367409944534302,2.1982736587524414,2.2009153366088867,,,,,,,
31,,,2.5631959438323975,,,,,,,,,,,,0.0,1.0,,0.0,2.323385000228882,2.2021400928497314,2.2009153366088867,,,,,,,
32,,,2.902580499649048,,,,,,,,,,,,0.0,1.0,,0.0,2.207700490951538,2.2009832859039307,2.2009153366088867,,,,,,,
33,,,2.59861421585083,,,,,,,,,,,,0.0,1.0,,0.0,2.388376474380493,2.2027900218963623,2.2009153366088867,,,,,,,
34,,,2.297379970550537,,,,,,,,,,,,0.0,1.0,,0.0,1.8489717245101929,2.1973958015441895,2.2009153366088867,,,,,,,
35,,,2.654832601547241,,,,,,,,,,,,0.0,1.0,,0.0,2.2313060760498047,2.201219320297241,2.2009153366088867,,,,,,,
36,,,2.3324320316314697,,,,,,,,,,,,0.0,1.0,,0.0,2.2231602668762207,2.2011377811431885,2.2009153366088867,,,,,,,
37,,,3.267301559448242,,,,,,,,,,,,0.0,1.0,,0.0,2.205317497253418,2.2009594440460205,2.2009153366088867,,,,,,,
38,,,2.306716203689575,,,,,,,,,,,,0.0,1.0,,0.0,1.8418352603912354,2.197324514389038,2.2009153366088867,,,,,,,
39,0.0,3.384723663330078,2.5464940071105957,0.47028976678848267,3.384723663330078,0.0,3.384723663330078,10.15342903137207,1.0691314935684204,14.690967559814453,29.041452407836914,0.9605910778045654,0.9396357536315918,4.031010150909424,0.0,1.0,,0.0,1.9390941858291626,2.1982970237731934,2.2009153366088867,2.1789638996124268,,,,,,
40,,,2.652636766433716,,,,,,,,,,,,0.0,1.0,,0.0,1.8878421783447266,2.197784662246704,2.2009153366088867,,,,,,,
41,,,2.4030933380126953,,,,,,,,,,,,0.0,1.0,,0.0,1.8616664409637451,2.1975228786468506,2.2009153366088867,,,,,,,
42,,,2.6086819171905518,,,,,,,,,,,,0.0,1.0,,0.0,1.709587574005127,2.1960020065307617,2.2009153366088867,,,,,,,
43,,,3.123244047164917,,,,,,,,,,,,0.0,1.0,,0.0,1.8347184658050537,2.197253465652466,2.2009153366088867,,,,,,,
44,,,3.275359869003296,,,,,,,,,,,,0.0,1.0,,0.0,1.6767678260803223,2.195673942565918,2.2009153366088867,,,,,,,
45,,,2.1465821266174316,,,,,,,,,,,,0.0,1.0,,0.0,2.0088987350463867,2.1989951133728027,2.2009153366088867,,,,,,,
46,,,3.0812225341796875,,,,,,,,,,,,0.0,1.0,,0.0,1.7991998195648193,2.1968982219696045,2.2009153366088867,,,,,,,
47,,,2.352754592895508,,,,,,,,,,,,0.0,1.0,,0.0,1.8845455646514893,2.197751760482788,2.2009153366088867,,,,,,,
48,,,2.683727264404297,,,,,,,,,,,,0.0,1.0,,0.0,1.684258222579956,2.195748805999756,2.2009153366088867,,,,,,,
49,1.0,2.019087791442871,2.368802785873413,,,,,,,,,,,,0.0,1.0,1.6666666851961054e-05,0.0,2.019087791442871,2.199097156524658,2.2009153366088867,,2.019087791442871,2.019087791442871,0.41853904724121094,2.019087791442871,0.0,2.019087791442871
50,,,2.0059075355529785,,,,,,,,,,,,0.0,1.0,,0.0,1.7121400833129883,2.1960275173187256,2.2009153366088867,,,,,,,
51,,,2.466043472290039,,,,,,,,,,,,0.0,1.0,,0.0,2.016362428665161,2.1990697383880615,2.2009153366088867,,,,,,,
52,,,2.104696273803711,,,,,,,,,,,,0.0,1.0,,0.0,1.7424376010894775,2.1963305473327637,2.2009153366088867,,,,,,,
53,,,2.9659862518310547,,,,,,,,,,,,0.0,1.0,,0.0,1.755969762802124,2.1964659690856934,2.2009153366088867,,,,,,,
54,,,2.0688557624816895,,,,,,,,,,,,0.0,1.0,,0.0,1.8663159608840942,2.1975693702697754,2.2009153366088867,,,,,,,
55,,,2.312519073486328,,,,,,,,,,,,0.0,1.0,,0.0,1.7686235904693604,2.196592330932617,2.2009153366088867,,,,,,,
56,,,2.428476333618164,,,,,,,,,,,,0.0,1.0,,0.0,2.0489957332611084,2.1993961334228516,2.2009153366088867,,,,,,,
57,,,2.228811502456665,,,,,,,,,,,,0.0,1.0,,0.0,2.0906267166137695,2.199812412261963,2.2009153366088867,,,,,,,
58,,,2.4262049198150635,,,,,,,,,,,,0.0,1.0,,0.0,1.5008498430252075,2.1939146518707275,2.2009153366088867,,,,,,,
59,,,2.9105422496795654,,,,,,,,,,,,0.0,1.0,,0.0,1.795522928237915,2.196861505508423,2.2009153366088867,,,,,,,
60,,,3.0380561351776123,,,,,,,,,,,,0.0,1.0,,0.0,1.8494445085525513,2.1974005699157715,2.2009153366088867,,,,,,,
61,,,1.9548876285552979,,,,,,,,,,,,0.0,1.0,,0.0,1.995579481124878,2.198862075805664,2.2009153366088867,,,,,,,
62,,,2.8236331939697266,,,,,,,,,,,,0.0,1.0,,0.0,1.87406587600708,2.1976468563079834,2.2009153366088867,,,,,,,
63,,,2.1879003047943115,,,,,,,,,,,,0.0,1.0,,0.0,1.9844709634780884,2.1987509727478027,2.2009153366088867,,,,,,,
64,,,2.841280937194824,,,,,,,,,,,,0.0,1.0,,0.0,2.0900731086730957,2.1998069286346436,2.2009153366088867,,,,,,,
65,,,2.5160787105560303,,,,,,,,,,,,0.0,1.0,,0.0,2.0715935230255127,2.19962215423584,2.2009153366088867,,,,,,,
66,,,2.140324831008911,,,,,,,,,,,,0.0,1.0,,0.0,1.7940150499343872,2.1968462467193604,2.2009153366088867,,,,,,,
67,,,2.659900426864624,,,,,,,,,,,,0.0,1.0,,0.0,1.8259652853012085,2.1971659660339355,2.2009153366088867,,,,,,,
68,,,2.2059781551361084,,,,,,,,,,,,0.0,1.0,,0.0,1.8318437337875366,2.1972246170043945,2.2009153366088867,,,,,,,
69,,,3.2429280281066895,,,,,,,,,,,,0.0,1.0,,0.0,1.9651856422424316,2.1985580921173096,2.2009153366088867,,,,,,,
70,,,2.2005763053894043,,,,,,,,,,,,0.0,1.0,,0.0,1.8437645435333252,2.1973438262939453,2.2009153366088867,,,,,,,
71,,,2.5527515411376953,,,,,,,,,,,,0.0,1.0,,0.0,1.5913500785827637,2.194819688796997,2.2009153366088867,,,,,,,
72,,,2.606152057647705,,,,,,,,,,,,0.0,1.0,,0.0,1.756209135055542,2.1964683532714844,2.2009153366088867,,,,,,,
73,,,2.494999647140503,,,,,,,,,,,,0.0,1.0,,0.0,1.5024415254592896,2.1939306259155273,2.2009153366088867,,,,,,,
74,,,2.6579127311706543,,,,,,,,,,,,0.0,1.0,,0.0,1.9211022853851318,2.198117256164551,2.2009153366088867,,,,,,,
75,,,3.130371332168579,,,,,,,,,,,,0.0,1.0,,0.0,2.022892475128174,2.1991350650787354,2.2009153366088867,,,,,,,
76,,,3.251237630844116,,,,,,,,,,,,0.0,1.0,,0.0,1.8320398330688477,2.1972265243530273,2.2009153366088867,,,,,,,
77,,,2.093397378921509,,,,,,,,,,,,0.0,1.0,,0.0,1.6436444520950317,2.195342540740967,2.2009153366088867,,,,,,,
78,,,3.0164074897766113,,,,,,,,,,,,0.0,1.0,,0.0,1.9516010284423828,2.1984221935272217,2.2009153366088867,,,,,,,
79,1.0,3.0302627086639404,2.319695472717285,0.38532620668411255,3.0302627086639404,0.0,3.0302627086639404,9.062432289123535,0.9626743197441101,12.762731552124023,24.351961135864258,0.9613933563232422,0.9434427618980408,3.046319007873535,0.0,1.0,,0.0,1.907315731048584,2.19797945022583,2.2009153366088867,1.8277792930603027,,,,,,
80,,,2.74601674079895,,,,,,,,,,,,0.0,1.0,,0.0,1.8944342136383057,2.197850465774536,2.2009153366088867,,,,,,,
81,,,2.4069712162017822,,,,,,,,,,,,0.0,1.0,,0.0,1.6826808452606201,2.195733070373535,2.2009153366088867,,,,,,,
82,,,2.067347288131714,,,,,,,,,,,,0.0,1.0,,0.0,1.6939870119094849,2.1958460807800293,2.2009153366088867,,,,,,,
83,,,2.5452451705932617,,,,,,,,,,,,0.0,1.0,,0.0,1.5312119722366333,2.194218397140503,2.2009153366088867,,,,,,,
84,,,2.138118028640747,,,,,,,,,,,,0.0,1.0,,0.0,1.4829254150390625,2.193735361099243,2.2009153366088867,,,,,,,
85,,,3.0663111209869385,,,,,,,,,,,,0.0,1.0,,0.0,1.5855838060379028,2.1947619915008545,2.2009153366088867,,,,,,,
86,,,2.1158299446105957,,,,,,,,,,,,0.0,1.0,,0.0,1.4772051572799683,2.193678140640259,2.2009153366088867,,,,,,,
87,,,2.413534641265869,,,,,,,,,,,,0.0,1.0,,0.0,1.8332817554473877,2.1972389221191406,2.2009153366088867,,,,,,,
88,,,2.503852128982544,,,,,,,,,,,,0.0,1.0,,0.0,1.5825780630111694,2.1947319507598877,2.2009153366088867,,,,,,,
89,,,2.337697982788086,,,,,,,,,,,,0.0,1.0,,0.0,1.5375339984893799,2.194281578063965,2.2009153366088867,,,,,,,
90,,,2.514655590057373,,,,,,,,,,,,0.0,1.0,,0.0,1.6321264505386353,2.1952273845672607,2.2009153366088867,,,,,,,
91,,,3.0007293224334717,,,,,,,,,,,,0.0,1.0,,0.0,1.40574049949646,2.1929636001586914,2.2009153366088867,,,,,,,
92,,,3.1356866359710693,,,,,,,,,,,,0.0,1.0,,0.0,1.6308244466781616,2.1952145099639893,2.2009153366088867,,,,,,,
93,,,1.999931812286377,,,,,,,,,,,,0.0,1.0,,0.0,1.5434694290161133,2.194340944290161,2.2009153366088867,,,,,,,
94,,,2.892831563949585,,,,,,,,,,,,0.0,1.0,,0.0,1.6136536598205566,2.195042848587036,2.2009153366088867,,,,,,,
95,,,2.2306883335113525,,,,,,,,,,,,0.0,1.0,,0.0,1.5885244607925415,2.194791555404663,2.2009153366088867,,,,,,,
96,,,2.758441686630249,,,,,,,,,,,,0.0,1.0,,0.0,1.5280025005340576,2.194186210632324,2.2009153366088867,,,,,,,
