step,epoch,final_spec_losses_weighted/2048_spectrogram_mag,in_domain_validation_losses/loss_total,in_domain_validation_losses/raw_params_loss,in_domain_validation_losses/raw_spec_loss,in_domain_validation_losses/weighted_params_loss,in_domain_validation_losses/weighted_spec_loss,in_domain_validation_metrics/lsd_value,in_domain_validation_metrics/mean_average_error,in_domain_validation_metrics/mfcc_mae,in_domain_validation_metrics/paper_lsd_value,in_domain_validation_metrics/pearson_fft,in_domain_validation_metrics/pearson_stft,in_domain_validation_metrics/spectral_convergence_value,loss/parameters_decay_factor,loss/spec_loss_rampup_factor,lr-Adam,normalized_losses/post_rampup_weighted_params_loss,normalized_losses/post_rampup_weighted_spec_loss,normalized_losses/running_avg_parameters_loss,normalized_losses/running_avg_spectrogram_loss,train_loss_epoch,train_loss_step,train_losses/loss_total,train_losses/raw_params_loss,train_losses/raw_spec_loss,train_losses/weighted_params_loss,train_losses/weighted_spec_loss
0,,,0.6561630368232727,,,,,,,,,,,,0.0,1.0,,0.0,1.16301691532135,1.0661571025848389,1.0651787519454956,,,,,,,
1,,,0.6563567519187927,,,,,,,,,,,,0.0,1.0,,0.0,1.1843467950820923,1.0663703680038452,1.0651787519454956,,,,,,,
2,,,0.7019519209861755,,,,,,,,,,,,0.0,1.0,,0.0,1.1967177391052246,1.066494107246399,1.0651787519454956,,,,,,,
3,,,0.684295654296875,,,,,,,,,,,,0.0,1.0,,0.0,1.0349388122558594,1.0648763179779053,1.0651787519454956,,,,,,,
4,,,0.6563828587532043,,,,,,,,,,,,0.0,1.0,,0.0,1.1334069967269897,1.0658609867095947,1.0651787519454956,,,,,,,
5,,,0.6767135262489319,,,,,,,,,,,,0.0,1.0,,0.0,1.0823346376419067,1.0653502941131592,1.0651787519454956,,,,,,,
6,,,0.6768986582756042,,,,,,,,,,,,0.0,1.0,,0.0,1.0408079624176025,1.0649349689483643,1.0651787519454956,,,,,,,
7,,,0.6190744042396545,,,,,,,,,,,,0.0,1.0,,0.0,1.1305514574050903,1.065832495689392,1.0651787519454956,,,,,,,
8,,,0.6668360829353333,,,,,,,,,,,,0.0,1.0,,0.0,1.113573670387268,1.0656626224517822,1.0651787519454956,,,,,,,
9,,,0.5808138847351074,,,,,,,,,,,,0.0,1.0,,0.0,1.0505346059799194,1.0650322437286377,1.0651787519454956,,,,,,,
10,,,0.5465743541717529,,,,,,,,,,,,0.0,1.0,,0.0,1.0644887685775757,1.0651718378067017,1.0651787519454956,,,,,,,
11,,,0.6823798418045044,,,,,,,,,,,,0.0,1.0,,0.0,1.0294573307037354,1.064821481704712,1.0651787519454956,,,,,,,
12,,,0.6891299486160278,,,,,,,,,,,,0.0,1.0,,0.0,0.9768810272216797,1.064295768737793,1.0651787519454956,,,,,,,
13,,,0.5589401125907898,,,,,,,,,,,,0.0,1.0,,0.0,1.044761061668396,1.0649745464324951,1.0651787519454956,,,,,,,
14,,,0.6686243414878845,,,,,,,,,,,,0.0,1.0,,0.0,1.0195696353912354,1.0647226572036743,1.0651787519454956,,,,,,,
15,,,0.610977828502655,,,,,,,,,,,,0.0,1.0,,0.0,0.9631739258766174,1.0641586780548096,1.0651787519454956,,,,,,,
16,,,0.459611177444458,,,,,,,,,,,,0.0,1.0,,0.0,1.021040439605713,1.064737319946289,1.0651787519454956,,,,,,,
17,,,0.4429790675640106,,,,,,,,,,,,0.0,1.0,,0.0,0.9905542135238647,1.0644325017929077,1.0651787519454956,,,,,,,
18,,,0.4389415979385376,,,,,,,,,,,,0.0,1.0,,0.0,0.8756783604621887,1.0632836818695068,1.0651787519454956,,,,,,,
19,,,0.40799641609191895,,,,,,,,,,,,0.0,1.0,,0.0,0.8125609159469604,1.062652587890625,1.0651787519454956,,,,,,,
20,,,0.4521051049232483,,,,,,,,,,,,0.0,1.0,,0.0,0.8683521151542664,1.0632104873657227,1.0651787519454956,,,,,,,
21,,,0.39584431052207947,,,,,,,,,,,,0.0,1.0,,0.0,0.9842811822891235,1.0643696784973145,1.0651787519454956,,,,,,,
22,,,0.5030863881111145,,,,,,,,,,,,0.0,1.0,,0.0,0.8718070387840271,1.0632449388504028,1.0651787519454956,,,,,,,
