step,epoch,final_spec_losses_weighted/2048_spectrogram_mag,in_domain_validation_losses/loss_total,in_domain_validation_losses/raw_params_loss,in_domain_validation_losses/raw_spec_loss,in_domain_validation_losses/weighted_params_loss,in_domain_validation_losses/weighted_spec_loss,in_domain_validation_metrics/lsd_value,in_domain_validation_metrics/mean_average_error,in_domain_validation_metrics/mfcc_mae,in_domain_validation_metrics/paper_lsd_value,in_domain_validation_metrics/pearson_fft,in_domain_validation_metrics/pearson_stft,in_domain_validation_metrics/spectral_convergence_value,loss/parameters_decay_factor,loss/spec_loss_rampup_factor,lr-Adam,normalized_losses/post_rampup_weighted_params_loss,normalized_losses/post_rampup_weighted_spec_loss,normalized_losses/running_avg_parameters_loss,normalized_losses/running_avg_spectrogram_loss,train_loss_epoch,train_loss_step,train_losses/loss_total,train_losses/raw_params_loss,train_losses/raw_spec_loss,train_losses/weighted_params_loss,train_losses/weighted_spec_loss
0,,,19.954790115356445,,,,,,,,,,,,0.0,1.0,,0.0,36.96037292480469,39.008575439453125,39.029266357421875,,,,,,,
1,,,21.89859390258789,,,,,,,,,,,,0.0,1.0,,0.0,22.01348304748535,38.859107971191406,39.029266357421875,,,,,,,
2,,,27.434120178222656,,,,,,,,,,,,0.0,1.0,,0.0,19.89803123474121,38.83795166015625,39.029266357421875,,,,,,,
3,,,23.711105346679688,,,,,,,,,,,,0.0,1.0,,0.0,23.312942504882812,38.872100830078125,39.029266357421875,,,,,,,
4,,,25.707338333129883,,,,,,,,,,,,0.0,1.0,,0.0,19.5462646484375,38.834434509277344,39.029266357421875,,,,,,,
5,,,26.38743019104004,,,,,,,,,,,,0.0,1.0,,0.0,20.575029373168945,38.844722747802734,39.029266357421875,,,,,,,
6,,,24.179758071899414,,,,,,,,,,,,0.0,1.0,,0.0,19.31856918334961,38.832157135009766,39.029266357421875,,,,,,,
7,,,20.244709014892578,,,,,,,,,,,,0.0,1.0,,0.0,21.89557647705078,38.85792922973633,39.029266357421875,,,,,,,
8,,,19.84957504272461,,,,,,,,,,,,0.0,1.0,,0.0,22.259119033813477,38.86156463623047,39.029266357421875,,,,,,,
9,,,17.25017547607422,,,,,,,,,,,,0.0,1.0,,0.0,19.93939781188965,38.8383674621582,39.029266357421875,,,,,,,
10,,,22.03470802307129,,,,,,,,,,,,0.0,1.0,,0.0,22.394472122192383,38.862918853759766,39.029266357421875,,,,,,,
11,,,27.169986724853516,,,,,,,,,,,,0.0,1.0,,0.0,27.44890022277832,38.9134635925293,39.029266357421875,,,,,,,
12,,,24.62221336364746,,,,,,,,,,,,0.0,1.0,,0.0,23.042362213134766,38.8693962097168,39.029266357421875,,,,,,,
13,,,24.35555076599121,,,,,,,,,,,,0.0,1.0,,0.0,23.366113662719727,38.87263488769531,39.029266357421875,,,,,,,
14,,,18.461475372314453,,,,,,,,,,,,0.0,1.0,,0.0,20.833415985107422,38.84730911254883,39.029266357421875,,,,,,,
15,,,18.972850799560547,,,,,,,,,,,,0.0,1.0,,0.0,21.092397689819336,38.84989547729492,39.029266357421875,,,,,,,
16,,,21.36125373840332,,,,,,,,,,,,0.0,1.0,,0.0,22.03607749938965,38.85933303833008,39.029266357421875,,,,,,,
17,,,23.2142333984375,,,,,,,,,,,,0.0,1.0,,0.0,18.816783905029297,38.82714080810547,39.029266357421875,,,,,,,
18,,,22.769962310791016,,,,,,,,,,,,0.0,1.0,,0.0,18.05515480041504,38.81952667236328,39.029266357421875,,,,,,,
19,,,23.645008087158203,,,,,,,,,,,,0.0,1.0,,0.0,22.05657386779785,38.85953903198242,39.029266357421875,,,,,,,
20,,,20.257034301757812,,,,,,,,,,,,0.0,1.0,,0.0,21.044395446777344,38.84941864013672,39.029266357421875,,,,,,,
21,,,25.37416648864746,,,,,,,,,,,,0.0,1.0,,0.0,23.89512062072754,38.877925872802734,39.029266357421875,,,,,,,
22,,,25.619754791259766,,,,,,,,,,,,0.0,1.0,,0.0,23.17992401123047,38.87077331542969,39.029266357421875,,,,,,,
23,,,19.4953670501709,,,,,,,,,,,,0.0,1.0,,0.0,19.91758155822754,38.83815002441406,39.029266357421875,,,,,,,
24,,,20.208227157592773,,,,,,,,,,,,0.0,1.0,,0.0,23.414196014404297,38.87311553955078,39.029266357421875,,,,,,,
25,,,20.454687118530273,,,,,,,,,,,,0.0,1.0,,0.0,24.482057571411133,38.883792877197266,39.029266357421875,,,,,,,
26,,,19.06254768371582,,,,,,,,,,,,0.0,1.0,,0.0,23.781692504882812,38.87678909301758,39.029266357421875,,,,,,,
27,,,22.334705352783203,,,,,,,,,,,,0.0,1.0,,0.0,20.00764274597168,38.83905029296875,39.029266357421875,,,,,,,
28,,,21.896379470825195,,,,,,,,,,,,0.0,1.0,,0.0,19.286334991455078,38.83183670043945,39.029266357421875,,,,,,,
29,,,26.11952781677246,,,,,,,,,,,,0.0,1.0,,0.0,18.460628509521484,38.823577880859375,39.029266357421875,,,,,,,
30,,,21.039358139038086,,,,,,,,,,,,0.0,1.0,,0.0,22.21149444580078,38.861087799072266,39.029266357421875,,,,,,,
31,,,25.79672622680664,,,,,,,,,,,,0.0,1.0,,0.0,20.946372985839844,38.84843826293945,39.029266357421875,,,,,,,
32,,,19.95477867126465,,,,,,,,,,,,0.0,1.0,,0.0,21.22610855102539,38.851234436035156,39.029266357421875,,,,,,,
33,,,21.898584365844727,,,,,,,,,,,,0.0,1.0,,0.0,23.454309463500977,38.87351608276367,39.029266357421875,,,,,,,
34,,,27.43410873413086,,,,,,,,,,,,0.0,1.0,,0.0,20.473466873168945,38.84370803833008,39.029266357421875,,,,,,,
35,,,23.711095809936523,,,,,,,,,,,,0.0,1.0,,0.0,19.39437484741211,38.832916259765625,39.029266357421875,,,,,,,
36,,,25.70733070373535,,,,,,,,,,,,0.0,1.0,,0.0,24.06513786315918,38.87962341308594,39.029266357421875,,,,,,,
37,,,26.387422561645508,,,,,,,,,,,,0.0,1.0,,0.0,23.34818458557129,38.87245559692383,39.029266357421875,,,,,,,
38,,,24.179750442504883,,,,,,,,,,,,0.0,1.0,,0.0,23.765182495117188,38.876625061035156,39.029266357421875,,,,,,,
39,,,20.244701385498047,,,,,,,,,,,,0.0,1.0,,0.0,20.158618927001953,38.84056091308594,39.029266357421875,,,,,,,
40,,,19.849563598632812,,,,,,,,,,,,0.0,1.0,,0.0,19.51703643798828,38.834144592285156,39.029266357421875,,,,,,,
41,,,17.250165939331055,,,,,,,,,,,,0.0,1.0,,0.0,22.321720123291016,38.86219024658203,39.029266357421875,,,,,,,
42,,,22.034698486328125,,,,,,,,,,,,0.0,1.0,,0.0,25.063474655151367,38.88960647583008,39.029266357421875,,,,,,,
43,,,27.169973373413086,,,,,,,,,,,,0.0,1.0,,0.0,27.658824920654297,38.91556167602539,39.029266357421875,,,,,,,
44,,,24.622203826904297,,,,,,,,,,,,0.0,1.0,,0.0,19.652156829833984,38.83549499511719,39.029266357421875,,,,,,,
45,,,24.355541229248047,,,,,,,,,,,,0.0,1.0,,0.0,28.503385543823242,38.924007415771484,39.029266357421875,,,,,,,
46,,,18.46146583557129,,,,,,,,,,,,0.0,1.0,,0.0,21.821836471557617,38.85719299316406,39.029266357421875,,,,,,,
47,,,18.972841262817383,,,,,,,,,,,,0.0,1.0,,0.0,21.519054412841797,38.854164123535156,39.029266357421875,,,,,,,
48,,,21.361244201660156,,,,,,,,,,,,0.0,1.0,,0.0,20.563228607177734,38.8446044921875,39.029266357421875,,,,,,,
49,0.0,18.717365264892578,23.21422576904297,,,,,,,,,,,,0.0,1.0,0.0010000000474974513,0.0,18.717365264892578,38.82614517211914,39.029266357421875,,18.717365264892578,18.717365264892578,4.087581157684326,18.717365264892578,0.0,18.717365264892578
50,,,22.769954681396484,,,,,,,,,,,,0.0,1.0,,0.0,21.086923599243164,38.8498420715332,39.029266357421875,,,,,,,
51,,,23.644996643066406,,,,,,,,,,,,0.0,1.0,,0.0,24.444461822509766,38.883419036865234,39.029266357421875,,,,,,,
52,,,20.257022857666016,,,,,,,,,,,,0.0,1.0,,0.0,19.91606330871582,38.838134765625,39.029266357421875,,,,,,,
53,,,25.37415885925293,,,,,,,,,,,,0.0,1.0,,0.0,17.915414810180664,38.8181266784668,39.029266357421875,,,,,,,
54,,,25.6197452545166,,,,,,,,,,,,0.0,1.0,,0.0,29.43769073486328,38.933349609375,39.029266357421875,,,,,,,
55,,,19.4953556060791,,,,,,,,,,,,0.0,1.0,,0.0,23.273662567138672,38.87171173095703,39.029266357421875,,,,,,,
56,,,20.20821762084961,,,,,,,,,,,,0.0,1.0,,0.0,22.441444396972656,38.86338806152344,39.029266357421875,,,,,,,
57,,,20.45467758178711,,,,,,,,,,,,0.0,1.0,,0.0,27.471569061279297,38.91368865966797,39.029266357421875,,,,,,,
58,,,19.062536239624023,,,,,,,,,,,,0.0,1.0,,0.0,22.832542419433594,38.8672981262207,39.029266357421875,,,,,,,
59,,,22.334693908691406,,,,,,,,,,,,0.0,1.0,,0.0,21.323314666748047,38.85220718383789,39.029266357421875,,,,,,,
60,,,21.89636993408203,,,,,,,,,,,,0.0,1.0,,0.0,18.11711311340332,38.82014465332031,39.029266357421875,,,,,,,
61,,,26.119516372680664,,,,,,,,,,,,0.0,1.0,,0.0,19.287866592407227,38.831851959228516,39.029266357421875,,,,,,,
