step,epoch,final_spec_losses_weighted/2048_spectrogram_mag,in_domain_validation_losses/loss_total,in_domain_validation_losses/raw_params_loss,in_domain_validation_losses/raw_spec_loss,in_domain_validation_losses/weighted_params_loss,in_domain_validation_losses/weighted_spec_loss,in_domain_validation_metrics/lsd_value,in_domain_validation_metrics/mean_average_error,in_domain_validation_metrics/mfcc_mae,in_domain_validation_metrics/paper_lsd_value,in_domain_validation_metrics/pearson_fft,in_domain_validation_metrics/pearson_stft,in_domain_validation_metrics/spectral_convergence_value,loss/parameters_decay_factor,loss/spec_loss_rampup_factor,lr-Adam,normalized_losses/post_rampup_weighted_params_loss,normalized_losses/post_rampup_weighted_spec_loss,normalized_losses/pre_rampup_normalized_parameters_loss,normalized_losses/pre_rampup_normalized_spectrogram_loss,normalized_losses/running_avg_parameters_loss,normalized_losses/running_avg_spectrogram_loss,train_loss_epoch,train_loss_step,train_losses/loss_total,train_losses/raw_params_loss,train_losses/raw_spec_loss,train_losses/weighted_params_loss,train_losses/weighted_spec_loss
0,,,0.757510781288147,,,,,,,,,,,,1.0,0.0,,1.1475684642791748,0.0,1.1475684642791748,0.0,0.5070940256118774,1.0,,,,,,,
1,,,0.7823492884635925,,,,,,,,,,,,1.0,0.0,,1.1310209035873413,0.0,1.1310209035873413,0.0,0.5099042057991028,1.0,,,,,,,
2,,,0.8455814123153687,,,,,,,,,,,,1.0,0.0,,1.287367582321167,0.0,1.287367582321167,0.0,0.5150034427642822,1.0,,,,,,,
3,,,0.737608790397644,,,,,,,,,,,,1.0,0.0,,1.0320020914077759,0.0,1.0320020914077759,0.0,0.5171870589256287,1.0,,,,,,,
4,,,0.8168959617614746,,,,,,,,,,,,1.0,0.0,,0.9419342875480652,0.0,0.9419342875480652,0.0,0.5152290463447571,1.0,,,,,,,
5,,,0.8223832249641418,,,,,,,,,,,,1.0,0.0,,1.1377015113830566,0.0,1.1377015113830566,0.0,0.5177706480026245,1.0,,,,,,,
6,,,0.7347615361213684,,,,,,,,,,,,1.0,0.0,,0.8563348054885864,0.0,0.8563348054885864,0.0,0.5142337679862976,1.0,,,,,,,
7,,,0.6654584407806396,,,,,,,,,,,,1.0,0.0,,1.0107382535934448,0.0,1.0107382535934448,0.0,0.5122988820075989,1.0,,,,,,,
8,,,0.7534740567207336,,,,,,,,,,,,1.0,0.0,,0.8666833639144897,0.0,0.8666833639144897,0.0,0.5094212293624878,1.0,,,,,,,
9,,,0.6314774751663208,,,,,,,,,,,,1.0,0.0,,0.7560514211654663,0.0,0.7560514211654663,0.0,0.505291223526001,1.0,,,,,,,
10,,,0.599456250667572,,,,,,,,,,,,1.0,0.0,,0.6786867380142212,0.0,0.6786867380142212,0.0,0.4995110332965851,1.0,,,,,,,
11,,,0.8101967573165894,,,,,,,,,,,,1.0,0.0,,0.7123232483863831,0.0,0.7123232483863831,0.0,0.4945412278175354,1.0,,,,,,,
12,,,0.7484491467475891,,,,,,,,,,,,1.0,0.0,,0.6363456845283508,0.0,0.6363456845283508,0.0,0.4885651469230652,1.0,,,,,,,
13,,,0.7513139843940735,,,,,,,,,,,,1.0,0.0,,0.6803044080734253,0.0,0.6803044080734253,0.0,0.48274412751197815,1.0,,,,,,,
14,,,0.8288024663925171,,,,,,,,,,,,1.0,0.0,,0.6725223064422607,0.0,0.6725223064422607,0.0,0.4763254225254059,1.0,,,,,,,
15,,,0.7183575630187988,,,,,,,,,,,,1.0,0.0,,0.659052848815918,0.0,0.659052848815918,0.0,0.47024402022361755,1.0,,,,,,,
16,,,0.7136020064353943,,,,,,,,,,,,1.0,0.0,,0.7718009948730469,0.0,0.7718009948730469,0.0,0.4647676944732666,1.0,,,,,,,
17,,,0.6908506155014038,,,,,,,,,,,,1.0,0.0,,0.6942270994186401,0.0,0.6942270994186401,0.0,0.45751649141311646,1.0,,,,,,,
18,,,0.7788239121437073,,,,,,,,,,,,1.0,0.0,,0.6623762249946594,0.0,0.6623762249946594,0.0,0.45002105832099915,1.0,,,,,,,
19,,,0.7029415369033813,,,,,,,,,,,,1.0,0.0,,0.6219177842140198,0.0,0.6219177842140198,0.0,0.44312354922294617,1.0,,,,,,,
20,,,0.8250851035118103,,,,,,,,,,,,1.0,0.0,,0.5588694214820862,0.0,0.5588694214820862,0.0,0.43604177236557007,1.0,,,,,,,
21,,,0.8413635492324829,,,,,,,,,,,,1.0,0.0,,0.6126626133918762,0.0,0.6126626133918762,0.0,0.4285537004470825,1.0,,,,,,,
22,,,0.9084771275520325,,,,,,,,,,,,1.0,0.0,,0.7196239829063416,0.0,0.7196239829063416,0.0,0.42118120193481445,1.0,,,,,,,
23,,,0.7088263034820557,,,,,,,,,,,,1.0,0.0,,0.6302940249443054,0.0,0.6302940249443054,0.0,0.41398319602012634,1.0,,,,,,,
24,,,0.6982060074806213,,,,,,,,,,,,1.0,0.0,,0.6378145813941956,0.0,0.6378145813941956,0.0,0.40718910098075867,1.0,,,,,,,
25,,,0.6617812514305115,,,,,,,,,,,,1.0,0.0,,0.6716955304145813,0.0,0.6716955304145813,0.0,0.40191078186035156,1.0,,,,,,,
26,,,0.6140100359916687,,,,,,,,,,,,1.0,0.0,,0.5775995850563049,0.0,0.5775995850563049,0.0,0.3958834111690521,1.0,,,,,,,
27,,,0.6843652725219727,,,,,,,,,,,,1.0,0.0,,0.6573715806007385,0.0,0.6573715806007385,0.0,0.3900180459022522,1.0,,,,,,,
