step,epoch,final_spec_losses_weighted/2048_spectrogram_logmag_eps,in_domain_validation_losses/loss_total,in_domain_validation_losses/raw_params_loss,in_domain_validation_losses/raw_spec_loss,in_domain_validation_losses/weighted_params_loss,in_domain_validation_losses/weighted_spec_loss,in_domain_validation_metrics/lsd_value,in_domain_validation_metrics/mean_average_error,in_domain_validation_metrics/mfcc_mae,in_domain_validation_metrics/paper_lsd_value,in_domain_validation_metrics/pearson_fft,in_domain_validation_metrics/pearson_stft,in_domain_validation_metrics/spectral_convergence_value,loss/parameters_decay_factor,loss/spec_loss_rampup_factor,lr-Adam,normalized_losses/post_rampup_weighted_params_loss,normalized_losses/post_rampup_weighted_spec_loss,normalized_losses/running_avg_parameters_loss,normalized_losses/running_avg_spectrogram_loss,train_loss_epoch,train_loss_step,train_losses/loss_total,train_losses/raw_params_loss,train_losses/raw_spec_loss,train_losses/weighted_params_loss,train_losses/weighted_spec_loss
0,,,0.16816063225269318,,,,,,,,,,,,0.0,1.0,,0.0,0.29380908608436584,0.2612946033477783,0.2609661817550659,,,,,,,
1,,,0.16760458052158356,,,,,,,,,,,,0.0,1.0,,0.0,0.30812445282936096,0.2614377439022064,0.2609661817550659,,,,,,,
2,,,0.1927795112133026,,,,,,,,,,,,0.0,1.0,,0.0,0.27859994769096375,0.2611425220966339,0.2609661817550659,,,,,,,
3,,,0.17321348190307617,,,,,,,,,,,,0.0,1.0,,0.0,0.28208276629447937,0.26117733120918274,0.2609661817550659,,,,,,,
4,,,0.1768520027399063,,,,,,,,,,,,0.0,1.0,,0.0,0.27514657378196716,0.2611079812049866,0.2609661817550659,,,,,,,
5,,,0.16442327201366425,,,,,,,,,,,,0.0,1.0,,0.0,0.26690489053726196,0.2610255479812622,0.2609661817550659,,,,,,,
6,,,0.1776534467935562,,,,,,,,,,,,0.0,1.0,,0.0,0.27741265296936035,0.2611306309700012,0.2609661817550659,,,,,,,
7,,,0.15053477883338928,,,,,,,,,,,,0.0,1.0,,0.0,0.2939731776714325,0.26129624247550964,0.2609661817550659,,,,,,,
8,,,0.17276789247989655,,,,,,,,,,,,0.0,1.0,,0.0,0.2734605073928833,0.26109111309051514,0.2609661817550659,,,,,,,
9,,,0.1369716376066208,,,,,,,,,,,,0.0,1.0,,0.0,0.2664589583873749,0.26102110743522644,0.2609661817550659,,,,,,,
