step,epoch,final_spec_losses_weighted/2048_spectrogram_logmag_eps,in_domain_validation_losses/loss_total,in_domain_validation_losses/raw_params_loss,in_domain_validation_losses/raw_spec_loss,in_domain_validation_losses/weighted_params_loss,in_domain_validation_losses/weighted_spec_loss,in_domain_validation_metrics/lsd_value,in_domain_validation_metrics/mean_average_error,in_domain_validation_metrics/mfcc_mae,in_domain_validation_metrics/paper_lsd_value,in_domain_validation_metrics/pearson_fft,in_domain_validation_metrics/pearson_stft,in_domain_validation_metrics/spectral_convergence_value,loss/parameters_decay_factor,loss/spec_loss_rampup_factor,lr-Adam,normalized_losses/post_rampup_weighted_params_loss,normalized_losses/post_rampup_weighted_spec_loss,normalized_losses/running_avg_parameters_loss,normalized_losses/running_avg_spectrogram_loss,train_loss_epoch,train_loss_step,train_losses/loss_total,train_losses/raw_params_loss,train_losses/raw_spec_loss,train_losses/weighted_params_loss,train_losses/weighted_spec_loss
0,,,3.326411724090576,,,,,,,,,,,,0.0,1.0,,0.0,2.599801540374756,2.0837244987487793,2.0785114765167236,,,,,,,
1,,,2.9828178882598877,,,,,,,,,,,,0.0,1.0,,0.0,2.2051825523376465,2.0797781944274902,2.0785114765167236,,,,,,,
2,,,2.67510724067688,,,,,,,,,,,,0.0,1.0,,0.0,2.476776599884033,2.0824942588806152,2.0785114765167236,,,,,,,
3,,,3.0784761905670166,,,,,,,,,,,,0.0,1.0,,0.0,2.0200250148773193,2.0779266357421875,2.0785114765167236,,,,,,,
4,,,2.673921823501587,,,,,,,,,,,,0.0,1.0,,0.0,2.4844014644622803,2.0825703144073486,2.0785114765167236,,,,,,,
5,,,3.8429148197174072,,,,,,,,,,,,0.0,1.0,,0.0,2.1544911861419678,2.0792713165283203,2.0785114765167236,,,,,,,
6,,,2.639483690261841,,,,,,,,,,,,0.0,1.0,,0.0,2.0504722595214844,2.0782310962677,2.0785114765167236,,,,,,,
7,,,2.9069619178771973,,,,,,,,,,,,0.0,1.0,,0.0,2.1598868370056152,2.0793251991271973,2.0785114765167236,,,,,,,
8,,,3.0712718963623047,,,,,,,,,,,,0.0,1.0,,0.0,2.284559726715088,2.0805718898773193,2.0785114765167236,,,,,,,
9,,,2.7908990383148193,,,,,,,,,,,,0.0,1.0,,0.0,2.3249566555023193,2.0809760093688965,2.0785114765167236,,,,,,,
10,,,3.0184078216552734,,,,,,,,,,,,0.0,1.0,,0.0,2.034818172454834,2.0780744552612305,2.0785114765167236,,,,,,,
11,,,3.5368924140930176,,,,,,,,,,,,0.0,1.0,,0.0,2.0366837978363037,2.0780932903289795,2.0785114765167236,,,,,,,
12,,,3.7733638286590576,,,,,,,,,,,,0.0,1.0,,0.0,1.9826172590255737,2.077552556991577,2.0785114765167236,,,,,,,
13,,,2.4165830612182617,,,,,,,,,,,,0.0,1.0,,0.0,2.2617413997650146,2.080343723297119,2.0785114765167236,,,,,,,
14,,,3.5887999534606934,,,,,,,,,,,,0.0,1.0,,0.0,2.185657262802124,2.079582929611206,2.0785114765167236,,,,,,,
15,,,2.6609652042388916,,,,,,,,,,,,0.0,1.0,,0.0,1.8685104846954346,2.076411485671997,2.0785114765167236,,,,,,,
16,,,2.734604597091675,,,,,,,,,,,,0.0,1.0,,0.0,2.0593652725219727,2.078320026397705,2.0785114765167236,,,,,,,
17,,,2.47894287109375,,,,,,,,,,,,0.0,1.0,,0.0,1.9560307264328003,2.077286720275879,2.0785114765167236,,,,,,,
18,,,2.1473629474639893,,,,,,,,,,,,0.0,1.0,,0.0,1.9141480922698975,2.0768678188323975,2.0785114765167236,,,,,,,
19,,,2.560973882675171,,,,,,,,,,,,0.0,1.0,,0.0,1.8138461112976074,2.075864791870117,2.0785114765167236,,,,,,,
20,,,2.3286726474761963,,,,,,,,,,,,0.0,1.0,,0.0,1.8692952394485474,2.0764193534851074,2.0785114765167236,,,,,,,
21,,,3.055734872817993,,,,,,,,,,,,0.0,1.0,,0.0,2.2135725021362305,2.079862117767334,2.0785114765167236,,,,,,,
22,,,2.245734691619873,,,,,,,,,,,,0.0,1.0,,0.0,1.8081597089767456,2.075808048248291,2.0785114765167236,,,,,,,
23,,,2.448655366897583,,,,,,,,,,,,0.0,1.0,,0.0,2.116056442260742,2.0788869857788086,2.0785114765167236,,,,,,,
24,,,2.597926616668701,,,,,,,,,,,,0.0,1.0,,0.0,1.9682773351669312,2.077409267425537,2.0785114765167236,,,,,,,
25,,,2.343888998031616,,,,,,,,,,,,0.0,1.0,,0.0,2.0656967163085938,2.078383445739746,2.0785114765167236,,,,,,,
26,,,2.522817611694336,,,,,,,,,,,,0.0,1.0,,0.0,1.8343111276626587,2.0760695934295654,2.0785114765167236,,,,,,,
27,,,3.027646780014038,,,,,,,,,,,,0.0,1.0,,0.0,1.725538730621338,2.074981689453125,2.0785114765167236,,,,,,,
28,,,3.1581175327301025,,,,,,,,,,,,0.0,1.0,,0.0,2.003260612487793,2.077759027481079,2.0785114765167236,,,,,,,
29,,,2.098414182662964,,,,,,,,,,,,0.0,1.0,,0.0,1.5533151626586914,2.0732595920562744,2.0785114765167236,,,,,,,
30,,,2.9230008125305176,,,,,,,,,,,,0.0,1.0,,0.0,1.6437807083129883,2.0741641521453857,2.0785114765167236,,,,,,,
31,,,2.3531508445739746,,,,,,,,,,,,0.0,1.0,,0.0,2.000894546508789,2.077735424041748,2.0785114765167236,,,,,,,
32,,,2.855039358139038,,,,,,,,,,,,0.0,1.0,,0.0,1.901970386505127,2.0767459869384766,2.0785114765167236,,,,,,,
33,,,2.5282373428344727,,,,,,,,,,,,0.0,1.0,,0.0,2.0462915897369385,2.0781893730163574,2.0785114765167236,,,,,,,
34,,,2.161450147628784,,,,,,,,,,,,0.0,1.0,,0.0,1.6135083436965942,2.0738613605499268,2.0785114765167236,,,,,,,
35,,,2.706928014755249,,,,,,,,,,,,0.0,1.0,,0.0,1.877741813659668,2.0765037536621094,2.0785114765167236,,,,,,,
36,,,2.2494144439697266,,,,,,,,,,,,0.0,1.0,,0.0,1.8389471769332886,2.076115846633911,2.0785114765167236,,,,,,,
37,,,3.316464424133301,,,,,,,,,,,,0.0,1.0,,0.0,1.8091460466384888,2.075817823410034,2.0785114765167236,,,,,,,
38,,,2.23791241645813,,,,,,,,,,,,0.0,1.0,,0.0,1.5705862045288086,2.073432207107544,2.0785114765167236,,,,,,,
39,0.0,3.061455011367798,2.6288506984710693,0.4697818160057068,3.061455011367798,0.0,3.061455011367798,8.99520492553711,0.92877197265625,12.465608596801758,23.699010848999023,0.959807276725769,0.9384059309959412,1.1424682140350342,0.0,1.0,,0.0,1.629141092300415,2.0740177631378174,2.0785114765167236,1.9927564859390259,,,,,,
40,,,2.649205207824707,,,,,,,,,,,,0.0,1.0,,0.0,1.5827580690383911,2.073554039001465,2.0785114765167236,,,,,,,
41,,,2.5626018047332764,,,,,,,,,,,,0.0,1.0,,0.0,1.4811482429504395,2.072537899017334,2.0785114765167236,,,,,,,
42,,,2.7042369842529297,,,,,,,,,,,,0.0,1.0,,0.0,1.418888807296753,2.0719153881073,2.0785114765167236,,,,,,,
43,,,3.2077033519744873,,,,,,,,,,,,0.0,1.0,,0.0,1.494194507598877,2.0726683139801025,2.0785114765167236,,,,,,,
44,,,3.3390700817108154,,,,,,,,,,,,0.0,1.0,,0.0,1.3383936882019043,2.071110248565674,2.0785114765167236,,,,,,,
45,,,2.0993309020996094,,,,,,,,,,,,0.0,1.0,,0.0,1.5858322381973267,2.073584794998169,2.0785114765167236,,,,,,,
46,,,3.089085578918457,,,,,,,,,,,,0.0,1.0,,0.0,1.3832720518112183,2.071559190750122,2.0785114765167236,,,,,,,
47,,,2.355886220932007,,,,,,,,,,,,0.0,1.0,,0.0,1.5336447954177856,2.0730628967285156,2.0785114765167236,,,,,,,
48,,,2.809730052947998,,,,,,,,,,,,0.0,1.0,,0.0,1.3388538360595703,2.071115016937256,2.0785114765167236,,,,,,,
49,1.0,1.6247477531433105,2.509878635406494,,,,,,,,,,,,0.0,1.0,1.6666666851961054e-05,0.0,1.6247477531433105,2.0739738941192627,2.0785114765167236,,1.6247477531433105,1.6247477531433105,0.5014190673828125,1.6247477531433105,0.0,1.6247477531433105
50,,,2.135237216949463,,,,,,,,,,,,0.0,1.0,,0.0,1.3757356405258179,2.071483850479126,2.0785114765167236,,,,,,,
51,,,2.6725006103515625,,,,,,,,,,,,0.0,1.0,,0.0,1.5704295635223389,2.0734307765960693,2.0785114765167236,,,,,,,
