step,epoch,final_spec_losses_weighted/2048_spectrogram_mag,in_domain_validation_losses/loss_total,in_domain_validation_losses/raw_params_loss,in_domain_validation_losses/raw_spec_loss,in_domain_validation_losses/weighted_params_loss,in_domain_validation_losses/weighted_spec_loss,in_domain_validation_metrics/lsd_value,in_domain_validation_metrics/mean_average_error,in_domain_validation_metrics/mfcc_mae,in_domain_validation_metrics/paper_lsd_value,in_domain_validation_metrics/pearson_fft,in_domain_validation_metrics/pearson_stft,in_domain_validation_metrics/spectral_convergence_value,loss/parameters_decay_factor,loss/spec_loss_rampup_factor,lr-Adam,normalized_losses/post_rampup_weighted_params_loss,normalized_losses/post_rampup_weighted_spec_loss,normalized_losses/running_avg_parameters_loss,normalized_losses/running_avg_spectrogram_loss,train_loss_epoch,train_loss_step,train_losses/loss_total,train_losses/raw_params_loss,train_losses/raw_spec_loss,train_losses/weighted_params_loss,train_losses/weighted_spec_loss
0,,,0.3739491105079651,,,,,,,,,,,,0.0,1.0,,0.0,0.9516562819480896,0.9484924674034119,0.9484605193138123,,,,,,,
1,,,0.35299527645111084,,,,,,,,,,,,0.0,1.0,,0.0,1.0594865083694458,0.9495707750320435,0.9484605193138123,,,,,,,
2,,,0.3782542645931244,,,,,,,,,,,,0.0,1.0,,0.0,0.911284863948822,0.9480887651443481,0.9484605193138123,,,,,,,
3,,,0.35829538106918335,,,,,,,,,,,,0.0,1.0,,0.0,0.9309868812561035,0.9482858180999756,0.9484605193138123,,,,,,,
4,,,0.30927616357803345,,,,,,,,,,,,0.0,1.0,,0.0,0.9041737914085388,0.9480176568031311,0.9484605193138123,,,,,,,
5,,,0.390304297208786,,,,,,,,,,,,0.0,1.0,,0.0,0.7494893670082092,0.9464707970619202,0.9484605193138123,,,,,,,
6,,,0.35228121280670166,,,,,,,,,,,,0.0,1.0,,0.0,0.8751398921012878,0.9477273225784302,0.9484605193138123,,,,,,,
7,,,0.34769710898399353,,,,,,,,,,,,0.0,1.0,,0.0,0.7645729780197144,0.9466216564178467,0.9484605193138123,,,,,,,
8,,,0.3351938724517822,,,,,,,,,,,,0.0,1.0,,0.0,0.7334923148155212,0.9463108777999878,0.9484605193138123,,,,,,,
9,,,0.3471377193927765,,,,,,,,,,,,0.0,1.0,,0.0,0.656242311000824,0.945538341999054,0.9484605193138123,,,,,,,
10,,,0.31756657361984253,,,,,,,,,,,,0.0,1.0,,0.0,0.7651891708374023,0.9466277956962585,0.9484605193138123,,,,,,,
11,,,0.35833075642585754,,,,,,,,,,,,0.0,1.0,,0.0,0.6660471558570862,0.9456363916397095,0.9484605193138123,,,,,,,
12,,,0.4012584984302521,,,,,,,,,,,,0.0,1.0,,0.0,0.7061021327972412,0.9460369348526001,0.9484605193138123,,,,,,,
13,,,0.2927118241786957,,,,,,,,,,,,0.0,1.0,,0.0,0.5820223689079285,0.9447961449623108,0.9484605193138123,,,,,,,
14,,,0.37205764651298523,,,,,,,,,,,,0.0,1.0,,0.0,0.5772643685340881,0.94474858045578,0.9484605193138123,,,,,,,
15,,,0.3098098337650299,,,,,,,,,,,,0.0,1.0,,0.0,0.6355447173118591,0.9453313946723938,0.9484605193138123,,,,,,,
16,,,0.16789886355400085,,,,,,,,,,,,0.0,1.0,,0.0,0.5458337068557739,0.9444342851638794,0.9484605193138123,,,,,,,
17,,,0.17620182037353516,,,,,,,,,,,,0.0,1.0,,0.0,0.6422573328018188,0.9453985095024109,0.9484605193138123,,,,,,,
18,,,0.20293566584587097,,,,,,,,,,,,0.0,1.0,,0.0,0.5246540307998657,0.9442224502563477,0.9484605193138123,,,,,,,
19,,,0.1183125302195549,,,,,,,,,,,,0.0,1.0,,0.0,0.4434906542301178,0.9434108138084412,0.9484605193138123,,,,,,,
20,,,0.20514175295829773,,,,,,,,,,,,0.0,1.0,,0.0,0.5599960684776306,0.9445759057998657,0.9484605193138123,,,,,,,
21,,,0.17443852126598358,,,,,,,,,,,,0.0,1.0,,0.0,0.6198527812957764,0.9451744556427002,0.9484605193138123,,,,,,,
22,,,0.27743738889694214,,,,,,,,,,,,0.0,1.0,,0.0,0.43405085802078247,0.9433164596557617,0.9484605193138123,,,,,,,
23,,,0.1359396129846573,,,,,,,,,,,,0.0,1.0,,0.0,0.4630875289440155,0.9436067938804626,0.9484605193138123,,,,,,,
24,,,0.16158969700336456,,,,,,,,,,,,0.0,1.0,,0.0,0.43354085087776184,0.943311333656311,0.9484605193138123,,,,,,,
25,,,0.14629647135734558,,,,,,,,,,,,0.0,1.0,,0.0,0.4895760416984558,0.9438716769218445,0.9484605193138123,,,,,,,
26,,,0.14396913349628448,,,,,,,,,,,,0.0,1.0,,0.0,0.4012709856033325,0.9429886341094971,0.9484605193138123,,,,,,,
27,,,0.16102850437164307,,,,,,,,,,,,0.0,1.0,,0.0,0.5149379372596741,0.9441252946853638,0.9484605193138123,,,,,,,
28,,,0.14065474271774292,,,,,,,,,,,,0.0,1.0,,0.0,0.5263975262641907,0.9442399144172668,0.9484605193138123,,,,,,,
29,,,0.1559508740901947,,,,,,,,,,,,0.0,1.0,,0.0,0.4485331177711487,0.9434612393379211,0.9484605193138123,,,,,,,
30,,,0.14958302676677704,,,,,,,,,,,,0.0,1.0,,0.0,0.4543214738368988,0.943519115447998,0.9484605193138123,,,,,,,
31,,,0.19482704997062683,,,,,,,,,,,,0.0,1.0,,0.0,0.5044887661933899,0.9440208077430725,0.9484605193138123,,,,,,,
32,,,0.2896263003349304,,,,,,,,,,,,0.0,1.0,,0.0,0.39924126863479614,0.9429683685302734,0.9484605193138123,,,,,,,
