,"(0, 0)","(0, 1)"
0,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.3148556030987211}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 6954.76281224517}}"
1,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.5241975645122477}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 2762.9022245423007}}"
2,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.7706146849225937}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 3404.747348578872}}"
3,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.7913285288091512}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 3932.480753481503}}"
4,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.8718564418510653}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 7131.422925252715}}"
5,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.1960421777058482}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 2335.452444379442}}"
6,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.27681019316074906}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 2995.592976471326}}"
7,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.5012302195779826}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 2244.350730186216}}"
8,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.7417305296425736}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 7531.194719245233}}"
9,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.20300247172522418}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 4240.973491032136}}"
10,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.18794779425865285}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 3584.265146802722}}"
11,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.5434379959894018}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 6689.597110885177}}"
12,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.28993794856486776}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 560.019425948146}}"
13,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.7633304707674777}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 5600.235139512213}}"
14,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.2769960122294879}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 4437.479139995617}}"
15,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.3005843142208651}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 7755.835921925958}}"
16,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.9627814564966467}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 166.97109878604525}}"
17,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.914082182909399}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 4178.628149448619}}"
18,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.5724930969517181}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 262.0339819404235}}"
19,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.4906374304634939}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 890.1716126086396}}"
20,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.6571673269420992}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 5290.491886891633}}"
21,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.5412631045440809}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 810.3923073474849}}"
22,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.9957815084264153}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 3723.6125570350637}}"
23,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.15056263924262228}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 945.9583729834419}}"
24,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.9755882202079892}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 4593.2400052071425}}"
25,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.6233618992626144}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 7965.29223849087}}"
26,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.7232813456279247}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 942.5647722205896}}"
