step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/BFRQ_0,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/perc,train/spec,train/total,train/wave,val_id/loud,val_id/lsd,val_id/mfcc,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_hz,val_id/param_group/harmor_f0_mult,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/loud,val_ood/lsd,val_ood/mfcc,val_ood/param,val_ood/perc,val_ood/spec,val_ood/wave
0,0,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,40,,,,,
75049,300,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75099,300,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75149,300,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75199,300,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75249,300,300,0.00013398,0,0,1,0,0.000739354,0.000295501,7.2737,0.000273373,1.02396,0.0236239,0.00597991,0.027744,0,2.57706,2.57706,0,6.34917,11.7607,1.33469,0.0823738,0.0795505,0.041776,0.00372617,0.0965914,0.135889,0.13671,0,2.85851,0,7.08571,16.6925,2.50906,0,0,6.6462,0
75299,301,,0.000133947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75349,301,,0.000133947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75399,301,,0.000133947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75449,301,,0.000133947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75499,301,301,0.000133947,0,0,1,0,0.000750413,0.000306031,7.25254,0.000274567,1.07513,0.0242737,0.00619742,0.0280154,0,2.56309,2.56309,0,6.54218,12.3937,1.35084,0.0813201,0.0785475,0.0417921,0.00429767,0.0918464,0.134543,0.136893,0,3.07511,0,7.20142,16.739,2.52312,0,0,6.66857,0
75549,302,,0.000133847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75599,302,,0.000133847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75649,302,,0.000133847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75699,302,,0.000133847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75749,302,302,0.000133847,0,0,1,0,0.000723962,0.00029902,7.39917,0.000268837,1.11166,0.0226724,0.00604445,0.0263618,0,2.56343,2.56343,0,6.46418,12.0768,1.34165,0.0816924,0.0791466,0.0428274,0.00391332,0.0908059,0.135111,0.13835,0,3.02312,0,7.12163,16.7097,2.51655,0,0,6.59263,0
75799,303,,0.000133682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75849,303,,0.000133682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75899,303,,0.000133682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75949,303,,0.000133682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75999,303,303,0.000133682,0,0,1,0,0.000742719,0.000304374,7.39745,0.000275778,1.15368,0.0235622,0.00614436,0.0275474,0,2.53054,2.53054,0,6.49211,12.2405,1.35127,0.082137,0.0794186,0.0434125,0.00398475,0.0899618,0.135182,0.140862,0,3.10161,0,7.17772,16.7472,2.5153,0,0,6.63409,0
76049,304,,0.000133451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76099,304,,0.000133451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76149,304,,0.000133451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76199,304,,0.000133451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76249,304,304,0.000133451,0,0,1,0,0.00073941,0.000291296,7.484,0.000272291,1.09462,0.0235291,0.00583371,0.0271731,0,2.55414,2.55414,0,6.6535,12.6319,1.36656,0.0832088,0.080112,0.044035,0.00438625,0.0895742,0.135654,0.145491,0,3.11184,0,7.19176,16.7663,2.51912,0,0,6.61503,0
76299,305,,0.000133155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76349,305,,0.000133155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76399,305,,0.000133155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76449,305,,0.000133155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76499,305,305,0.000133155,0,0,1,0,0.000749598,0.000295215,7.37905,0.000268061,1.07119,0.0237917,0.00602369,0.0268166,0,2.53527,2.53527,0,6.41343,11.7642,1.33317,0.0839247,0.0808462,0.0450708,0.00379072,0.097965,0.135342,0.140533,0,2.89806,0,7.18555,16.7578,2.52436,0,0,6.55022,0
76549,306,,0.000132793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76599,306,,0.000132793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76649,306,,0.000132793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76699,306,,0.000132793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76749,306,306,0.000132793,0,0,1,0,0.000729637,0.000296936,7.39519,0.000275571,1.07359,0.0228957,0.00590502,0.0266274,0,2.55266,2.55266,0,6.36387,11.8847,1.33662,0.0852435,0.0808871,0.043355,0.0036437,0.102355,0.135316,0.145905,0,2.89521,0,7.09917,16.7011,2.50799,0,0,6.59301,0
76799,307,,0.000132366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76849,307,,0.000132366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76899,307,,0.000132366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76949,307,,0.000132366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76999,307,307,0.000132366,0,0,1,0,0.000748706,0.000294955,7.44547,0.0002747,1.10715,0.0241821,0.00590544,0.0283075,0,2.56725,2.56725,0,6.6998,12.7268,1.3684,0.0855817,0.0799665,0.0433793,0.00541075,0.105046,0.137708,0.141979,0,3.25081,0,7.12699,16.7501,2.53239,0,0,6.64181,0
77049,308,,0.000131875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77099,308,,0.000131875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77149,308,,0.000131875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77199,308,,0.000131875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77249,308,308,0.000131875,0,0,1,0,0.000748425,0.000303725,7.3831,0.000271547,1.10518,0.0240602,0.00622455,0.0282178,0,2.54055,2.54055,0,6.45743,12.0636,1.3516,0.0833426,0.0806343,0.0437396,0.00386904,0.0981475,0.135389,0.138276,0,3.00071,0,7.20992,16.7158,2.53026,0,0,6.59742,0
77299,309,,0.00013132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77349,309,,0.00013132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77399,309,,0.00013132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77449,309,,0.00013132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77499,309,309,0.00013132,0,0,1,0,0.00074643,0.000296324,7.46263,0.000263698,1.16008,0.0235067,0.00597229,0.0266279,0,2.50004,2.50004,0,6.41423,11.9899,1.33592,0.0846053,0.0822384,0.0448126,0.00404886,0.0988241,0.13576,0.141948,0,2.97922,0,7.12838,16.7819,2.51749,0,0,6.62359,0
77549,310,,0.000130701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77599,310,,0.000130701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77649,310,,0.000130701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77699,310,,0.000130701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77749,310,310,0.000130701,0,0,1,0,0.00073914,0.000290685,7.42468,0.000264063,1.17598,0.0237514,0.00576654,0.0275104,0,2.53423,2.53423,0,6.47818,11.83,1.34204,0.0842719,0.0802447,0.0441778,0.00375829,0.0978736,0.13579,0.143786,0,2.88421,0,7.21913,16.7844,2.54561,0,0,6.75422,0
77799,311,,0.000130019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77849,311,,0.000130019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77899,311,,0.000130019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77949,311,,0.000130019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77999,311,311,0.000130019,0,0,1,0,0.000738767,0.000300956,7.68792,0.000267814,1.14638,0.0232479,0.00603504,0.0269598,0,2.4872,2.4872,0,6.4776,12.1357,1.36403,0.0842375,0.0818045,0.0434268,0.00413237,0.099781,0.134404,0.141876,0,3.04988,0,7.26883,16.7225,2.52195,0,0,6.571,0
78049,312,,0.000129275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78099,312,,0.000129275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78149,312,,0.000129275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78199,312,,0.000129275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78249,312,312,0.000129275,0,0,1,0,0.000733154,0.000295772,7.46098,0.00026512,1.10462,0.0233776,0.00592812,0.0267931,0,2.52311,2.52311,0,6.3993,11.9351,1.34506,0.0838785,0.0803781,0.0443253,0.00411857,0.0978317,0.134958,0.14166,0,2.9555,0,7.12295,16.7919,2.53084,0,0,6.72322,0
78299,313,,0.00012847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78349,313,,0.00012847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78399,313,,0.00012847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78449,313,,0.00012847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78499,313,313,0.00012847,0,0,1,0,0.000775002,0.000306127,7.34991,0.000281599,1.11669,0.0253631,0.00660374,0.0295491,0,2.49092,2.49092,0,6.39701,11.9884,1.34753,0.0824462,0.0802164,0.0430153,0.0038686,0.0920057,0.136332,0.139239,0,2.96929,0,7.17716,16.7705,2.53682,0,0,6.77301,0
78549,314,,0.000127604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78599,314,,0.000127604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78649,314,,0.000127604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78699,314,,0.000127604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78749,314,314,0.000127604,0,0,1,0,0.000748678,0.000303084,7.49791,0.000272672,1.13086,0.0242146,0.0062494,0.0286039,0,2.52942,2.52942,0,6.43651,11.9011,1.35268,0.0841999,0.0808938,0.0440987,0.00377127,0.1006,0.134619,0.141216,0,2.93478,0,7.13953,16.69,2.51702,0,0,6.61098,0
78799,315,,0.000126678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78849,315,,0.000126678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78899,315,,0.000126678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78949,315,,0.000126678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78999,315,315,0.000126678,0,0,1,0,0.000762959,0.000301162,7.34257,0.000268103,1.09127,0.0247302,0.00604097,0.0278823,0,2.52929,2.52929,0,6.39981,11.7505,1.3465,0.0853601,0.082488,0.0444842,0.00370024,0.103834,0.13504,0.142614,0,2.89173,0,7.24325,16.7354,2.52158,0,0,6.59754,0
79049,316,,0.000125693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79099,316,,0.000125693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79149,316,,0.000125693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79199,316,,0.000125693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79249,316,316,0.000125693,0,0,1,0,0.000748304,0.000297932,7.51033,0.000261389,1.06409,0.0235712,0.00602087,0.0267249,0,2.50816,2.50816,0,6.40568,11.6083,1.33238,0.0852711,0.0811343,0.0458498,0.00385383,0.102608,0.136332,0.141848,0,2.83008,0,7.23738,16.7459,2.52537,0,0,6.67081,0
79299,317,,0.000124651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79349,317,,0.000124651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79399,317,,0.000124651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79449,317,,0.000124651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79499,317,317,0.000124651,0,0,1,0,0.000750831,0.00029112,7.45907,0.00026421,1.05612,0.0235583,0.0058303,0.0262205,0,2.4953,2.4953,0,6.38875,11.7227,1.35868,0.0879008,0.083573,0.044543,0.00378448,0.112086,0.137103,0.146314,0,2.86077,0,7.30675,16.7261,2.54399,0,0,6.60576,0
79549,318,,0.000123551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79599,318,,0.000123551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79649,318,,0.000123551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79699,318,,0.000123551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79749,318,318,0.000123551,0,0,1,0,0.000765987,0.000293375,7.32676,0.0002681,0.999006,0.0249147,0.00583411,0.0277378,0,2.51611,2.51611,0,6.50193,11.8733,1.36779,0.0881948,0.0841428,0.0447382,0.00381763,0.112476,0.13639,0.147604,0,2.92853,0,7.29895,16.7568,2.55359,0,0,6.5276,0
79799,319,,0.000122396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79849,319,,0.000122396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79899,319,,0.000122396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79949,319,,0.000122396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79999,319,319,0.000122396,0,0,1,0,0.000752894,0.000296061,7.40352,0.000266211,0.986386,0.0242542,0.0059102,0.0272864,0,2.49224,2.49224,0,6.45419,11.7325,1.35635,0.0865087,0.0831817,0.0442755,0.00371708,0.11362,0.135179,0.139079,0,2.88119,0,7.32857,16.7592,2.55534,0,0,6.532,0
80049,320,,0.000121186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80099,320,,0.000121186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80149,320,,0.000121186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80199,320,,0.000121186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80249,320,320,0.000121186,0,0,1,0,0.000751218,0.000295869,7.28389,0.000276387,1.06973,0.0243113,0.00594125,0.0279504,0,2.53411,2.53411,0,6.45402,11.7532,1.34772,0.0853033,0.0814994,0.0430901,0.00386731,0.108346,0.13643,0.138587,0,2.86532,0,7.34133,16.6883,2.54574,0,0,6.5725,0
80299,321,,0.000119922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80349,321,,0.000119922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80399,321,,0.000119922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80449,321,,0.000119922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80499,321,321,0.000119922,0,0,1,0,0.000773644,0.000305672,7.25316,0.000274883,1.11272,0.0250532,0.00629775,0.0277519,0,2.47893,2.47893,0,6.39836,11.7183,1.33827,0.0838371,0.0811754,0.0428351,0.0036725,0.0989121,0.137511,0.138916,0,2.88595,0,7.22405,16.6965,2.54182,0,0,6.62865,0
80549,322,,0.000118606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80599,322,,0.000118606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80649,322,,0.000118606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80699,322,,0.000118606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80749,322,322,0.000118606,0,0,1,0,0.000756325,0.000304321,7.56895,0.000271242,1.15607,0.0239929,0.00605169,0.0270587,0,2.41559,2.41559,0,6.40863,11.6247,1.3431,0.0832395,0.0807277,0.0444879,0.00371555,0.0963073,0.136081,0.138117,0,2.84519,0,7.21771,16.7125,2.53032,0,0,6.61747,0
80799,323,,0.00011724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80849,323,,0.00011724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80899,323,,0.00011724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80949,323,,0.00011724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80999,323,323,0.00011724,0,0,1,0,0.000764887,0.000301479,7.60581,0.000270024,1.13891,0.0246989,0.0060313,0.0277137,0,2.42905,2.42905,0,6.39514,11.4603,1.32796,0.0849904,0.0811131,0.0454108,0.00377169,0.100252,0.137509,0.141886,0,2.77035,0,7.2284,16.7498,2.54876,0,0,6.73556,0
81049,324,,0.000115823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81099,324,,0.000115823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81149,324,,0.000115823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81199,324,,0.000115823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
