step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/CUTOFF_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/perc,train/spec,train/total,train/wave,val_id/loud,val_id/lsd,val_id/mfcc,val_id/mfcc03,val_id/mfccdb,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/lsd
0,0,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,40
12549,50,,0.000605006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12599,50,,0.000605006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12649,50,,0.000605006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12699,50,,0.000605006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12749,50,50,0.000605006,9.9668,0,0.00166,0.235424,4.73507e-05,4.79924e-05,9.00684e-05,0.0129784,0.0129779,0.0259569,0,0.000137609,0.23553,0,3.99275,5.22681,0.795929,0.0769033,2.74547,0.0460568,0.0496492,0.0314806,0.112447,0.082764,0,0.0874191,0,
12799,51,,0.000598956,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12849,51,,0.000598956,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12899,51,,0.000598956,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12949,51,,0.000598956,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12999,51,51,0.000598956,9.90013,0,0.00499333,0.230963,4.72611e-05,4.77362e-05,8.97335e-05,0.0128931,0.0128919,0.0257855,0,0.000417557,0.23138,0,4.01042,5.2364,0.803308,0.0804583,2.79311,0.0458565,0.0512462,0.0311229,0.113259,0.0795109,0,0.0916731,0,
13049,52,,0.000592966,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13099,52,,0.000592966,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13149,52,,0.000592966,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13199,52,,0.000592966,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13249,52,52,0.000592966,9.83347,0,0.00832667,0.225786,4.70788e-05,4.74161e-05,8.89401e-05,0.0128074,0.0128058,0.0256147,0,0.000684914,0.226471,0,3.95453,5.03999,0.78548,0.0711802,2.63122,0.0456883,0.0480084,0.0318614,0.112398,0.0818617,0,0.0847668,0,
13299,53,,0.000587037,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13349,53,,0.000587037,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13399,53,,0.000587037,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13449,53,,0.000587037,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13499,53,53,0.000587037,9.7668,0,0.01166,0.22466,4.69503e-05,4.7194e-05,8.86754e-05,0.0127223,0.0127196,0.0254437,0,0.000964967,0.225625,0,3.92712,5.05792,0.783745,0.0712817,2.62847,0.0454071,0.0487283,0.0305315,0.113309,0.0798741,0,0.085926,0,
13549,54,,0.000581166,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13599,54,,0.000581166,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13649,54,,0.000581166,,,,,,,,,,,,,,,,,,,,,,,,,,,,
