step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param,train/param_grad/AMP_0,train/param_grad/BFRQ_0,train/param_grad/CUTOFF_0,train/param_grad/M_OSC_0,train/param_grad/Q_FILT_0,train/perc,train/spec,train/total,train/wave,val_id/loud,val_id/lsd,val_id/mfcc,val_id/mfcc03,val_id/mfccdb,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_hz,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/lsd
0,0,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,40
50049,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50099,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50149,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50199,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50249,200,200,0.00013398,0,0,0.5,0,3.65321e-05,0.440592,2.16996e-05,0.000215106,0.000325037,0,0.102841,0.102841,0,5.79482,8.24307,1.02884,0.0450885,2.28046,0.0324011,0.0546146,0.0310957,0.00177031,0.0218179,0.0527068,0,0.203397,0,
50299,201,,0.00013264,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50349,201,,0.00013264,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50399,201,,0.00013264,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50449,201,,0.00013264,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50499,201,201,0.00013264,0,0,0.5,0,3.81657e-05,0.437826,2.18613e-05,0.000221222,0.000319998,0,0.101594,0.101594,0,5.86466,8.36448,1.03957,0.0450809,2.28895,0.0363285,0.0616295,0.0337689,0.00185989,0.0244065,0.0599775,0,0.202673,0,
50549,202,,0.000131313,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50599,202,,0.000131313,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50649,202,,0.000131313,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50699,202,,0.000131313,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50749,202,202,0.000131313,0,0,0.5,0,3.87551e-05,0.453082,2.186e-05,0.000223081,0.00029726,0,0.100112,0.100112,0,5.9315,8.65794,1.04417,0.0472844,2.33323,0.0366393,0.0605623,0.0332501,0.00194199,0.0271925,0.0602495,0,0.210828,0,
50799,203,,0.00013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50849,203,,0.00013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50899,203,,0.00013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50949,203,,0.00013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50999,203,203,0.00013,0,0,0.5,0,3.81756e-05,0.437613,2.13059e-05,0.000226922,0.000292359,0,0.101609,0.101609,0,5.86721,8.09609,1.03432,0.0477887,2.31273,0.0409695,0.0713337,0.036797,0.00175706,0.0271598,0.0678,0,0.197175,0,
51049,204,,0.0001287,,,,,,,,,,,,,,,,,,,,,,,,,,,,
