step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/BFRQ_0,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/perc,train/spec,train/total,train/wave,val_id/loud,val_id/lsd,val_id/mfcc,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_hz,val_id/param_group/harmor_f0_mult,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/loud,val_ood/lsd,val_ood/mfcc,val_ood/param,val_ood/perc,val_ood/spec,val_ood/wave
0,0,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,40,,,,,
49,0,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,0,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,0,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,0,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,0,0,0.001,0,0,0.5,0,2.0702e-05,1.17506e-06,0.00333354,1.10419e-05,0.000967813,0.0015331,0.000105264,0.00185704,0,5.09127,5.09127,0,29.9755,24.7153,6.5062,0.422149,0.148023,0.53902,0.537139,0.463752,0.375745,0.469216,0,10.0836,0,23.0564,21.9225,4.83434,0,0,10.683,0
299,1,,0.00099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,1,,0.00099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,1,,0.00099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,1,,0.00099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,1,1,0.00099,0,0,0.5,0,1.28364e-13,0,1.78398e-13,8.70961e-16,0,1.68695e-14,0,1.33358e-15,0,5.00688,5.00688,0,29.9755,24.7153,6.5062,0.422105,0.148017,0.539025,0.537097,0.463777,0.37564,0.469073,0,10.0836,0,23.0564,21.9225,4.83434,0,0,10.683,0
549,2,,0.0009801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,2,,0.0009801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,2,,0.0009801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699,2,,0.0009801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749,2,2,0.0009801,0,0,0.5,0,1.28333e-13,0,1.78456e-13,8.70675e-16,0,1.68656e-14,0,1.33334e-15,0,5.00688,5.00688,0,29.9755,24.7153,6.5062,0.422139,0.148037,0.53902,0.537156,0.463791,0.375676,0.469153,0,10.0836,0,23.0564,21.9225,4.83434,0,0,10.683,0
799,3,,0.000970299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
849,3,,0.000970299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899,3,,0.000970299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,3,,0.000970299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999,3,3,0.000970299,0,0,0.5,0,1.28354e-13,0,1.78834e-13,8.70667e-16,0,1.68654e-14,0,1.33302e-15,0,5.00688,5.00688,0,29.9755,24.7153,6.5062,0.422136,0.148052,0.539019,0.537187,0.463824,0.375594,0.469139,0,10.0836,0,23.0564,21.9225,4.83434,0,0,10.683,0
1049,4,,0.000960596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1099,4,,0.000960596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1149,4,,0.000960596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199,4,,0.000960596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
