step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/BFRQ_0,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/total,val_id/loud,val_id/lsd,val_id/mfcc,val_id/param,val_id/perc,val_id/spec,val_id/wave,val_ood/loud,val_ood/lsd,val_ood/mfcc,val_ood/param,val_ood/perc,val_ood/spec,val_ood/wave
0,0,,,,,,,,,,,,,,,,40,,,,,,,40,,,,,
49,0,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,
99,0,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,
149,0,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,
199,0,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,
249,0,0,0.001,10,0,0,5.05644e-05,5.0826e-05,0.0260416,9.88393e-05,0.0260416,0.0130208,0.0130208,0.0260416,1.46984,7.0011,18.6503,1.97154,0.131268,0,7.48038,0,6.71172,18.4694,2.92287,0,0,7.95708,0
299,1,,0.00099,,,,,,,,,,,,,,,,,,,,,,,,,,
349,1,,0.00099,,,,,,,,,,,,,,,,,,,,,,,,,,
399,1,,0.00099,,,,,,,,,,,,,,,,,,,,,,,,,,
449,1,,0.00099,,,,,,,,,,,,,,,,,,,,,,,,,,
499,1,1,0.00099,10,0,0,5.00395e-05,5.04839e-05,0.0260416,9.756e-05,0.0260416,0.0130208,0.0130208,0.0260416,1.09731,6.70337,17.8658,1.75532,0.104785,0,8.40499,0,6.71908,18.2405,2.88749,0,0,10.4829,0
549,2,,0.0009801,,,,,,,,,,,,,,,,,,,,,,,,,,
599,2,,0.0009801,,,,,,,,,,,,,,,,,,,,,,,,,,
649,2,,0.0009801,,,,,,,,,,,,,,,,,,,,,,,,,,
699,2,,0.0009801,,,,,,,,,,,,,,,,,,,,,,,,,,
749,2,2,0.0009801,10,0,0,4.98637e-05,5.02646e-05,0.0260416,9.67972e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.948958,6.52471,17.2919,1.64395,0.0988913,0,7.0875,0,6.57955,18.1517,2.82224,0,0,9.87837,0
799,3,,0.000970299,,,,,,,,,,,,,,,,,,,,,,,,,,
849,3,,0.000970299,,,,,,,,,,,,,,,,,,,,,,,,,,
899,3,,0.000970299,,,,,,,,,,,,,,,,,,,,,,,,,,
949,3,,0.000970299,,,,,,,,,,,,,,,,,,,,,,,,,,
999,3,3,0.000970299,10,0,0,4.96094e-05,5.00944e-05,0.0260416,9.65204e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.846789,6.40189,17.636,1.60956,0.0815195,0,6.86025,0,6.43107,18.3105,2.81176,0,0,9.14842,0
1049,4,,0.000960596,,,,,,,,,,,,,,,,,,,,,,,,,,
1099,4,,0.000960596,,,,,,,,,,,,,,,,,,,,,,,,,,
1149,4,,0.000960596,,,,,,,,,,,,,,,,,,,,,,,,,,
1199,4,,0.000960596,,,,,,,,,,,,,,,,,,,,,,,,,,
1249,4,4,0.000960596,10,0,0,4.95423e-05,5.00293e-05,0.0260416,9.59999e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.787675,6.5917,17.0549,1.52767,0.0816459,0,6.67703,0,6.37277,17.9806,2.73368,0,0,9.8219,0
1299,5,,0.00095099,,,,,,,,,,,,,,,,,,,,,,,,,,
1349,5,,0.00095099,,,,,,,,,,,,,,,,,,,,,,,,,,
1399,5,,0.00095099,,,,,,,,,,,,,,,,,,,,,,,,,,
1449,5,,0.00095099,,,,,,,,,,,,,,,,,,,,,,,,,,
1499,5,5,0.00095099,10,0,0,4.95294e-05,4.99646e-05,0.0260416,9.58548e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.737456,6.20524,17.2863,1.52737,0.0740264,0,6.24043,0,6.35621,18.0252,2.71969,0,0,9.95272,0
1549,6,,0.00094148,,,,,,,,,,,,,,,,,,,,,,,,,,
1599,6,,0.00094148,,,,,,,,,,,,,,,,,,,,,,,,,,
1649,6,,0.00094148,,,,,,,,,,,,,,,,,,,,,,,,,,
1699,6,,0.00094148,,,,,,,,,,,,,,,,,,,,,,,,,,
