step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/total,val_id/loud,val_id/lsd,val_id/mfcc,val_id/mfcc03,val_id/mfccdb,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_mult,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/lsd
0,0,,,,,,,,,,,,,,,40,,,,,,,,,,,,,40
49,0,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,
99,0,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,
149,0,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,
199,0,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,
249,0,0,0.001,10,0,0,5.06184e-05,5.07479e-05,9.8685e-05,0.0260416,0.0130208,0.0130208,0.0260416,1.16201,5.70633,14.6013,1.5824,0.267071,9.88163,0.101235,0.0918586,0.0490545,0.0590536,0.232096,0.175349,0,5.87447,0,
299,1,,0.00099,,,,,,,,,,,,,,,,,,,,,,,,,,
349,1,,0.00099,,,,,,,,,,,,,,,,,,,,,,,,,,
399,1,,0.00099,,,,,,,,,,,,,,,,,,,,,,,,,,
449,1,,0.00099,,,,,,,,,,,,,,,,,,,,,,,,,,
499,1,1,0.00099,10,0,0,5.03655e-05,5.05497e-05,9.73902e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.941774,5.22264,13.9261,1.40195,0.235851,8.49929,0.0903946,0.0842433,0.0468787,0.0463699,0.218456,0.14642,0,5.94987,0,
549,2,,0.0009801,,,,,,,,,,,,,,,,,,,,,,,,,,
599,2,,0.0009801,,,,,,,,,,,,,,,,,,,,,,,,,,
649,2,,0.0009801,,,,,,,,,,,,,,,,,,,,,,,,,,
699,2,,0.0009801,,,,,,,,,,,,,,,,,,,,,,,,,,
749,2,2,0.0009801,10,0,0,5.0141e-05,5.0419e-05,9.67161e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.84071,5.14437,13.4005,1.32093,0.206874,7.93264,0.0803957,0.0793305,0.0442523,0.0410184,0.203237,0.114536,0,5.59383,0,
799,3,,0.000970299,,,,,,,,,,,,,,,,,,,,,,,,,,
849,3,,0.000970299,,,,,,,,,,,,,,,,,,,,,,,,,,
899,3,,0.000970299,,,,,,,,,,,,,,,,,,,,,,,,,,
949,3,,0.000970299,,,,,,,,,,,,,,,,,,,,,,,,,,
999,3,3,0.000970299,10,0,0,4.99058e-05,5.02934e-05,9.63119e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.773209,4.81019,13.2237,1.21398,0.190557,7.29259,0.073997,0.0761598,0.0406065,0.038054,0.188756,0.100405,0,5.16253,0,
1049,4,,0.000960596,,,,,,,,,,,,,,,,,,,,,,,,,,
1099,4,,0.000960596,,,,,,,,,,,,,,,,,,,,,,,,,,
1149,4,,0.000960596,,,,,,,,,,,,,,,,,,,,,,,,,,
1199,4,,0.000960596,,,,,,,,,,,,,,,,,,,,,,,,,,
1249,4,4,0.000960596,10,0,0,4.98046e-05,5.01566e-05,9.58586e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.728668,5.00542,13.1626,1.22099,0.189169,7.32323,0.0705799,0.0763203,0.0414192,0.0334284,0.172652,0.09966,0,5.0567,0,
1299,5,,0.00095099,,,,,,,,,,,,,,,,,,,,,,,,,,
1349,5,,0.00095099,,,,,,,,,,,,,,,,,,,,,,,,,,
1399,5,,0.00095099,,,,,,,,,,,,,,,,,,,,,,,,,,
1449,5,,0.00095099,,,,,,,,,,,,,,,,,,,,,,,,,,
1499,5,5,0.00095099,10,0,0,4.96136e-05,5.00487e-05,9.56251e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.683612,4.9736,13.0782,1.19474,0.178844,6.88033,0.0685981,0.0694266,0.0399639,0.0300505,0.166743,0.105404,0,4.78787,0,
1549,6,,0.00094148,,,,,,,,,,,,,,,,,,,,,,,,,,
1599,6,,0.00094148,,,,,,,,,,,,,,,,,,,,,,,,,,
