step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/BFRQ_0,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/perc,train/spec,train/total,train/wave,val_id/loud,val_id/lsd,val_id/mfcc,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_hz,val_id/param_group/harmor_f0_mult,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/loud,val_ood/lsd,val_ood/mfcc,val_ood/param,val_ood/perc,val_ood/spec,val_ood/wave
0,0,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,40,,,,,
50049,200,,0.000261834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50099,200,,0.000261834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50149,200,,0.000261834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50199,200,,0.000261834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50249,200,200,0.000261834,0,0,0.5,0,0.000654642,0.000116413,4.36812,0.000192766,0.232664,0.0218584,0.00264616,0.0231069,0,3.00979,3.00979,0,7.65567,13.8966,1.67606,0.0981995,0.0968878,0.0698392,0.00565871,0.109003,0.140378,0.167431,0,6.41815,0,9.22169,17.5068,2.87038,0,0,10.6385,0
50299,201,,0.000260085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50349,201,,0.000260085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50399,201,,0.000260085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50449,201,,0.000260085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50499,201,201,0.000260085,0,0,0.5,0,0.000693574,0.000119733,4.5664,0.000200905,0.263624,0.0235483,0.0028684,0.0237676,0,2.93368,2.93368,0,7.40127,12.9717,1.59538,0.0947096,0.0936664,0.0705894,0.00466141,0.097705,0.137836,0.1638,0,5.92654,0,9.06061,17.6102,2.87357,0,0,10.9254,0
50549,202,,0.000258349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50599,202,,0.000258349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50649,202,,0.000258349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50699,202,,0.000258349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
