step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/BFRQ_0,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/perc,train/spec,train/total,train/wave,val_id/loud,val_id/lsd,val_id/mfcc,val_id/param,val_id/perc,val_id/spec,val_id/wave,val_ood/loud,val_ood/lsd,val_ood/mfcc,val_ood/param,val_ood/perc,val_ood/spec,val_ood/wave
0,0,,,,,,,,,,,,,,,,,,,,40,,,,,,,40,,,,,
50049,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50099,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50149,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50199,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50249,200,200,0.00013398,0,0,1,0,0.00141647,0.000350029,11.3766,0.00051049,1.22838,0.0487153,0.0096,0.0552906,0,4.95636,4.95636,0,6.94669,12.5201,1.46867,0.0769038,0,5.4903,0,8.11267,17.2037,2.72009,0,0,11.8903,0
50299,201,,0.00013264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50349,201,,0.00013264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50399,201,,0.00013264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50449,201,,0.00013264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50499,201,201,0.00013264,0,0,1,0,0.00141224,0.000347434,11.5091,0.00048649,1.27711,0.0476632,0.0095643,0.0530775,0,4.96543,4.96543,0,6.88499,12.6175,1.45396,0.0749792,0,5.58726,0,8.14319,17.2508,2.72652,0,0,11.9094,0
50549,202,,0.000131313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50599,202,,0.000131313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50649,202,,0.000131313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50699,202,,0.000131313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50749,202,202,0.000131313,0,0,1,0,0.00139827,0.00034814,11.9524,0.00048802,1.26934,0.0459904,0.0093519,0.0490967,0,4.93568,4.93568,0,7.10074,12.9443,1.48384,0.0768169,0,5.80514,0,8.28623,17.2304,2.74364,0,0,11.649,0
50799,203,,0.00013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50849,203,,0.00013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50899,203,,0.00013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50949,203,,0.00013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50999,203,203,0.00013,0,0,1,0,0.00139329,0.000340864,11.7733,0.000492455,1.29046,0.0468022,0.00961472,0.0517418,0,5.00222,5.00222,0,7.06924,12.8209,1.49231,0.077395,0,5.70538,0,8.3548,17.3212,2.74738,0,0,11.8555,0
51049,204,,0.0001287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
