step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/total,val_id/loud,val_id/lsd,val_id/mfcc,val_id/mfcc03,val_id/mfccdb,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_mult,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/lsd
0,0,,,,,,,,,,,,,,,40,,,,,,,,,,,,,40
49,0,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,
99,0,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,
149,0,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,
199,0,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,
249,0,0,0.001,10,0,0,5.05711e-05,5.08451e-05,9.89239e-05,0.0260416,0.0130208,0.0130208,0.0260416,1.41951,5.65261,13.684,1.59431,0.264149,9.00408,0.122514,0.0897774,0.0510495,0.182933,0.247674,0.16365,0,4.83311,0,
299,1,,0.00099,,,,,,,,,,,,,,,,,,,,,,,,,,
349,1,,0.00099,,,,,,,,,,,,,,,,,,,,,,,,,,
399,1,,0.00099,,,,,,,,,,,,,,,,,,,,,,,,,,
449,1,,0.00099,,,,,,,,,,,,,,,,,,,,,,,,,,
499,1,1,0.00099,10,0,0,5.01388e-05,5.05192e-05,9.75561e-05,0.0260416,0.0130208,0.0130208,0.0260416,1.09827,5.73559,13.0197,1.51922,0.239845,8.47329,0.10618,0.0862982,0.0480634,0.149111,0.207166,0.146442,0,4.72301,0,
549,2,,0.0009801,,,,,,,,,,,,,,,,,,,,,,,,,,
599,2,,0.0009801,,,,,,,,,,,,,,,,,,,,,,,,,,
649,2,,0.0009801,,,,,,,,,,,,,,,,,,,,,,,,,,
699,2,,0.0009801,,,,,,,,,,,,,,,,,,,,,,,,,,
749,2,2,0.0009801,10,0,0,4.98393e-05,5.02888e-05,9.67763e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.946815,5.09338,12.8775,1.33989,0.210122,7.29711,0.0900083,0.0711298,0.043865,0.111643,0.190208,0.123204,0,4.64535,0,
799,3,,0.000970299,,,,,,,,,,,,,,,,,,,,,,,,,,
849,3,,0.000970299,,,,,,,,,,,,,,,,,,,,,,,,,,
899,3,,0.000970299,,,,,,,,,,,,,,,,,,,,,,,,,,
949,3,,0.000970299,,,,,,,,,,,,,,,,,,,,,,,,,,
999,3,3,0.000970299,10,0,0,4.96935e-05,5.01361e-05,9.6465e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.859844,5.03555,13.2727,1.36192,0.200763,7.55966,0.0836042,0.0655863,0.0424839,0.0974404,0.171811,0.124303,0,4.76125,0,
1049,4,,0.000960596,,,,,,,,,,,,,,,,,,,,,,,,,,
1099,4,,0.000960596,,,,,,,,,,,,,,,,,,,,,,,,,,
1149,4,,0.000960596,,,,,,,,,,,,,,,,,,,,,,,,,,
1199,4,,0.000960596,,,,,,,,,,,,,,,,,,,,,,,,,,
1249,4,4,0.000960596,10,0,0,4.95755e-05,5.00251e-05,9.62029e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.801387,5.05981,13.3543,1.3823,0.207834,7.53044,0.0799224,0.06924,0.0400965,0.100856,0.155206,0.114136,0,5.15805,0,
1299,5,,0.00095099,,,,,,,,,,,,,,,,,,,,,,,,,,
1349,5,,0.00095099,,,,,,,,,,,,,,,,,,,,,,,,,,
1399,5,,0.00095099,,,,,,,,,,,,,,,,,,,,,,,,,,
1449,5,,0.00095099,,,,,,,,,,,,,,,,,,,,,,,,,,
1499,5,5,0.00095099,10,0,0,4.94486e-05,4.99448e-05,9.58254e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.74461,4.94024,12.9367,1.28519,0.182624,6.86988,0.0759786,0.0651014,0.042888,0.0816544,0.150253,0.115975,0,4.54855,0,
1549,6,,0.00094148,,,,,,,,,,,,,,,,,,,,,,,,,,
1599,6,,0.00094148,,,,,,,,,,,,,,,,,,,,,,,,,,
