step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/CUTOFF_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/total,val_id/loud,val_id/lsd,val_id/mfcc,val_id/mfcc03,val_id/mfccdb,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/lsd
0,0,,,,,,,,,,,,,,40,,,,,,,,,,,,40
49,0,,0.001,,,,,,,,,,,,,,,,,,,,,,,,
99,0,,0.001,,,,,,,,,,,,,,,,,,,,,,,,
149,0,,0.001,,,,,,,,,,,,,,,,,,,,,,,,
199,0,,0.001,,,,,,,,,,,,,,,,,,,,,,,,
249,0,0,0.001,10,0,0,5.0503e-05,5.08134e-05,9.87666e-05,0.0130208,0.0130208,0.0260416,1.03872,4.92245,6.62017,1.09081,0.160406,5.03382,0.0881293,0.085267,0.0501594,0.228179,0.16517,0,3.37495,0,
299,1,,0.00099,,,,,,,,,,,,,,,,,,,,,,,,
349,1,,0.00099,,,,,,,,,,,,,,,,,,,,,,,,
399,1,,0.00099,,,,,,,,,,,,,,,,,,,,,,,,
449,1,,0.00099,,,,,,,,,,,,,,,,,,,,,,,,
499,1,1,0.00099,10,0,0,5.00198e-05,5.05479e-05,9.75991e-05,0.0130208,0.0130208,0.0260416,0.829304,4.98027,6.18598,1.0296,0.159449,4.40869,0.0817428,0.0848739,0.0470006,0.20482,0.153762,0,4.20784,0,
549,2,,0.0009801,,,,,,,,,,,,,,,,,,,,,,,,
599,2,,0.0009801,,,,,,,,,,,,,,,,,,,,,,,,
649,2,,0.0009801,,,,,,,,,,,,,,,,,,,,,,,,
699,2,,0.0009801,,,,,,,,,,,,,,,,,,,,,,,,
749,2,2,0.0009801,10,0,0,4.98088e-05,5.03336e-05,9.67582e-05,0.0130208,0.0130208,0.0260416,0.749219,4.67907,6.4609,1.01609,0.133071,4.57704,0.0742068,0.070127,0.0590749,0.184172,0.131867,0,2.67554,0,
799,3,,0.000970299,,,,,,,,,,,,,,,,,,,,,,,,
849,3,,0.000970299,,,,,,,,,,,,,,,,,,,,,,,,
899,3,,0.000970299,,,,,,,,,,,,,,,,,,,,,,,,
949,3,,0.000970299,,,,,,,,,,,,,,,,,,,,,,,,
999,3,3,0.000970299,10,0,0,4.95637e-05,5.01554e-05,9.63237e-05,0.0130208,0.0130208,0.0260416,0.685435,4.39964,5.93668,0.941335,0.116665,3.90396,0.0682224,0.0656109,0.0451345,0.164751,0.133838,0,2.47838,0,
1049,4,,0.000960596,,,,,,,,,,,,,,,,,,,,,,,,
1099,4,,0.000960596,,,,,,,,,,,,,,,,,,,,,,,,
1149,4,,0.000960596,,,,,,,,,,,,,,,,,,,,,,,,
1199,4,,0.000960596,,,,,,,,,,,,,,,,,,,,,,,,
1249,4,4,0.000960596,10,0,0,4.9413e-05,5.00008e-05,9.61211e-05,0.0130208,0.0130208,0.0260416,0.639481,4.50397,6.01672,0.949229,0.122117,3.98061,0.0660262,0.0695704,0.0427321,0.166626,0.117229,0,2.56454,0,
1299,5,,0.00095099,,,,,,,,,,,,,,,,,,,,,,,,
1349,5,,0.00095099,,,,,,,,,,,,,,,,,,,,,,,,
1399,5,,0.00095099,,,,,,,,,,,,,,,,,,,,,,,,
1449,5,,0.00095099,,,,,,,,,,,,,,,,,,,,,,,,
1499,5,5,0.00095099,10,0,0,4.93333e-05,4.99543e-05,9.58773e-05,0.0130208,0.0130208,0.0260416,0.606425,4.29529,5.58766,0.888926,0.101617,3.42907,0.0615757,0.061724,0.0385832,0.158721,0.110426,0,2.36982,0,
1549,6,,0.00094148,,,,,,,,,,,,,,,,,,,,,,,,
1599,6,,0.00094148,,,,,,,,,,,,,,,,,,,,,,,,
1649,6,,0.00094148,,,,,,,,,,,,,,,,,,,,,,,,
1699,6,,0.00094148,,,,,,,,,,,,,,,,,,,,,,,,
