step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/BFRQ_0,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/total,val_id/loud,val_id/lsd,val_id/mfcc,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_hz,val_id/param_group/harmor_f0_mult,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/loud,val_ood/lsd,val_ood/mfcc,val_ood/param,val_ood/perc,val_ood/spec,val_ood/wave
0,0,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,40,,,,,
49,0,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,0,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,0,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,0,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,0,0,0.001,10,0,0,5.05836e-05,5.08239e-05,0.0260416,9.90339e-05,0.0260416,0.0130208,0.0130208,0.0260416,1.46657,6.74703,18.5727,1.97406,0.122211,0.0868165,0.0537215,0.0255856,0.164919,0.224517,0.177709,0,6.97787,0,6.73852,18.5362,2.90878,0,0,7.71639,0
299,1,,0.000993322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,1,,0.000993322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,1,,0.000993322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,1,,0.000993322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,1,1,0.000993322,10,0,0,5.00837e-05,5.05002e-05,0.0260416,9.76333e-05,0.0260416,0.0130208,0.0130208,0.0260416,1.10078,6.86836,18.19,1.74605,0.102643,0.0747925,0.0461365,0.0211979,0.130421,0.196442,0.146869,0,8.25578,0,6.76754,18.3957,2.87634,0,0,9.29617,0
549,2,,0.000986689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,2,,0.000986689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,2,,0.000986689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699,2,,0.000986689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749,2,2,0.000986689,10,0,0,4.97986e-05,5.0214e-05,0.0260416,9.68378e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.934626,6.44219,17.8129,1.65535,0.0871351,0.0677976,0.046986,0.0183192,0.0976922,0.166409,0.125607,0,6.69114,0,6.55904,18.3128,2.81175,0,0,8.72699,0
799,3,,0.0009801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
849,3,,0.0009801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899,3,,0.0009801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,3,,0.0009801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999,3,3,0.0009801,10,0,0,4.95612e-05,5.01133e-05,0.0260416,9.67843e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.841601,6.50623,17.716,1.69963,0.0829877,0.0662822,0.043605,0.0180257,0.090339,0.159246,0.120428,0,6.17545,0,6.41977,18.1322,2.75991,0,0,8.55985,0
1049,4,,0.000973555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1099,4,,0.000973555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1149,4,,0.000973555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199,4,,0.000973555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1249,4,4,0.000973555,10,0,0,4.95341e-05,4.996e-05,0.0260416,9.61537e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.785942,6.3862,16.9833,1.53173,0.0799209,0.0619136,0.0383492,0.0127428,0.0829129,0.151898,0.131709,0,6.24079,0,6.40598,17.9853,2.76507,0,0,9.25725,0
1299,5,,0.000967054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
