step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/BFRQ_0,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/perc,train/spec,train/total,train/wave,val_id/loud,val_id/lsd,val_id/mfcc,val_id/param,val_id/perc,val_id/spec,val_id/wave,val_ood/loud,val_ood/lsd,val_ood/mfcc,val_ood/param,val_ood/perc,val_ood/spec,val_ood/wave
0,0,,,,,,,,,,,,,,,,,,,,40,,,,,,,40,,,,,
12549,50,,0.000605006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12599,50,,0.000605006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12649,50,,0.000605006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12699,50,,0.000605006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12749,50,50,0.000605006,9.9668,0,0.00332,0.264815,4.8417e-05,4.79955e-05,0.0419607,9.04814e-05,0.0316023,0.0129926,0.0129816,0.0259827,0,0.0167217,0.281586,0,6.01763,15.9269,1.36758,0.0507288,0,5.43516,0,6.09581,17.3655,2.55784,0,0,10.0908,0
12799,51,,0.000598956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12849,51,,0.000598956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12899,51,,0.000598956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12949,51,,0.000598956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12999,51,51,0.000598956,9.90013,0,0.00998667,0.265411,4.98505e-05,4.76692e-05,0.0647828,9.04853e-05,0.0397626,0.0129249,0.0129008,0.0258374,0,0.052033,0.317444,0,6.0872,16.1092,1.39377,0.0520015,0,5.51524,0,6.00406,17.3166,2.55727,0,0,8.9319,0
13049,52,,0.000592966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13099,52,,0.000592966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13149,52,,0.000592966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13199,52,,0.000592966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13249,52,52,0.000592966,9.83347,0,0.0166533,0.282884,5.13218e-05,4.72351e-05,0.0830134,9.10432e-05,0.0537586,0.0128409,0.0128101,0.025692,0,0.0869989,0.369883,0,6.09612,16.0803,1.4007,0.0521418,0,5.15027,0,6.2811,17.3472,2.57705,0,0,8.696,0
13299,53,,0.000587037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13349,53,,0.000587037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13399,53,,0.000587037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13449,53,,0.000587037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13499,53,53,0.000587037,9.7668,0,0.02332,0.27532,5.30762e-05,4.6855e-05,0.103724,9.1646e-05,0.0603669,0.0128078,0.0127207,0.0255155,0,0.119287,0.394607,0,6.13399,16.7279,1.47539,0.0526156,0,5.30497,0,6.57423,17.6091,2.63412,0,0,8.73881,0
13549,54,,0.000581166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13599,54,,0.000581166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
