step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/BFRQ_0,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/perc,train/spec,train/total,train/wave,val_id/loud,val_id/lsd,val_id/mfcc,val_id/param,val_id/perc,val_id/spec,val_id/wave,val_ood/loud,val_ood/lsd,val_ood/mfcc,val_ood/param,val_ood/perc,val_ood/spec,val_ood/wave
0,0,,,,,,,,,,,,,,,,,,,,40,,,,,,,40,,,,,
12549,50,,0.000605006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12599,50,,0.000605006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12649,50,,0.000605006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12699,50,,0.000605006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12749,50,50,0.000605006,9.9668,0,0.00166,0.267838,4.8408e-05,4.79769e-05,0.0410627,9.05721e-05,0.0312463,0.012994,0.0129842,0.0259779,0,0.0152345,0.283115,0,6.05829,16.117,1.36599,0.0511741,0,10.0873,0,6.09473,17.3919,2.55621,0,0,18.5574,0
12799,51,,0.000598956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12849,51,,0.000598956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12899,51,,0.000598956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12949,51,,0.000598956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12999,51,51,0.000598956,9.90013,0,0.00499333,0.27155,4.98428e-05,4.759e-05,0.0630743,9.0622e-05,0.0388286,0.0129281,0.0129009,0.0258443,0,0.0478299,0.31938,0,6.11989,16.0081,1.3988,0.0520821,0,9.97195,0,6.24609,17.3731,2.5894,0,0,17.5589,0
13049,52,,0.000592966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13099,52,,0.000592966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13149,52,,0.000592966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13199,52,,0.000592966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13249,52,52,0.000592966,9.83347,0,0.00832667,0.283151,5.09556e-05,4.70719e-05,0.0786886,9.09678e-05,0.0482185,0.0128497,0.0128088,0.0256625,0,0.0806701,0.36382,0,6.09968,16.0729,1.36728,0.0513632,0,9.89246,0,6.25641,17.3812,2.5821,0,0,17.2689,0
13299,53,,0.000587037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13349,53,,0.000587037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13399,53,,0.000587037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13449,53,,0.000587037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13499,53,53,0.000587037,9.7668,0,0.01166,0.27702,5.24001e-05,4.65422e-05,0.0953944,9.13174e-05,0.0511758,0.0127991,0.0127248,0.025484,0,0.110828,0.387849,0,6.15151,16.2759,1.44976,0.0535799,0,9.30788,0,6.53699,17.3584,2.59614,0,0,15.875,0
13549,54,,0.000581166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13599,54,,0.000581166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
