step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/BFRQ_0,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/perc,train/spec,train/total,train/wave,val_id/loud,val_id/lsd,val_id/mfcc,val_id/param,val_id/perc,val_id/spec,val_id/wave,val_ood/loud,val_ood/lsd,val_ood/mfcc,val_ood/param,val_ood/perc,val_ood/spec,val_ood/wave
0,0,,,,,,,,,,,,,,,,,,,,40,,,,,,,40,,,,,
50049,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50099,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50149,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50199,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50249,200,200,0.00013398,0,0,0.5,0,0.000314524,1.90649e-05,0.596216,0.00014255,0.0104353,0.0120854,0.000227679,0.0132475,0,4.56637,4.56637,0,10.7963,15.8268,2.24541,0.137868,0,7.76455,0,11.5158,17.835,3.13112,0,0,9.2624,0
50299,201,,0.00013264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50349,201,,0.00013264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50399,201,,0.00013264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50449,201,,0.00013264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50499,201,201,0.00013264,0,0,0.5,0,0.000315236,1.233e-05,0.902094,0.000118732,0.00656605,0.0130997,2.34598e-05,0.0163167,0,4.31929,4.31929,0,10.884,15.6104,2.27496,0.145129,0,7.51973,0,11.3625,18.1159,3.14264,0,0,9.04243,0
50549,202,,0.000131313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50599,202,,0.000131313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50649,202,,0.000131313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50699,202,,0.000131313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50749,202,202,0.000131313,0,0,0.5,0,0.000360215,1.04816e-05,1.08635,0.000160643,0.00512112,0.0156016,1.57347e-05,0.0171508,0,4.20942,4.20942,0,10.8382,15.7735,2.2819,0.141967,0,7.48534,0,11.3629,17.8873,3.12452,0,0,8.70971,0
50799,203,,0.00013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50849,203,,0.00013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50899,203,,0.00013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50949,203,,0.00013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50999,203,203,0.00013,0,0,0.5,0,0.000369113,1.09546e-05,1.24921,0.000181979,0.00515235,0.0158433,1.80451e-05,0.0164509,0,4.11814,4.11814,0,10.7882,16.2721,2.32541,0.143689,0,7.77439,0,11.5207,17.9823,3.15549,0,0,8.59973,0
51049,204,,0.0001287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
