step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/BFRQ_0,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/perc,train/spec,train/total,train/wave,val_id/loud,val_id/lsd,val_id/mfcc,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_hz,val_id/param_group/harmor_f0_mult,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/loud,val_ood/lsd,val_ood/mfcc,val_ood/param,val_ood/perc,val_ood/spec,val_ood/wave
0,0,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,40,,,,,
49,0,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,0,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,0,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,0,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,0,0,0.001,0,0,1,0,0.000217515,4.62784e-05,0.0561341,1.74271e-05,0.0419142,0.000147588,0.000177024,0.00216816,0,0.490794,0.490794,0,13.4633,18.8984,2.84525,0.310612,0.139508,0.108884,0.444517,0.497949,0.386043,0.286773,0,0.45385,0,9.22491,16.9475,2.4737,0,0,0.399898,0
299,1,,0.00099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,1,,0.00099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,1,,0.00099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,1,,0.00099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,1,1,0.00099,0,0,1,0,0.000327864,0.0001369,0.0556349,1.56919e-05,0.0199489,7.69227e-05,0.000172599,0.000155655,0,0.459197,0.459197,0,13.627,18.8534,2.80918,0.312753,0.14095,0.1053,0.442643,0.496833,0.352492,0.338301,0,0.448804,0,9.46219,16.9564,2.27134,0,0,0.393617,0
549,2,,0.0009801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,2,,0.0009801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,2,,0.0009801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699,2,,0.0009801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749,2,2,0.0009801,0,0,1,0,0.00032447,0.000155564,0.0605433,1.52516e-05,0.0184367,7.38377e-05,0.000155795,0.000153917,0,0.455583,0.455583,0,12.1835,19.4713,3.26737,0.283952,0.132764,0.0888526,0.28639,0.497571,0.338536,0.359596,0,0.472052,0,14.0214,20.7299,3.89282,0,0,0.505789,0
799,3,,0.000970299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
849,3,,0.000970299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899,3,,0.000970299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,3,,0.000970299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999,3,3,0.000970299,0,0,1,0,0.000443317,9.48906e-05,0.056292,1.6029e-05,0.0235206,8.56878e-05,0.00015539,0.000150823,0,0.466872,0.466872,0,12.9294,19.0308,2.80647,0.305804,0.140144,0.103147,0.434818,0.497324,0.324437,0.334956,0,0.449068,0,8.95711,17.0658,2.48497,0,0,0.396707,0
1049,4,,0.000960596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1099,4,,0.000960596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1149,4,,0.000960596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199,4,,0.000960596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
