step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/BFRQ_0,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/perc,train/spec,train/total,train/wave,val_id/loud,val_id/lsd,val_id/mfcc,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_hz,val_id/param_group/harmor_f0_mult,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/loud,val_ood/lsd,val_ood/mfcc,val_ood/param,val_ood/perc,val_ood/spec,val_ood/wave
0,0,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,40,,,,,
49,0,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,0,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,0,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,0,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,0,0,0.001,0,0,0.5,0,0.000230762,4.17622e-05,0.104918,3.33718e-05,0.037945,9.88463e-05,0.000190434,0.000302907,0,0.581092,0.581092,0,11.2132,18.7482,2.96541,0.322823,0.134952,0.151343,0.44695,0.492374,0.295058,0.416263,0,1.05753,0,8.86085,16.7934,2.4501,0,0,0.906187,0
299,1,,0.00099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,1,,0.00099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,1,,0.00099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,1,,0.00099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,1,1,0.00099,0,0,0.5,0,0.000296404,9.82913e-05,0.100307,2.89091e-05,0.0294672,5.11931e-05,0.000253482,0.000130483,0,0.545603,0.545603,0,11.2726,18.9983,2.85473,0.331665,0.132205,0.151617,0.443601,0.496494,0.307771,0.458304,0,1.04345,0,8.29908,17.0731,2.34046,0,0,0.901545,0
549,2,,0.0009801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,2,,0.0009801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,2,,0.0009801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699,2,,0.0009801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749,2,2,0.0009801,0,0,0.5,0,0.000248557,9.68373e-05,0.104781,3.0366e-05,0.0243767,5.146e-05,0.000253765,0.000131349,0,0.531352,0.531352,0,11.4124,18.8133,2.8581,0.328479,0.132026,0.126444,0.442621,0.494997,0.299268,0.475521,0,1.03104,0,8.46572,16.8398,2.34963,0,0,0.888381,0
799,3,,0.000970299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
849,3,,0.000970299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899,3,,0.000970299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,3,,0.000970299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999,3,3,0.000970299,0,0,0.5,0,0.000316585,0.000102572,0.106636,2.98333e-05,0.0245841,5.28176e-05,0.000239477,0.000127869,0,0.532326,0.532326,0,10.9985,18.7908,2.83186,0.329425,0.131855,0.126278,0.4327,0.494015,0.313619,0.47808,0,1.03208,0,7.75833,16.6281,2.3512,0,0,0.887172,0
1049,4,,0.000960596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1099,4,,0.000960596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1149,4,,0.000960596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199,4,,0.000960596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
