step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/perc,train/spec,train/total,train/wave,val_id/loud,val_id/lsd,val_id/mfcc,val_id/mfcc03,val_id/mfccdb,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_mult,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/lsd
0,0,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,40
12549,50,,0.000605006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12599,50,,0.000605006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12649,50,,0.000605006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12699,50,,0.000605006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12749,50,50,0.000605006,9.9668,0,0.00166,0.265477,4.73114e-05,4.7718e-05,9.05347e-05,0.0260845,0.0129783,0.0129777,0.0259562,0,0.000251959,0.26568,0,4.65361,11.472,1.0303,0.112153,4.49082,0.0502607,0.0476041,0.0311827,0.0403971,0.10157,0.0808105,0,0.17539,0,
12799,51,,0.000598956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12849,51,,0.000598956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12899,51,,0.000598956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12949,51,,0.000598956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12999,51,51,0.000598956,9.90013,0,0.00499333,0.261321,4.71284e-05,4.74493e-05,8.97054e-05,0.0262505,0.0128929,0.0128912,0.0257849,0,0.000741703,0.262063,0,4.70647,11.6178,1.04756,0.115294,4.59859,0.0506423,0.0483255,0.030748,0.0408035,0.10263,0.0813467,0,0.179655,0,
13049,52,,0.000592966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13099,52,,0.000592966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13149,52,,0.000592966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13199,52,,0.000592966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13249,52,52,0.000592966,9.83347,0,0.00832667,0.257579,4.69853e-05,4.71658e-05,8.97681e-05,0.0263644,0.0128076,0.0128047,0.0256136,0,0.00123468,0.258814,0,4.65211,11.4508,1.0292,0.111846,4.48054,0.0509764,0.0486339,0.0311305,0.0418136,0.102399,0.0818812,0,0.17274,0,
13299,53,,0.000587037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13349,53,,0.000587037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13399,53,,0.000587037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13449,53,,0.000587037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13499,53,53,0.000587037,9.7668,0,0.01166,0.254916,4.68228e-05,4.68359e-05,8.87715e-05,0.02662,0.0127216,0.012718,0.0254418,0,0.00173792,0.256654,0,4.66884,11.4694,1.02727,0.112018,4.52613,0.0512278,0.0476909,0.0314368,0.0413429,0.102867,0.0840295,0,0.173365,0,
