step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/CUTOFF_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/perc,train/spec,train/total,train/wave,val_id/loud,val_id/lsd,val_id/mfcc,val_id/mfcc03,val_id/mfccdb,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/lsd
0,0,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,40
12549,50,,0.000605006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12599,50,,0.000605006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12649,50,,0.000605006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12699,50,,0.000605006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12749,50,50,0.000605006,0,0,0.5,0,2.70858e-05,1.37024e-05,1.83618e-05,0.000439814,0.000211301,0.00107517,0,0.0413986,0.0413986,0,3.89273,5.06049,0.776207,0.0678345,2.56744,0.0460555,0.0491748,0.0317597,0.11109,0.0843079,0,0.081367,0,
12799,51,,0.000598956,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12849,51,,0.000598956,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12899,51,,0.000598956,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12949,51,,0.000598956,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12999,51,51,0.000598956,0,0,0.5,0,2.69706e-05,1.34525e-05,1.77072e-05,0.000427952,0.000210319,0.00103383,0,0.0399594,0.0399594,0,3.86437,5.01673,0.774168,0.0666303,2.5803,0.0465999,0.0483354,0.0340766,0.110532,0.086655,0,0.0812164,0,
13049,52,,0.000592966,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13099,52,,0.000592966,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13149,52,,0.000592966,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13199,52,,0.000592966,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13249,52,52,0.000592966,0,0,0.5,0,2.70143e-05,1.34457e-05,1.76854e-05,0.000428012,0.000205269,0.00102715,0,0.0393863,0.0393863,0,3.8411,5.0249,0.771195,0.0634466,2.52785,0.046249,0.0485906,0.0321549,0.110776,0.0859731,0,0.0780969,0,
13299,53,,0.000587037,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13349,53,,0.000587037,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13399,53,,0.000587037,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13449,53,,0.000587037,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13499,53,53,0.000587037,0,0,0.5,0,2.70044e-05,1.34068e-05,1.75033e-05,0.00043131,0.000206646,0.00101987,0,0.039305,0.039305,0,3.83366,5.03774,0.769167,0.0632511,2.52263,0.0463833,0.0495021,0.0319018,0.110472,0.0864233,0,0.0775544,0,
13549,54,,0.000581166,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13599,54,,0.000581166,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13649,54,,0.000581166,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13699,54,,0.000581166,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13749,54,54,0.000581166,0,0,0.5,0,2.6655e-05,1.32591e-05,1.68234e-05,0.000417309,0.000205283,0.000979107,0,0.0378062,0.0378062,0,3.87582,5.06343,0.7802,0.0687358,2.60999,0.0467178,0.049382,0.0333448,0.110645,0.086935,0,0.0813583,0,
