step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/BFRQ_0,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/perc,train/spec,train/total,train/wave,val_id/loud,val_id/lsd,val_id/mfcc,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_hz,val_id/param_group/harmor_f0_mult,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/loud,val_ood/lsd,val_ood/mfcc,val_ood/param,val_ood/perc,val_ood/spec,val_ood/wave
0,0,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,40,,,,,
50049,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50099,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50149,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50199,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50249,200,200,0.00013398,0,0,1,0,0.000538231,0.000199713,0.517219,0.00013617,0.199769,0.00969588,0.000535981,0.0117566,0,5.14984,5.14984,0,9.39467,15.2841,1.89204,0.122888,0.117187,0.0615778,0.00906637,0.102865,0.243376,0.203256,0,4.42761,0,9.22555,16.3294,2.56793,0,0,5.25484,0
50299,201,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50349,201,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50399,201,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50449,201,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50499,201,201,0.00013398,0,0,1,0,0.000549945,0.000135868,0.794848,0.000163558,0.200745,0.0130108,0.000326102,0.0138583,0,4.88341,4.88341,0,9.17117,14.7607,1.84112,0.131249,0.116078,0.0605638,0.00752398,0.131407,0.259576,0.212347,0,4.23901,0,8.8194,16.2025,2.40824,0,0,5.14235,0
50549,202,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50599,202,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50649,202,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50699,202,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50749,202,202,0.00013398,0,0,1,0,0.000549944,0.000120168,0.949343,0.000177421,0.167723,0.0142076,0.00024241,0.0152033,0,4.78396,4.78396,0,9.61573,15.2049,1.95403,0.136958,0.1167,0.0634209,0.0110016,0.140201,0.275668,0.214755,0,4.34278,0,8.85303,16.0673,2.36281,0,0,4.93378,0
50799,203,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50849,203,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
