step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param_grad/AMP_0,train/param_grad/BFRQ_0,train/param_grad/CF_DELAY_0,train/param_grad/CF_DEPTH_0,train/param_grad/CF_MIX_0,train/param_grad/CF_RATE_0,train/param_grad/CUTOFF_0,train/param_grad/M_OSC_0,train/param_grad/Q_FILT_0,train/total,val_id/loud,val_id/lsd,val_id/mfcc,val_id/mfcc03,val_id/param,val_id/param_group/chorus_delay_ms,val_id/param_group/chorus_depth,val_id/param_group/chorus_mix,val_id/param_group/chorus_rate,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_hz,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/loud,val_ood/lsd,val_ood/mfcc,val_ood/mfcc03,val_ood/param,val_ood/perc,val_ood/spec,val_ood/wave
0,0,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,40,,,,,,
49,0,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,0,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,0,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,0,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,0,0,0.001,10,0,0,6.16891e-05,0.015625,0.015625,0.015625,0.015625,0.015625,6.1582e-05,0.015625,0.015625,1.65791,6.49156,13.6559,1.7653,0.189573,0.146228,0.246783,0.228667,0.223648,0.206971,0.103564,0.0776214,0.0198615,0.133075,0.222089,0,5.18391,0,6.78375,16.866,2.84499,0.348799,0,0,7.73151,0
299,1,,0.00099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,1,,0.00099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,1,,0.00099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,1,,0.00099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,1,1,0.00099,10,0,0,6.14009e-05,0.015625,0.015625,0.015625,0.015625,0.015625,6.13902e-05,0.015625,0.015625,1.36826,6.94739,13.8651,1.73758,0.221489,0.132305,0.239091,0.226754,0.202044,0.207239,0.107389,0.0671386,0.0161534,0.103148,0.154098,0,7.22549,0,7.13719,17.9152,2.7985,0.36972,0,0,10.4749,0
549,2,,0.0009801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,2,,0.0009801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,2,,0.0009801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699,2,,0.0009801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749,2,2,0.0009801,10,0,0,6.12892e-05,0.015625,0.015625,0.015625,0.015625,0.015625,6.1239e-05,0.015625,0.015625,1.24628,6.46785,12.9268,1.61113,0.17454,0.11967,0.229414,0.222423,0.183505,0.198279,0.0832438,0.0618108,0.0121978,0.0766888,0.129136,0,6.27204,0,6.62887,17.3252,2.77535,0.367019,0,0,10.0754,0
799,3,,0.000970299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
849,3,,0.000970299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899,3,,0.000970299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,3,,0.000970299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999,3,3,0.000970299,10,0,0,6.11738e-05,0.015625,0.015625,0.015625,0.015625,0.015625,6.11683e-05,0.015625,0.015625,1.17482,6.15861,13.1539,1.62902,0.169638,0.115024,0.22395,0.217641,0.16824,0.185741,0.0791668,0.0571118,0.01404,0.0769172,0.127429,0,5.78891,0,6.3537,16.9123,2.68865,0.347185,0,0,9.46036,0
1049,4,,0.000960596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1099,4,,0.000960596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
