step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/BFRQ_0,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/perc,train/spec,train/total,train/wave,val_id/loud,val_id/lsd,val_id/mfcc,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_hz,val_id/param_group/harmor_f0_mult,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/loud,val_ood/lsd,val_ood/mfcc,val_ood/param,val_ood/perc,val_ood/spec,val_ood/wave
0,0,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,40,,,,,
50049,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50099,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50149,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50199,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50249,200,200,0.00013398,0,0,1,0,4.80409e-05,4.61805e-05,0.382827,2.81309e-05,0.0926017,0.000469466,0.000116841,0.000821756,0,0.268716,0.268716,0,6.45947,13.032,1.38234,0.0691119,0.0753867,0.0376136,0.00434596,0.0766473,0.115466,0.105212,0,0.269776,0,6.89607,16.5003,2.4621,0,0,0.400307,0
50299,201,,0.00013264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50349,201,,0.00013264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50399,201,,0.00013264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50449,201,,0.00013264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50499,201,201,0.00013264,0,0,1,0,5.03383e-05,4.81241e-05,0.397299,2.84466e-05,0.100014,0.000465199,0.000129773,0.000861044,0,0.260139,0.260139,0,6.47016,13.1559,1.37321,0.067658,0.0763061,0.0346734,0.00445225,0.0702541,0.117111,0.103151,0,0.271551,0,6.83347,16.5577,2.45217,0,0,0.402059,0
50549,202,,0.000131313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50599,202,,0.000131313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50649,202,,0.000131313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50699,202,,0.000131313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50749,202,202,0.000131313,0,0,1,0,5.25127e-05,5.20141e-05,0.403,2.78395e-05,0.100387,0.000459652,0.000129849,0.00080442,0,0.256416,0.256416,0,6.48901,13.591,1.38199,0.0656425,0.0753654,0.0358001,0.00485169,0.0590057,0.114934,0.103898,0,0.278438,0,6.71415,16.5383,2.44741,0,0,0.40392,0
50799,203,,0.00013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
