step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/BFRQ_0,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/perc,train/spec,train/total,train/wave,val_id/loud,val_id/lsd,val_id/mfcc,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_hz,val_id/param_group/harmor_f0_mult,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/loud,val_ood/lsd,val_ood/mfcc,val_ood/param,val_ood/perc,val_ood/spec,val_ood/wave
0,0,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,40,,,,,
75049,300,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75099,300,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75149,300,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75199,300,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75249,300,300,0.00013398,0,0,0.5,0,0.000710635,0.000196649,6.4472,0.000243397,0.875696,0.0239258,0.00579294,0.0270432,0,2.29395,2.29395,0,6.87633,12.2408,1.44429,0.0894284,0.0812203,0.0573132,0.00365016,0.0884192,0.151005,0.154962,0,5.32143,0,7.73059,17.0507,2.63555,0,0,12.2427,0
75299,301,,0.000133947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75349,301,,0.000133947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75399,301,,0.000133947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75449,301,,0.000133947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75499,301,301,0.000133947,0,0,0.5,0,0.000700352,0.000193571,6.52947,0.000241885,0.895115,0.0232834,0.00562745,0.0263824,0,2.29435,2.29435,0,6.95089,12.3632,1.46069,0.0903012,0.0816988,0.0586851,0.00393114,0.0920966,0.151498,0.153898,0,5.44156,0,7.79378,17.0144,2.63282,0,0,12.137,0
75549,302,,0.000133847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75599,302,,0.000133847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75649,302,,0.000133847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75699,302,,0.000133847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75749,302,302,0.000133847,0,0,0.5,0,0.000675668,0.000193139,6.51412,0.000232382,0.886035,0.0221175,0.00560046,0.0254863,0,2.26073,2.26073,0,6.81223,12.3647,1.44602,0.0921554,0.0828811,0.0592373,0.00388212,0.0994936,0.153668,0.15377,0,5.53269,0,7.75693,17.0479,2.64065,0,0,12.2206,0
75799,303,,0.000133682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75849,303,,0.000133682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75899,303,,0.000133682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75949,303,,0.000133682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75999,303,303,0.000133682,0,0,0.5,0,0.000692462,0.000193453,6.42134,0.000233139,0.859903,0.0226008,0.00572328,0.0261467,0,2.30964,2.30964,0,6.90731,12.625,1.4709,0.0940354,0.0824945,0.0580149,0.00397933,0.113435,0.155003,0.151285,0,5.69073,0,7.7203,17.038,2.63435,0,0,12.1206,0
76049,304,,0.000133451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76099,304,,0.000133451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76149,304,,0.000133451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76199,304,,0.000133451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76249,304,304,0.000133451,0,0,0.5,0,0.00070929,0.000191842,6.25598,0.000244545,0.867725,0.0239678,0.00572194,0.0278148,0,2.3147,2.3147,0,6.98115,12.2536,1.47126,0.0906912,0.083244,0.0587709,0.00359615,0.0860156,0.156304,0.156216,0,5.42069,0,7.75598,16.9593,2.61979,0,0,11.7932,0
76299,305,,0.000133155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76349,305,,0.000133155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76399,305,,0.000133155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76449,305,,0.000133155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76499,305,305,0.000133155,0,0,0.5,0,0.000694351,0.000197692,6.39719,0.000241082,0.865423,0.0231442,0.00607956,0.0268857,0,2.32417,2.32417,0,6.93828,12.3783,1.45782,0.0892616,0.0823341,0.057509,0.00361717,0.0855556,0.151802,0.154752,0,5.44272,0,7.71267,16.9905,2.61746,0,0,12.1228,0
76549,306,,0.000132793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76599,306,,0.000132793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76649,306,,0.000132793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76699,306,,0.000132793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76749,306,306,0.000132793,0,0,0.5,0,0.000685865,0.000191363,6.51031,0.000233064,0.929621,0.0226506,0.00557695,0.0257133,0,2.27734,2.27734,0,6.89586,12.1959,1.45059,0.0894489,0.0814719,0.0591037,0.0035225,0.0829397,0.151576,0.15808,0,5.28291,0,7.67955,16.9585,2.62788,0,0,12.0215,0
76799,307,,0.000132366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76849,307,,0.000132366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76899,307,,0.000132366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76949,307,,0.000132366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76999,307,307,0.000132366,0,0,0.5,0,0.0007071,0.000195365,6.56331,0.000240094,0.883458,0.023543,0.00579139,0.0272311,0,2.25653,2.25653,0,6.98732,12.509,1.46583,0.0910289,0.0869644,0.0580475,0.00369071,0.0912365,0.151847,0.154387,0,5.77702,0,7.80284,17.0262,2.6226,0,0,11.8325,0
77049,308,,0.000131875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77099,308,,0.000131875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77149,308,,0.000131875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77199,308,,0.000131875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77249,308,308,0.000131875,0,0,0.5,0,0.000708444,0.000192041,6.36503,0.000234489,0.8533,0.0237531,0.00565262,0.0265701,0,2.31934,2.31934,0,6.94129,12.1819,1.45467,0.0897296,0.0828758,0.0596777,0.00356556,0.0872478,0.151813,0.153198,0,5.30771,0,7.73005,17.0592,2.62569,0,0,11.9301,0
77299,309,,0.00013132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77349,309,,0.00013132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77399,309,,0.00013132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77449,309,,0.00013132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77499,309,309,0.00013132,0,0,0.5,0,0.000693663,0.000197258,6.5946,0.000237459,0.9011,0.023198,0.00582166,0.0268256,0,2.2889,2.2889,0,6.88035,12.1537,1.44484,0.090037,0.083379,0.0578632,0.00365773,0.091487,0.150709,0.153126,0,5.30144,0,7.67462,17.0342,2.62629,0,0,11.9668,0
77549,310,,0.000130701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77599,310,,0.000130701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77649,310,,0.000130701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77699,310,,0.000130701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77749,310,310,0.000130701,0,0,0.5,0,0.00069848,0.000194668,6.52092,0.000240667,0.856328,0.0234957,0.00575098,0.0268959,0,2.32194,2.32194,0,6.90534,12.1822,1.45303,0.0900953,0.0820374,0.0609046,0.0036862,0.086586,0.151324,0.156033,0,5.28916,0,7.69595,17.0472,2.62136,0,0,12.3009,0
77799,311,,0.000130019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77849,311,,0.000130019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77899,311,,0.000130019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77949,311,,0.000130019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77999,311,311,0.000130019,0,0,0.5,0,0.000687231,0.000198863,6.54635,0.000236692,0.90465,0.0225643,0.00570567,0.0260027,0,2.24309,2.24309,0,6.96396,12.318,1.46975,0.0893867,0.0825356,0.0615537,0.00374335,0.0835042,0.150682,0.154302,0,5.44778,0,7.83282,17.0297,2.63711,0,0,11.986,0
78049,312,,0.000129275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78099,312,,0.000129275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78149,312,,0.000129275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78199,312,,0.000129275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78249,312,312,0.000129275,0,0,0.5,0,0.000702241,0.000200458,6.61011,0.000238232,0.891368,0.023239,0.00570937,0.0264892,0,2.22137,2.22137,0,7.00171,12.2491,1.47312,0.0901904,0.082286,0.0644518,0.00369031,0.0834158,0.153573,0.153725,0,5.28146,0,7.77119,16.977,2.63438,0,0,11.9421,0
78299,313,,0.00012847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78349,313,,0.00012847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78399,313,,0.00012847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78449,313,,0.00012847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78499,313,313,0.00012847,0,0,0.5,0,0.000730384,0.000202853,6.41625,0.000243093,0.915488,0.0249121,0.00607478,0.027764,0,2.24511,2.24511,0,6.91358,12.7938,1.46235,0.0897877,0.081628,0.0593988,0.00415152,0.0870732,0.154161,0.152314,0,5.82519,0,7.60865,16.9768,2.62558,0,0,12.3417,0
78549,314,,0.000127604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78599,314,,0.000127604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78649,314,,0.000127604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78699,314,,0.000127604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78749,314,314,0.000127604,0,0,0.5,0,0.000720694,0.000201103,6.5484,0.00024332,0.987163,0.0241337,0.00582432,0.0273546,0,2.24388,2.24388,0,6.84571,12.1826,1.44821,0.0891309,0.0824936,0.0594689,0.00362076,0.0823291,0.152995,0.153878,0,5.35805,0,7.66913,16.9812,2.63279,0,0,11.9048,0
78799,315,,0.000126678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78849,315,,0.000126678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78899,315,,0.000126678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78949,315,,0.000126678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78999,315,315,0.000126678,0,0,0.5,0,0.000718983,0.000193063,6.57927,0.000231737,0.902856,0.0241577,0.00550927,0.0265557,0,2.24702,2.24702,0,6.94937,12.2354,1.45215,0.0886985,0.0836081,0.0586148,0.00360054,0.0849432,0.149978,0.151446,0,5.46511,0,7.67703,17.0183,2.62966,0,0,11.951,0
79049,316,,0.000125693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79099,316,,0.000125693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79149,316,,0.000125693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79199,316,,0.000125693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79249,316,316,0.000125693,0,0,0.5,0,0.000692084,0.000199278,6.64172,0.000232469,0.931529,0.0223504,0.0056324,0.0254431,0,2.20544,2.20544,0,6.9009,12.2981,1.45078,0.0885317,0.0828992,0.0589598,0.00363369,0.0865033,0.148834,0.15036,0,5.43038,0,7.66839,17.0181,2.62936,0,0,11.8981,0
79299,317,,0.000124651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79349,317,,0.000124651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79399,317,,0.000124651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79449,317,,0.000124651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79499,317,317,0.000124651,0,0,0.5,0,0.000702991,0.000195254,6.64508,0.000236595,0.955129,0.0233842,0.0056158,0.026308,0,2.22461,2.22461,0,6.83371,12.069,1.43585,0.0890931,0.0821591,0.0588481,0.00351199,0.0863939,0.150021,0.153624,0,5.26065,0,7.65208,17.0146,2.62301,0,0,12.1661,0
79549,318,,0.000123551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79599,318,,0.000123551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79649,318,,0.000123551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79699,318,,0.000123551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79749,318,318,0.000123551,0,0,0.5,0,0.000714594,0.000204303,6.72709,0.0002369,0.976294,0.0236176,0.00590509,0.0264465,0,2.2379,2.2379,0,6.81888,12.2019,1.44981,0.0898741,0.0827937,0.0603627,0.00357485,0.089771,0.14764,0.155102,0,5.4394,0,7.65998,16.9836,2.61407,0,0,12.01,0
79799,319,,0.000122396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79849,319,,0.000122396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79899,319,,0.000122396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79949,319,,0.000122396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79999,319,319,0.000122396,0,0,0.5,0,0.000700787,0.000199255,6.58192,0.000240241,0.932648,0.0230951,0.0056768,0.0267302,0,2.23868,2.23868,0,7.01795,12.2875,1.46325,0.0898764,0.084617,0.0596182,0.00363682,0.0888784,0.149771,0.152737,0,5.39256,0,7.73613,16.9948,2.63462,0,0,11.8686,0
80049,320,,0.000121186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80099,320,,0.000121186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80149,320,,0.000121186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80199,320,,0.000121186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80249,320,320,0.000121186,0,0,0.5,0,0.000705807,0.00019606,6.54111,0.000237954,0.900598,0.0236356,0.00553137,0.0264952,0,2.23751,2.23751,0,6.82286,12.3872,1.43658,0.0905774,0.0829812,0.0555705,0.00358634,0.103804,0.146786,0.150737,0,5.51483,0,7.60566,16.9677,2.61189,0,0,12.0528,0
80299,321,,0.000119922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80349,321,,0.000119922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80399,321,,0.000119922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80449,321,,0.000119922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80499,321,321,0.000119922,0,0,0.5,0,0.000709595,0.000204206,6.59258,0.000238998,0.952387,0.0238348,0.00590453,0.027106,0,2.24209,2.24209,0,6.87507,12.0291,1.45169,0.0910226,0.0821994,0.0587772,0.00369386,0.0982133,0.150334,0.152918,0,5.29128,0,7.68972,16.9706,2.63152,0,0,12.1275,0
80549,322,,0.000118606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80599,322,,0.000118606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80649,322,,0.000118606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80699,322,,0.000118606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80749,322,322,0.000118606,0,0,0.5,0,0.000700025,0.000198897,6.7551,0.000240477,0.960228,0.0236751,0.00571377,0.0269869,0,2.21094,2.21094,0,6.77337,12.0517,1.43671,0.0899023,0.0819437,0.0579919,0.0036052,0.0908877,0.149896,0.155089,0,5.2004,0,7.69588,16.9692,2.64034,0,0,12.0209,0
80799,323,,0.00011724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80849,323,,0.00011724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80899,323,,0.00011724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80949,323,,0.00011724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80999,323,323,0.00011724,0,0,0.5,0,0.000706075,0.000200304,6.72517,0.000239305,0.948328,0.0235257,0.00577796,0.0269501,0,2.20323,2.20323,0,6.81977,12.0062,1.44506,0.0903664,0.0842183,0.0573025,0.00351728,0.0944008,0.150575,0.152185,0,5.291,0,7.69394,16.9611,2.624,0,0,11.9936,0
81049,324,,0.000115823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81099,324,,0.000115823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81149,324,,0.000115823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81199,324,,0.000115823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
