step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/perc,train/spec,train/total,train/wave,val_id/loud,val_id/lsd,val_id/mfcc,val_id/mfcc03,val_id/mfccdb,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_mult,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/lsd
0,0,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,40
12549,50,,0.000605006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12599,50,,0.000605006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12649,50,,0.000605006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12699,50,,0.000605006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12749,50,50,0.000605006,9.9668,0,0.00166,0.265025,4.7276e-05,4.77446e-05,9.03951e-05,0.0262156,0.0129785,0.0129778,0.025956,0,0.000426958,0.265403,0,4.64545,11.7301,1.03672,0.116449,4.64927,0.0513613,0.0475849,0.0309428,0.0428016,0.102476,0.0843628,0,0.301839,0,
12799,51,,0.000598956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12849,51,,0.000598956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12899,51,,0.000598956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12949,51,,0.000598956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12999,51,51,0.000598956,9.90013,0,0.00499333,0.260552,4.71916e-05,4.74914e-05,8.98064e-05,0.0266828,0.0128934,0.0128915,0.0257842,0,0.00127019,0.261822,0,4.71171,11.5729,1.04367,0.114494,4.61459,0.0504787,0.0475221,0.0311387,0.0414743,0.102509,0.0802284,0,0.297917,0,
13049,52,,0.000592966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13099,52,,0.000592966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13149,52,,0.000592966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13199,52,,0.000592966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13249,52,52,0.000592966,9.83347,0,0.00832667,0.260286,4.71998e-05,4.72857e-05,8.91424e-05,0.0274918,0.0128082,0.0128051,0.0256124,0,0.00213396,0.26242,0,4.66243,11.482,1.03865,0.112958,4.52477,0.0506804,0.0472042,0.0304747,0.0425234,0.102649,0.081231,0,0.294379,0,
13299,53,,0.000587037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13349,53,,0.000587037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13399,53,,0.000587037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13449,53,,0.000587037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13499,53,53,0.000587037,9.7668,0,0.01166,0.256265,4.70617e-05,4.69989e-05,8.88944e-05,0.028545,0.0127232,0.0127187,0.0254408,0,0.00299072,0.259256,0,4.68479,11.6219,1.04661,0.117721,4.72151,0.0525869,0.0484253,0.0335223,0.0433208,0.104014,0.0862393,0,0.300964,0,
