step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/BFRQ_0,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/total,val_id/loud,val_id/lsd,val_id/mfcc,val_id/mfcc03,val_id/mfccdb,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_hz,val_id/param_group/harmor_f0_mult,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/loud,val_ood/lsd,val_ood/mfcc,val_ood/mfcc03,val_ood/mfccdb,val_ood/param,val_ood/perc,val_ood/spec,val_ood/wave
0,0,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,40,,,,,,,
49,0,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,0,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,0,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,0,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,0,0,0.001,10,0,0,5.05935e-05,5.07781e-05,0.0260416,9.87805e-05,0.0260416,0.0130208,0.0130208,0.0260416,1.2367,6.59359,18.0867,1.79678,0.292458,11.0295,0.100456,0.088227,0.0512831,0.0237828,0.0510158,0.239593,0.148834,0,7.78437,0,6.88568,18.5083,2.92559,0.408299,14.1626,0,0,8.75449,0
299,1,,0.00099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,1,,0.00099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,1,,0.00099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,1,,0.00099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,1,1,0.00099,10,0,0,5.03217e-05,5.05328e-05,0.0260416,9.76286e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.967403,6.44376,17.4389,1.62392,0.253361,9.56727,0.0881342,0.0771948,0.046655,0.0183703,0.0386831,0.217818,0.130084,0,7.71603,0,6.44905,18.325,2.78324,0.402445,13.4179,0,0,9.87958,0
549,2,,0.0009801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,2,,0.0009801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,2,,0.0009801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699,2,,0.0009801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749,2,2,0.0009801,10,0,0,5.01442e-05,5.03037e-05,0.0260416,9.6895e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.859683,6.56747,17.1904,1.5863,0.233964,9.15087,0.0823667,0.0743445,0.0434336,0.0190287,0.0313611,0.201881,0.124151,0,7.09197,0,6.20918,17.952,2.68213,0.375127,12.9889,0,0,8.88411,0
799,3,,0.000970299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
849,3,,0.000970299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899,3,,0.000970299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,3,,0.000970299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999,3,3,0.000970299,10,0,0,4.99853e-05,5.01804e-05,0.0260416,9.6618e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.787334,6.44954,16.8669,1.53269,0.218677,8.46612,0.0774172,0.066613,0.0479003,0.0171217,0.028888,0.184043,0.119937,0,7.63817,0,6.20366,17.8738,2.6721,0.379639,12.7501,0,0,10.0024,0
1049,4,,0.000960596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1099,4,,0.000960596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1149,4,,0.000960596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199,4,,0.000960596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
