step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/BFRQ_0,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/perc,train/spec,train/total,train/wave,val_id/loud,val_id/lsd,val_id/mfcc,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_hz,val_id/param_group/harmor_f0_mult,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/loud,val_ood/lsd,val_ood/mfcc,val_ood/param,val_ood/perc,val_ood/spec,val_ood/wave
0,0,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,40,,,,,
50049,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50099,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50149,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50199,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50249,200,200,0.00013398,0,0,0.5,0,0.000690569,0.000184967,5.84254,0.000274883,0.732218,0.023085,0.00495721,0.0267924,0,2.51155,2.51155,0,6.87018,12.7199,1.40092,0.0681591,0.0732273,0.0446197,0.00421393,0.0536603,0.115084,0.118149,0,5.73087,0,7.61185,16.9876,2.60578,0,0,12.2997,0
50299,201,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50349,201,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50399,201,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50449,201,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50499,201,201,0.00013398,0,0,0.5,0,0.000676513,0.000181225,5.68638,0.000270744,0.678108,0.0226211,0.00483125,0.0260349,0,2.57522,2.57522,0,6.90095,12.9365,1.40315,0.0682112,0.0730954,0.0453129,0.0042802,0.0514711,0.113935,0.121173,0,5.87565,0,7.73591,16.9951,2.62513,0,0,12.3965,0
50549,202,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50599,202,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50649,202,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50699,202,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50749,202,202,0.00013398,0,0,0.5,0,0.000663855,0.000181756,5.82759,0.000269843,0.7339,0.0221955,0.00485306,0.0265001,0,2.52354,2.52354,0,6.89326,13.1092,1.42655,0.0697661,0.0748043,0.0458397,0.0042341,0.0523769,0.114047,0.127295,0,6.07407,0,7.75414,17.0232,2.62051,0,0,12.0212,0
50799,203,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
