step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/BFRQ_0,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/perc,train/spec,train/total,train/wave,val_id/loud,val_id/lsd,val_id/mfcc,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_hz,val_id/param_group/harmor_f0_mult,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/loud,val_ood/lsd,val_ood/mfcc,val_ood/param,val_ood/perc,val_ood/spec,val_ood/wave
0,0,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,40,,,,,
49,0,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,0,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,0,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,0,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,0,0,0.001,0,0,1,0,0.000199474,4.23168e-05,0.0441153,2.29874e-05,0.0243768,0.00184386,0.000246946,0.00371518,0,5.83088,5.83088,0,15.34,18.9162,3.43014,0.356921,0.157755,0.157078,0.405404,0.492339,0.50779,0.421161,0,5.59632,0,11.5036,17.0026,2.94178,0,0,5.84746,0
299,1,,0.00099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,1,,0.00099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,1,,0.00099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,1,,0.00099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,1,1,0.00099,0,0,1,0,0.000744912,0.000115405,0.123032,2.35835e-05,0.0318229,0.00248397,0.000423827,0.000828936,0,5.53231,5.53231,0,13.5058,18.9252,3.07181,0.316058,0.150147,0.138787,0.394418,0.495146,0.401544,0.316309,0,5.4738,0,10.6996,17.2904,2.81055,0,0,5.79401,0
549,2,,0.0009801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,2,,0.0009801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,2,,0.0009801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699,2,,0.0009801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749,2,2,0.0009801,0,0,1,0,0.000745824,0.000108481,0.150303,2.55146e-05,0.0241424,0.00323126,0.000423855,0.00127268,0,5.48991,5.48991,0,14.3186,18.5079,3.23877,0.316653,0.15091,0.160327,0.35768,0.492271,0.402109,0.336623,0,5.86643,0,11.0282,17.1503,2.84853,0,0,5.9956,0
799,3,,0.000970299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
849,3,,0.000970299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899,3,,0.000970299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,3,,0.000970299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999,3,3,0.000970299,0,0,1,0,0.000725049,0.000103656,0.162921,2.74679e-05,0.023139,0.00289516,0.000391371,0.00143784,0,5.45141,5.45141,0,14.6763,18.9307,3.15457,0.316693,0.153304,0.160828,0.378262,0.490712,0.396013,0.321042,0,5.41688,0,11.8809,17.4591,3.03067,0,0,5.77452,0
1049,4,,0.000960596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1099,4,,0.000960596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1149,4,,0.000960596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199,4,,0.000960596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
