step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/BFRQ_0,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/perc,train/spec,train/total,train/wave,val_id/loud,val_id/lsd,val_id/mfcc,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_hz,val_id/param_group/harmor_f0_mult,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/loud,val_ood/lsd,val_ood/mfcc,val_ood/param,val_ood/perc,val_ood/spec,val_ood/wave
0,0,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,40,,,,,
75049,300,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75099,300,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75149,300,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75199,300,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75249,300,300,0.00013398,0,0,1,0,0.00061288,0.00013403,4.27142,0.000360422,0.167067,0.0261797,0.000100552,0.0233645,0,3.634,3.634,0,8.07626,14.1226,1.85669,0.185949,0.119126,0.0969479,0.0180637,0.306699,0.354635,0.220224,0,4.11211,0,6.73298,14.0264,1.97577,0,0,3.91526,0
75299,301,,0.000133947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75349,301,,0.000133947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75399,301,,0.000133947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75449,301,,0.000133947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75499,301,301,0.000133947,0,0,1,0,0.000610554,0.000116347,4.14379,0.000359204,0.144526,0.0265933,7.70135e-05,0.0237231,0,3.57946,3.57946,0,7.96796,14.1317,1.82648,0.184137,0.119474,0.0962359,0.0186472,0.300656,0.35131,0.218496,0,4.10801,0,6.73809,14.4759,1.97516,0,0,4.11274,0
75549,302,,0.000133847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75599,302,,0.000133847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75649,302,,0.000133847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75699,302,,0.000133847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75749,302,302,0.000133847,0,0,1,0,0.000617504,0.000108779,4.14006,0.000366911,0.112686,0.0273616,7.42729e-05,0.023815,0,3.61971,3.61971,0,8.05865,14.0688,1.85546,0.184816,0.12077,0.103717,0.0158741,0.300569,0.34861,0.219354,0,4.17061,0,6.71369,14.1032,1.97443,0,0,3.92013,0
75799,303,,0.000133682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75849,303,,0.000133682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75899,303,,0.000133682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75949,303,,0.000133682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75999,303,303,0.000133682,0,0,1,0,0.000616334,0.000126458,4.27752,0.000364709,0.164188,0.0263909,8.85925e-05,0.0237719,0,3.58073,3.58073,0,8.03366,14.0408,1.83552,0.18662,0.118627,0.0954103,0.0220719,0.307498,0.357633,0.218478,0,4.0502,0,6.86551,14.0674,1.99596,0,0,3.94699,0
76049,304,,0.000133451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76099,304,,0.000133451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76149,304,,0.000133451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76199,304,,0.000133451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76249,304,304,0.000133451,0,0,1,0,0.00060016,0.000123552,4.22915,0.000347497,0.167591,0.0259254,9.03238e-05,0.0247618,0,3.59889,3.59889,0,8.08123,14.0483,1.84227,0.184043,0.118874,0.0982156,0.0175374,0.298084,0.350745,0.220803,0,4.06868,0,6.84348,14.1463,2.00723,0,0,3.94011,0
76299,305,,0.000133155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76349,305,,0.000133155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76399,305,,0.000133155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76449,305,,0.000133155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76499,305,305,0.000133155,0,0,1,0,0.000627307,0.000125336,4.34599,0.000376627,0.139896,0.0277158,8.77478e-05,0.0246116,0,3.57481,3.57481,0,8.03281,14.1737,1.83822,0.185641,0.119297,0.0998347,0.0164683,0.309357,0.349264,0.219628,0,4.1378,0,6.90677,14.2822,2.04311,0,0,3.98917,0
76549,306,,0.000132793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76599,306,,0.000132793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76649,306,,0.000132793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76699,306,,0.000132793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76749,306,306,0.000132793,0,0,1,0,0.000600706,0.000123581,4.32454,0.000352477,0.141777,0.0261617,9.10411e-05,0.0234785,0,3.58027,3.58027,0,7.86005,14.1762,1.83494,0.183941,0.119049,0.0983871,0.0186152,0.294618,0.354144,0.21883,0,4.14342,0,6.74293,14.0051,2.00163,0,0,3.87023,0
76799,307,,0.000132366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76849,307,,0.000132366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76899,307,,0.000132366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76949,307,,0.000132366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76999,307,307,0.000132366,0,0,1,0,0.000596606,0.000131618,4.37598,0.000335155,0.176311,0.0251678,0.00010543,0.0229854,0,3.56883,3.56883,0,8.22425,14.2055,1.8838,0.188938,0.119526,0.0973806,0.0263723,0.316324,0.358784,0.215241,0,4.1289,0,7.05395,14.3566,2.07571,0,0,4.05647,0
77049,308,,0.000131875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77099,308,,0.000131875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77149,308,,0.000131875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77199,308,,0.000131875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77249,308,308,0.000131875,0,0,1,0,0.000609936,0.000138104,4.36581,0.000354873,0.247041,0.0267157,0.000122919,0.0245897,0,3.58101,3.58101,0,7.92636,14.2575,1.82745,0.190794,0.121034,0.0946149,0.0326149,0.316642,0.35985,0.220005,0,4.21864,0,6.71372,14.139,2.03521,0,0,3.95047,0
77299,309,,0.00013132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77349,309,,0.00013132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77399,309,,0.00013132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77449,309,,0.00013132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77499,309,309,0.00013132,0,0,1,0,0.000603773,0.000127184,4.31314,0.00036091,0.201419,0.026494,9.18491e-05,0.0246583,0,3.59726,3.59726,0,7.86457,14.1123,1.81096,0.180502,0.119512,0.0952636,0.0200681,0.280996,0.350743,0.216431,0,4.19494,0,6.72379,14.1791,2.01284,0,0,3.88342,0
77549,310,,0.000130701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77599,310,,0.000130701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77649,310,,0.000130701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77699,310,,0.000130701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77749,310,310,0.000130701,0,0,1,0,0.00061606,0.000130393,4.34276,0.000362915,0.197651,0.0270451,0.000109759,0.0247425,0,3.55129,3.55129,0,8.1754,14.2337,1.85778,0.179671,0.118967,0.0947355,0.0180376,0.269514,0.356921,0.219851,0,4.15272,0,6.90887,14.0421,2.05762,0,0,3.98429,0
77799,311,,0.000130019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77849,311,,0.000130019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77899,311,,0.000130019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77949,311,,0.000130019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77999,311,311,0.000130019,0,0,1,0,0.000608839,0.000138626,4.37393,0.000352452,0.211676,0.0258456,0.000116611,0.0231717,0,3.54936,3.54936,0,7.97801,14.0195,1.84274,0.183955,0.118509,0.0961053,0.0177205,0.296332,0.356372,0.218691,0,4.09571,0,6.77777,14.1767,2.01406,0,0,3.96347,0
78049,312,,0.000129275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78099,312,,0.000129275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78149,312,,0.000129275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78199,312,,0.000129275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78249,312,312,0.000129275,0,0,1,0,0.000611489,0.000116897,4.36958,0.00035312,0.157288,0.0265692,0.000106002,0.0244655,0,3.52451,3.52451,0,7.95576,14.136,1.85613,0.178916,0.119225,0.104472,0.016218,0.257746,0.353199,0.222635,0,4.13344,0,6.83163,14.2205,2.01389,0,0,3.94278,0
78299,313,,0.00012847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78349,313,,0.00012847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78399,313,,0.00012847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78449,313,,0.00012847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78499,313,313,0.00012847,0,0,1,0,0.00060456,0.000120857,4.33489,0.000375614,0.209293,0.0260856,0.000146982,0.0231535,0,3.57877,3.57877,0,8.21633,14.0761,1.88641,0.182974,0.118277,0.101996,0.0181047,0.269125,0.364477,0.225864,0,4.16841,0,6.88199,14.1724,2.00583,0,0,3.98553,0
78549,314,,0.000127604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78599,314,,0.000127604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78649,314,,0.000127604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78699,314,,0.000127604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78749,314,314,0.000127604,0,0,1,0,0.000601818,0.000141438,4.35351,0.000379073,0.249138,0.0265279,0.000143638,0.0238474,0,3.58389,3.58389,0,8.22056,13.9757,1.87812,0.184201,0.119389,0.09594,0.0179145,0.28105,0.369845,0.22107,0,4.10258,0,6.92902,14.3021,2.00748,0,0,4.02285,0
78799,315,,0.000126678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78849,315,,0.000126678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78899,315,,0.000126678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78949,315,,0.000126678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78999,315,315,0.000126678,0,0,1,0,0.00061137,0.000151246,4.25129,0.000365309,0.272267,0.0268046,0.000116573,0.024411,0,3.54196,3.54196,0,8.17372,14.6154,1.87415,0.185958,0.119493,0.099901,0.0193467,0.293156,0.365434,0.218418,0,4.44042,0,6.86091,14.2611,2.02461,0,0,4.01026,0
79049,316,,0.000125693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79099,316,,0.000125693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79149,316,,0.000125693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79199,316,,0.000125693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79249,316,316,0.000125693,0,0,1,0,0.000616324,0.000149814,4.27481,0.000362547,0.288696,0.0273374,0.00010735,0.0245787,0,3.55695,3.55695,0,7.95271,14.0654,1.82859,0.182932,0.119749,0.0980705,0.0172271,0.2816,0.359595,0.221348,0,4.09025,0,6.65951,13.9666,1.99537,0,0,3.91455,0
79299,317,,0.000124651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79349,317,,0.000124651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79399,317,,0.000124651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79449,317,,0.000124651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79499,317,317,0.000124651,0,0,1,0,0.000609623,0.000149184,4.4568,0.00036571,0.270315,0.0274029,0.000113721,0.0242396,0,3.56164,3.56164,0,8.11012,14.1297,1.85446,0.187475,0.118729,0.0980068,0.0174234,0.305795,0.364392,0.220506,0,4.2307,0,6.76093,14.0095,1.99378,0,0,3.86001,0
79549,318,,0.000123551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79599,318,,0.000123551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79649,318,,0.000123551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79699,318,,0.000123551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79749,318,318,0.000123551,0,0,1,0,0.000616001,0.000162006,4.34233,0.000368741,0.261853,0.0278202,0.000104233,0.0248369,0,3.51464,3.51464,0,7.99893,13.9562,1.83377,0.188919,0.119102,0.0965188,0.0185337,0.308688,0.369494,0.221178,0,4.07041,0,6.86518,14.0429,2.01519,0,0,3.93967,0
79799,319,,0.000122396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79849,319,,0.000122396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79899,319,,0.000122396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79949,319,,0.000122396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79999,319,319,0.000122396,0,0,1,0,0.000594501,0.000171506,4.31639,0.000351077,0.273741,0.0263558,9.80076e-05,0.0243322,0,3.50683,3.50683,0,8.08625,14.0914,1.85893,0.194339,0.119826,0.100102,0.0192548,0.338731,0.365258,0.222863,0,4.15953,0,6.79724,14.1953,2.01554,0,0,3.85708,0
80049,320,,0.000121186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80099,320,,0.000121186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80149,320,,0.000121186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80199,320,,0.000121186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80249,320,320,0.000121186,0,0,1,0,0.000610883,0.000185548,4.33388,0.000365841,0.291346,0.0277158,9.31512e-05,0.0251175,0,3.54957,3.54957,0,8.03158,14.0241,1.85356,0.196319,0.119453,0.098421,0.0182813,0.355856,0.364209,0.221694,0,4.18057,0,6.74128,14.267,2.01478,0,0,3.94785,0
80299,321,,0.000119922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80349,321,,0.000119922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80399,321,,0.000119922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80449,321,,0.000119922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80499,321,321,0.000119922,0,0,1,0,0.000593571,0.000187691,4.42948,0.0003447,0.279281,0.0262924,9.13985e-05,0.0230858,0,3.53445,3.53445,0,7.869,14.0819,1.8315,0.195685,0.119352,0.100964,0.0174721,0.355607,0.359856,0.220858,0,4.19021,0,6.61306,14.1491,2.01808,0,0,3.86535,0
80549,322,,0.000118606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80599,322,,0.000118606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80649,322,,0.000118606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80699,322,,0.000118606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80749,322,322,0.000118606,0,0,1,0,0.000614167,0.0001778,4.31587,0.000366744,0.263571,0.0268471,9.10428e-05,0.0236484,0,3.48231,3.48231,0,8.14353,14.3794,1.87361,0.191181,0.118991,0.100838,0.0175184,0.329017,0.356697,0.224023,0,4.20466,0,6.83741,14.0859,2.04951,0,0,3.89427,0
80799,323,,0.00011724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80849,323,,0.00011724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80899,323,,0.00011724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80949,323,,0.00011724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80999,323,323,0.00011724,0,0,1,0,0.00062006,0.000173336,4.40078,0.000381365,0.253579,0.0280067,0.00010239,0.0250615,0,3.52558,3.52558,0,7.91134,13.9076,1.8193,0.19151,0.119097,0.095377,0.0171536,0.337924,0.35805,0.221461,0,4.10564,0,6.71241,13.9185,2.00186,0,0,3.8356,0
81049,324,,0.000115823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81099,324,,0.000115823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81149,324,,0.000115823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81199,324,,0.000115823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
