step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/perc,train/spec,train/total,train/wave,val_id/loud,val_id/lsd,val_id/mfcc,val_id/mfcc03,val_id/mfccdb,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_mult,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/lsd
0,0,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,40
12549,50,,0.000605006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12599,50,,0.000605006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12649,50,,0.000605006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12699,50,,0.000605006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12749,50,50,0.000605006,9.9668,0,0.00166,0.240638,4.74861e-05,4.77108e-05,9.04424e-05,0.0274551,0.0129783,0.0129779,0.0259562,0,0.000338461,0.240858,0,4.20292,8.31369,0.855093,0.096012,3.3725,0.0455366,0.0453264,0.0325488,0.00736222,0.108996,0.0789855,0,0.213218,0,
12799,51,,0.000598956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12849,51,,0.000598956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12899,51,,0.000598956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12949,51,,0.000598956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12999,51,51,0.000598956,9.90013,0,0.00499333,0.235691,4.72042e-05,4.74602e-05,8.95266e-05,0.0305699,0.0128928,0.0128916,0.0257844,0,0.00105976,0.236751,0,4.19016,8.51898,0.851936,0.102796,3.38193,0.0449998,0.044763,0.0328313,0.00752159,0.111391,0.0734921,0,0.217809,0,
13049,52,,0.000592966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13099,52,,0.000592966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13149,52,,0.000592966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13199,52,,0.000592966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13249,52,52,0.000592966,9.83347,0,0.00832667,0.232792,4.72398e-05,4.7232e-05,8.8963e-05,0.0339307,0.0128072,0.0128052,0.0256129,0,0.00182643,0.234619,0,4.42948,11.6399,0.94293,0.120815,4.32333,0.0458405,0.0456506,0.0323654,0.0142665,0.11035,0.0724107,0,0.291842,0,
13299,53,,0.000587037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13349,53,,0.000587037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13399,53,,0.000587037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13449,53,,0.000587037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13499,53,53,0.000587037,9.7668,0,0.01166,0.228003,4.7049e-05,4.69883e-05,8.87137e-05,0.0367956,0.0127214,0.0127187,0.0254398,0,0.00262655,0.230629,0,4.24249,9.46719,0.871228,0.101695,3.5718,0.0442042,0.0439687,0.0301706,0.00912059,0.108873,0.0730921,0,0.239727,0,
