step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/perc,train/spec,train/total,train/wave,val_id/loud,val_id/lsd,val_id/mfcc,val_id/mfcc03,val_id/mfccdb,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_mult,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/lsd
0,0,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,40
50049,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50099,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50149,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50199,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50249,200,200,0.00013398,0,0,1,0,4.8801e-05,7.1375e-05,3.52385e-05,0.196398,0.000901916,0.00013398,0.000958376,0,0.220152,0.220152,0,4.42811,9.80005,1.07962,0.181859,5.81945,0.0731243,0.0866481,0.038218,0.0422004,0.182591,0.0890877,0,0.224238,0,
50299,201,,0.00013264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50349,201,,0.00013264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50399,201,,0.00013264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50449,201,,0.00013264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50499,201,201,0.00013264,0,0,1,0,5.06778e-05,7.35166e-05,3.44154e-05,0.205647,0.000917285,0.000137318,0.00091367,0,0.219067,0.219067,0,4.42038,9.63163,1.07206,0.184862,5.97303,0.0762262,0.0919989,0.0393196,0.0414894,0.191869,0.0926807,0,0.222101,0,
50549,202,,0.000131313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50599,202,,0.000131313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50649,202,,0.000131313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50699,202,,0.000131313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50749,202,202,0.000131313,0,0,1,0,5.1985e-05,7.56828e-05,3.41733e-05,0.212826,0.000924461,0.000146992,0.000918155,0,0.215907,0.215907,0,4.38813,9.58352,1.03916,0.172618,5.48266,0.074975,0.0840602,0.0401708,0.036917,0.193709,0.0949925,0,0.217041,0,
50799,203,,0.00013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50849,203,,0.00013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50899,203,,0.00013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50949,203,,0.00013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
