step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/BFRQ_0,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/perc,train/spec,train/total,train/wave,val_id/loud,val_id/lsd,val_id/mfcc,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_hz,val_id/param_group/harmor_f0_mult,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/loud,val_ood/lsd,val_ood/mfcc,val_ood/param,val_ood/perc,val_ood/spec,val_ood/wave
0,0,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,40,,,,,
50049,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50099,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50149,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50199,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50249,200,200,0.00013398,0,0,0.5,0,0.000307001,1.75893e-05,0.579589,0.00014015,0.00713586,0.0114225,0.00022904,0.0134934,0,4.56954,4.56954,0,10.585,15.9476,2.18832,0.141509,0.120672,0.104225,0.0149992,0.139387,0.251745,0.218026,0,7.94597,0,11.58,17.9544,3.16649,0,0,9.18053,0
50299,201,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50349,201,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50399,201,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50449,201,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50499,201,201,0.00013398,0,0,0.5,0,0.000338831,8.67687e-06,0.915015,0.000142757,0.00374557,0.0143498,2.36678e-05,0.0168565,0,4.31072,4.31072,0,10.315,16.3948,2.15905,0.147275,0.119618,0.110949,0.0144036,0.160099,0.263083,0.215498,0,8.1447,0,11.2366,18.1099,3.08972,0,0,9.24138,0
50549,202,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50599,202,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50649,202,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50699,202,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50749,202,202,0.00013398,0,0,0.5,0,0.000363575,5.58808e-06,1.08557,0.000180878,0.00200787,0.0161543,1.46778e-05,0.0166717,0,4.21349,4.21349,0,10.7302,15.4765,2.1853,0.149347,0.120845,0.115935,0.0139461,0.162918,0.27821,0.20423,0,7.60115,0,11.1054,17.6928,3.05988,0,0,8.84786,0
50799,203,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
