step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/BFRQ_0,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/perc,train/spec,train/total,train/wave,val_id/loud,val_id/lsd,val_id/mfcc,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_hz,val_id/param_group/harmor_f0_mult,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/loud,val_ood/lsd,val_ood/mfcc,val_ood/param,val_ood/perc,val_ood/spec,val_ood/wave
0,0,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,40,,,,,
50049,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50099,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50149,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50199,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50249,200,200,0.00013398,0,0,1,0,0.00075307,0.000272297,6.46442,0.00030341,0.878753,0.0243656,0.00539733,0.0281854,0,2.7615,2.7615,0,6.48562,12.3773,1.35676,0.0693236,0.0756558,0.0375642,0.00403623,0.068583,0.115294,0.114809,0,3.16545,0,7.30729,16.8742,2.57702,0,0,7.07158,0
50299,201,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50349,201,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50399,201,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50449,201,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50499,201,201,0.00013398,0,0,1,0,0.000738667,0.000267924,6.55441,0.000293738,0.867063,0.0234023,0.00525003,0.0266736,0,2.78325,2.78325,0,6.50288,12.1101,1.35866,0.0696943,0.0768544,0.0368039,0.0039047,0.0693984,0.112798,0.118407,0,3.03476,0,7.36204,16.865,2.56722,0,0,6.98767,0
50549,202,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50599,202,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50649,202,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50699,202,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50749,202,202,0.00013398,0,0,1,0,0.000725717,0.000261851,6.49952,0.000281227,0.808913,0.022655,0.00518921,0.0262919,0,2.82583,2.82583,0,6.63752,12.2454,1.37665,0.0728842,0.0785042,0.0391424,0.00473943,0.0752316,0.117772,0.121915,0,3.12189,0,7.36552,16.7906,2.56182,0,0,6.6506,0
50799,203,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
