step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param,train/param_grad/AMP_0,train/param_grad/BFRQ_0,train/param_grad/CUTOFF_0,train/param_grad/M_OSC_0,train/param_grad/Q_FILT_0,train/perc,train/spec,train/total,train/wave,val_id/loud,val_id/lsd,val_id/mfcc,val_id/mfcc03,val_id/mfccdb,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_hz,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/lsd
0,0,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,40
50049,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50099,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50149,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50199,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50249,200,200,0.00013398,0,0,1,0,4.95383e-05,0.744708,3.00761e-05,0.000533629,0.000991127,0,0.16136,0.16136,0,5.77422,8.29103,1.02185,0.0418762,2.28657,0.0347802,0.059334,0.0332035,0.00177563,0.0211997,0.0583882,0,0.163786,0,
50299,201,,0.00013264,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50349,201,,0.00013264,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50399,201,,0.00013264,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50449,201,,0.00013264,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50499,201,201,0.00013264,0,0,1,0,5.03771e-05,0.752208,2.98795e-05,0.000549189,0.00103436,0,0.161452,0.161452,0,5.88049,8.35351,1.03035,0.0452995,2.34959,0.0347949,0.0580131,0.0345116,0.00182596,0.018951,0.0606728,0,0.165649,0,
50549,202,,0.000131313,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50599,202,,0.000131313,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50649,202,,0.000131313,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50699,202,,0.000131313,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50749,202,202,0.000131313,0,0,1,0,4.98432e-05,0.757288,3.03404e-05,0.000543495,0.00101335,0,0.156572,0.156572,0,5.91349,7.8851,1.02138,0.0388125,2.14777,0.0355461,0.0597477,0.0331796,0.00184321,0.0198172,0.0631427,0,0.154786,0,
50799,203,,0.00013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50849,203,,0.00013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50899,203,,0.00013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50949,203,,0.00013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50999,203,203,0.00013,0,0,1,0,4.9338e-05,0.757975,3.02487e-05,0.00054725,0.00100636,0,0.158461,0.158461,0,6.19211,10.2133,1.09945,0.0501172,2.67845,0.0351497,0.0584285,0.0329311,0.00280057,0.0182429,0.0633452,0,0.202964,0,
51049,204,,0.0001287,,,,,,,,,,,,,,,,,,,,,,,,,,,,
