step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param,train/param_grad/AMP_0,train/param_grad/BFRQ_0,train/param_grad/CUTOFF_0,train/param_grad/M_OSC_0,train/param_grad/Q_FILT_0,train/perc,train/spec,train/total,train/wave,val_id/loud,val_id/lsd,val_id/mfcc,val_id/mfcc03,val_id/mfccdb,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_hz,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/lsd
0,0,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,40
50049,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50099,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50149,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50199,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50249,200,200,0.00013398,0,0,0.5,0,1.57295e-05,0.288588,1.1353e-05,0.000382467,0.000716085,0,0.0621302,0.0621302,0,6.03394,10.6495,1.11319,0.0549899,3.00914,0.0344013,0.055176,0.0312947,0.00300116,0.0234453,0.0590895,0,0.159451,0,
50299,201,,0.00013264,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50349,201,,0.00013264,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50399,201,,0.00013264,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50449,201,,0.00013264,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50499,201,201,0.00013264,0,0,0.5,0,1.57581e-05,0.294566,1.10454e-05,0.000392049,0.00072549,0,0.0629776,0.0629776,0,6.05775,8.8242,1.05929,0.045206,2.4921,0.0346487,0.0540478,0.0326367,0.00193494,0.0181532,0.0664711,0,0.128807,0,
50549,202,,0.000131313,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50599,202,,0.000131313,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50649,202,,0.000131313,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50699,202,,0.000131313,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50749,202,202,0.000131313,0,0,0.5,0,1.55879e-05,0.303445,1.11387e-05,0.000381953,0.000710494,0,0.0608584,0.0608584,0,5.86296,8.28626,1.03099,0.0405109,2.33112,0.0346526,0.0543564,0.0318334,0.0017436,0.0184902,0.0668394,0,0.119145,0,
50799,203,,0.00013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50849,203,,0.00013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50899,203,,0.00013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50949,203,,0.00013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50999,203,203,0.00013,0,0,0.5,0,1.56944e-05,0.304241,1.11128e-05,0.00038202,0.00069632,0,0.0593769,0.0593769,0,5.8664,8.12249,1.0268,0.0406451,2.34285,0.0353348,0.0561989,0.0323619,0.00166362,0.020091,0.0663585,0,0.116542,0,
51049,204,,0.0001287,,,,,,,,,,,,,,,,,,,,,,,,,,,,
