step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/perc,train/spec,train/total,train/wave,val_id/loud,val_id/lsd,val_id/mfcc,val_id/mfcc03,val_id/mfccdb,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_mult,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/lsd
0,0,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,40
12549,50,,0.000605006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12599,50,,0.000605006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12649,50,,0.000605006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12699,50,,0.000605006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12749,50,50,0.000605006,9.9668,0,0.00166,0.255261,4.7539e-05,4.78045e-05,9.00421e-05,0.0262365,0.0129782,0.0129778,0.0259561,0,0.000290259,0.25559,0,4.55969,11.8726,0.988893,0.121678,4.84485,0.0488911,0.0510176,0.0323185,0.0172616,0.114457,0.0782919,0,0.201283,0,
12799,51,,0.000598956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12849,51,,0.000598956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12899,51,,0.000598956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12949,51,,0.000598956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12999,51,51,0.000598956,9.90013,0,0.00499333,0.254842,4.73406e-05,4.76052e-05,8.98072e-05,0.0269289,0.0128927,0.0128912,0.0257846,0,0.00087082,0.255713,0,4.44646,11.8303,0.975181,0.120203,4.8809,0.0483187,0.0506681,0.032881,0.0174422,0.113114,0.0758069,0,0.195522,0,
13049,52,,0.000592966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13099,52,,0.000592966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13149,52,,0.000592966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13199,52,,0.000592966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13249,52,52,0.000592966,9.83347,0,0.00832667,0.250775,4.7219e-05,4.73022e-05,8.90903e-05,0.0276762,0.0128066,0.0128047,0.0256135,0,0.00147601,0.252251,0,4.5792,11.8396,0.988132,0.134951,4.90112,0.050359,0.0565352,0.0329988,0.0174676,0.114863,0.0802899,0,0.214448,0,
13299,53,,0.000587037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13349,53,,0.000587037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13399,53,,0.000587037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13449,53,,0.000587037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13499,53,53,0.000587037,9.7668,0,0.01166,0.245546,4.69653e-05,4.69483e-05,8.84562e-05,0.0287209,0.0127213,0.0127182,0.0254408,0,0.00205554,0.247602,0,4.53215,11.8099,0.98847,0.119211,4.88749,0.0492722,0.0515725,0.0324059,0.0172595,0.114536,0.07986,0,0.191838,0,
