step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param,train/param_grad/AMP_0,train/param_grad/BFRQ_0,train/param_grad/CF_DELAY_0,train/param_grad/CF_DEPTH_0,train/param_grad/CF_MIX_0,train/param_grad/CF_RATE_0,train/param_grad/CUTOFF_0,train/param_grad/M_OSC_0,train/param_grad/Q_FILT_0,train/perc,train/spec,train/total,train/wave,val_id/loud,val_id/lsd,val_id/mfcc,val_id/mfcc03,val_id/param,val_id/param_group/chorus_delay_ms,val_id/param_group/chorus_depth,val_id/param_group/chorus_mix,val_id/param_group/chorus_rate,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_hz,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/loud,val_ood/lsd,val_ood/mfcc,val_ood/mfcc03,val_ood/param,val_ood/perc,val_ood/spec,val_ood/wave
0,0,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,40,,,,,,
50049,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50099,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50149,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50199,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50249,200,200,0.00013398,0,0,0.5,0,1.61798e-05,0.147932,0.00137722,0.000124921,0.000248533,0.00293785,7.7028e-06,0.000222787,0.000421234,0,0.0579781,0.0579781,0,5.5246,9.49452,1.2821,0.0824361,0.0990776,0.211076,0.197627,0.242418,0.0967574,0.0770329,0.0457961,0.00307245,0.0309939,0.086002,0,0.133792,0,5.41706,15.9175,2.38732,0.295178,0,0,0.344418,0
50299,201,,0.00013264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50349,201,,0.00013264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50399,201,,0.00013264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50449,201,,0.00013264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50499,201,201,0.00013264,0,0,0.5,0,1.64206e-05,0.14767,0.00126166,0.000111475,0.000250033,0.00263233,7.63309e-06,0.000228447,0.000428817,0,0.0578498,0.0578498,0,5.50978,9.23512,1.27361,0.0825284,0.102171,0.221156,0.202838,0.251558,0.0942135,0.0823149,0.0468556,0.0027042,0.0298915,0.0901751,0,0.128668,0,5.35562,15.9289,2.38741,0.295841,0,0,0.340657,0
50549,202,,0.000131313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50599,202,,0.000131313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50649,202,,0.000131313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50699,202,,0.000131313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
