step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/BFRQ_0,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/perc,train/spec,train/total,train/wave,val_id/loud,val_id/lsd,val_id/mfcc,val_id/param,val_id/perc,val_id/spec,val_id/wave,val_ood/loud,val_ood/lsd,val_ood/mfcc,val_ood/param,val_ood/perc,val_ood/spec,val_ood/wave
0,0,,,,,,,,,,,,,,,,,,,,40,,,,,,,40,,,,,
50049,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50099,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50149,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50199,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50249,200,200,0.00013398,0,0,1,0,0.000744028,0.000258054,6.5301,0.00029316,0.854204,0.0239895,0.00512089,0.0270781,0,2.80191,2.80191,0,6.50343,12.265,1.35496,0.0695332,0,3.06672,0,7.27759,16.8194,2.56348,0,0,6.86157,0
50299,201,,0.00013264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50349,201,,0.00013264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50399,201,,0.00013264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50449,201,,0.00013264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50499,201,201,0.00013264,0,0,1,0,0.000741712,0.000262242,6.44904,0.000291634,0.867472,0.023852,0.0052223,0.0269309,0,2.81744,2.81744,0,6.59108,12.6591,1.37406,0.0694114,0,3.26164,0,7.29496,16.7974,2.54538,0,0,6.78171,0
50549,202,,0.000131313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50599,202,,0.000131313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50649,202,,0.000131313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50699,202,,0.000131313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50749,202,202,0.000131313,0,0,1,0,0.000737909,0.000263812,6.6201,0.000291213,0.872437,0.023393,0.00528234,0.026484,0,2.76877,2.76877,0,6.60936,12.1379,1.36487,0.0708148,0,3.03685,0,7.36725,16.8099,2.5502,0,0,6.68212,0
50799,203,,0.00013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50849,203,,0.00013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50899,203,,0.00013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50949,203,,0.00013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50999,203,203,0.00013,0,0,1,0,0.000736282,0.000266253,6.61462,0.000293637,0.914612,0.0232223,0.00529997,0.0270203,0,2.76507,2.76507,0,6.59585,12.6076,1.37392,0.0699368,0,3.18503,0,7.28703,16.8506,2.56393,0,0,6.84515,0
51049,204,,0.0001287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
