step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/BFRQ_0,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/perc,train/spec,train/total,train/wave,val_id/loud,val_id/lsd,val_id/mfcc,val_id/param,val_id/perc,val_id/spec,val_id/wave,val_ood/loud,val_ood/lsd,val_ood/mfcc,val_ood/param,val_ood/perc,val_ood/spec,val_ood/wave
0,0,,,,,,,,,,,,,,,,,,,,40,,,,,,,40,,,,,
50049,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50099,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50149,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50199,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50249,200,200,0.00013398,0,0,1,0,0.000145232,0.000235573,0.829554,7.49145e-05,0.185482,0.0010277,0.00018257,0.00102043,0,0.692022,0.692022,0,6.76268,13.729,1.55248,0.086731,0,0.700981,0,6.8002,16.304,2.42993,0,0,0.891118,0
50299,201,,0.00013264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50349,201,,0.00013264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50399,201,,0.00013264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50449,201,,0.00013264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50499,201,201,0.00013264,0,0,1,0,0.000150456,0.000237553,0.837364,7.20088e-05,0.244445,0.0010541,0.000172131,0.00102554,0,0.692718,0.692718,0,6.94206,13.9434,1.62351,0.0995043,0,0.716999,0,6.89484,16.1253,2.45746,0,0,0.884218,0
50549,202,,0.000131313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50599,202,,0.000131313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50649,202,,0.000131313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50699,202,,0.000131313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50749,202,202,0.000131313,0,0,1,0,0.000149563,0.00023555,0.855987,7.2976e-05,0.208715,0.00104125,0.000179553,0.000964841,0,0.68487,0.68487,0,6.80291,13.5912,1.56352,0.0912479,0,0.689774,0,6.84232,16.1784,2.451,0,0,0.884989,0
50799,203,,0.00013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50849,203,,0.00013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50899,203,,0.00013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50949,203,,0.00013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50999,203,203,0.00013,0,0,1,0,0.00015581,0.000231147,0.865678,7.4299e-05,0.166995,0.00105607,0.000175713,0.000933815,0,0.679437,0.679437,0,6.90745,13.6133,1.56042,0.0877748,0,0.690208,0,6.95303,16.2417,2.47633,0,0,0.889923,0
51049,204,,0.0001287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
