step,epoch,epoch,lr-Adam,lw/log_mag_w,lw/param_w,lw/perc_w,lw/sw_w,train/param,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/BFRQ_0,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/perc,train/spec,train/total,train/wave,val_id/loud,val_id/lsd,val_id/mfcc,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_hz,val_id/param_group/harmor_f0_mult,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/loud,val_ood/lsd,val_ood/mfcc,val_ood/param,val_ood/perc,val_ood/spec,val_ood/wave
0,0,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,40,,,,,
50049,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50099,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50149,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50199,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50249,200,200,0.00013398,1,0,0,1,0,5.35779e-05,3.74884e-05,0.427115,3.03131e-05,0.130607,0.000435342,0.000154594,0.000876772,0,0.245159,0.245159,0,6.26733,13.0033,1.29645,0.0609711,0.065669,0.0350138,0.00450772,0.0530959,0.111253,0.0962875,0,0.261588,0,6.40409,16.6679,2.43048,0,0,0.411713,0
50299,201,,0.00013264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50349,201,,0.00013264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50399,201,,0.00013264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50449,201,,0.00013264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50499,201,201,0.00013264,1,0,0,1,0,5.42849e-05,4.23714e-05,0.413112,2.96706e-05,0.127985,0.000444978,0.000149206,0.000846928,0,0.2514,0.2514,0,6.40231,13.0313,1.35733,0.0651757,0.0747859,0.0363276,0.00419188,0.0584543,0.118358,0.0989364,0,0.267649,0,6.79856,16.68,2.45611,0,0,0.407402,0
50549,202,,0.000131313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50599,202,,0.000131313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50649,202,,0.000131313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50699,202,,0.000131313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50749,202,202,0.000131313,1,0,0,1,0,5.25436e-05,4.59511e-05,0.41969,2.93541e-05,0.128236,0.000441499,0.000145964,0.000828623,0,0.248714,0.248714,0,6.2438,12.8968,1.31703,0.0640016,0.0703409,0.0350092,0.00406787,0.0600639,0.114798,0.0997301,0,0.261933,0,6.55902,16.6061,2.43235,0,0,0.407677,0
