step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/BFRQ_0,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/perc,train/spec,train/total,train/wave,val_id/loud,val_id/lsd,val_id/mfcc,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_hz,val_id/param_group/harmor_f0_mult,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/loud,val_ood/lsd,val_ood/mfcc,val_ood/param,val_ood/perc,val_ood/spec,val_ood/wave
0,0,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,40,,,,,
50049,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50099,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50149,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50199,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50249,200,200,0.00013398,0,0,0.5,0,1.644e-05,7.28655e-06,0.158072,9.34933e-06,0.0354129,0.000250344,7.92921e-05,0.000566864,0,0.0841955,0.0841955,0,6.21099,13.0568,1.25178,0.0559454,0.0552233,0.0373044,0.00432407,0.0371652,0.107062,0.0945936,0,0.188243,0,6.57858,17.0403,2.5324,0,0,0.339878,0
50299,201,,0.00013264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50349,201,,0.00013264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50399,201,,0.00013264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50449,201,,0.00013264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50499,201,201,0.00013264,0,0,0.5,0,1.66328e-05,7.236e-06,0.160055,9.74395e-06,0.0388308,0.000259112,8.3877e-05,0.000597697,0,0.0828844,0.0828844,0,6.34515,13.4399,1.29649,0.0593825,0.0605866,0.037859,0.0043416,0.044715,0.105014,0.103779,0,0.199416,0,6.57364,16.9635,2.49694,0,0,0.327283,0
50549,202,,0.000131313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50599,202,,0.000131313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50649,202,,0.000131313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50699,202,,0.000131313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50749,202,202,0.000131313,0,0,0.5,0,1.5897e-05,7.06089e-06,0.15961,9.22879e-06,0.0357539,0.000241031,8.18741e-05,0.00057503,0,0.0833571,0.0833571,0,6.2902,13.0114,1.26338,0.0579071,0.0585269,0.0392713,0.00440481,0.0381718,0.103074,0.103994,0,0.186548,0,6.56553,16.9655,2.50942,0,0,0.333904,0
50799,203,,0.00013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
