step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/total,val_id/loud,val_id/lsd,val_id/mfcc,val_id/mfcc03,val_id/mfccdb,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_mult,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/lsd
0,0,,,,,,,,,,,,,,,40,,,,,,,,,,,,,40
49,0,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,
99,0,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,
149,0,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,
199,0,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,
249,0,0,0.001,10,0,0,5.05872e-05,5.07457e-05,9.89534e-05,0.0260416,0.0130208,0.0130208,0.0260416,1.16323,5.54744,12.8849,1.47102,0.280944,8.95561,0.100716,0.0977323,0.053924,0.0593904,0.239263,0.153986,0,5.85278,0,
299,1,,0.00099,,,,,,,,,,,,,,,,,,,,,,,,,,
349,1,,0.00099,,,,,,,,,,,,,,,,,,,,,,,,,,
399,1,,0.00099,,,,,,,,,,,,,,,,,,,,,,,,,,
449,1,,0.00099,,,,,,,,,,,,,,,,,,,,,,,,,,
499,1,1,0.00099,10,0,0,5.03438e-05,5.05484e-05,9.7589e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.926646,5.53278,13.418,1.41772,0.233337,8.04534,0.0865418,0.083785,0.0477582,0.0410363,0.219518,0.127153,0,6.60218,0,
549,2,,0.0009801,,,,,,,,,,,,,,,,,,,,,,,,,,
599,2,,0.0009801,,,,,,,,,,,,,,,,,,,,,,,,,,
649,2,,0.0009801,,,,,,,,,,,,,,,,,,,,,,,,,,
699,2,,0.0009801,,,,,,,,,,,,,,,,,,,,,,,,,,
749,2,2,0.0009801,10,0,0,5.0116e-05,5.03669e-05,9.6474e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.824605,4.93672,12.4623,1.20576,0.187015,6.78458,0.0780398,0.0735817,0.04322,0.0326491,0.203363,0.115425,0,5.90997,0,
799,3,,0.000970299,,,,,,,,,,,,,,,,,,,,,,,,,,
849,3,,0.000970299,,,,,,,,,,,,,,,,,,,,,,,,,,
899,3,,0.000970299,,,,,,,,,,,,,,,,,,,,,,,,,,
949,3,,0.000970299,,,,,,,,,,,,,,,,,,,,,,,,,,
999,3,3,0.000970299,10,0,0,4.98909e-05,5.02184e-05,9.6226e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.759688,5.35217,12.7968,1.28688,0.2306,7.24932,0.0759535,0.080687,0.0454747,0.0301764,0.190856,0.108526,0,6.22501,0,
1049,4,,0.000960596,,,,,,,,,,,,,,,,,,,,,,,,,,
1099,4,,0.000960596,,,,,,,,,,,,,,,,,,,,,,,,,,
1149,4,,0.000960596,,,,,,,,,,,,,,,,,,,,,,,,,,
1199,4,,0.000960596,,,,,,,,,,,,,,,,,,,,,,,,,,
1249,4,4,0.000960596,10,0,0,4.97383e-05,5.01386e-05,9.62472e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.701218,4.79218,11.6445,1.12937,0.171781,6.2271,0.0695978,0.0649616,0.0445826,0.0258535,0.174485,0.107703,0,4.76564,0,
1299,5,,0.00095099,,,,,,,,,,,,,,,,,,,,,,,,,,
1349,5,,0.00095099,,,,,,,,,,,,,,,,,,,,,,,,,,
1399,5,,0.00095099,,,,,,,,,,,,,,,,,,,,,,,,,,
1449,5,,0.00095099,,,,,,,,,,,,,,,,,,,,,,,,,,
1499,5,5,0.00095099,10,0,0,4.96259e-05,4.99665e-05,9.57685e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.660846,4.85111,11.5751,1.106,0.172376,5.98229,0.0695045,0.0700128,0.0415835,0.023965,0.182468,0.0989973,0,4.66159,0,
1549,6,,0.00094148,,,,,,,,,,,,,,,,,,,,,,,,,,
1599,6,,0.00094148,,,,,,,,,,,,,,,,,,,,,,,,,,
