step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param_grad/AMP_0,train/param_grad/BFRQ_0,train/param_grad/CUTOFF_0,train/param_grad/M_OSC_0,train/param_grad/Q_FILT_0,train/total,val_id/loud,val_id/lsd,val_id/mfcc,val_id/mfcc03,val_id/mfccdb,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_hz,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/lsd
0,0,,,,,,,,,,,,,40,,,,,,,,,,,,,40
49,0,,0.001,,,,,,,,,,,,,,,,,,,,,,,,
99,0,,0.001,,,,,,,,,,,,,,,,,,,,,,,,
149,0,,0.001,,,,,,,,,,,,,,,,,,,,,,,,
199,0,,0.001,,,,,,,,,,,,,,,,,,,,,,,,
249,0,0,0.001,10,0,0,0.000119852,0.03125,0.00011919,0.03125,0.03125,1.27633,7.55001,15.6923,1.52844,0.214053,7.69532,0.0966066,0.0964733,0.0644078,0.018688,0.122521,0.180943,0,11.2455,0,
299,1,,0.00099,,,,,,,,,,,,,,,,,,,,,,,,
349,1,,0.00099,,,,,,,,,,,,,,,,,,,,,,,,
399,1,,0.00099,,,,,,,,,,,,,,,,,,,,,,,,
449,1,,0.00099,,,,,,,,,,,,,,,,,,,,,,,,
499,1,1,0.00099,10,0,0,0.000118515,0.03125,0.000117492,0.03125,0.03125,0.818368,7.07944,15.3952,1.45894,0.178448,7.50993,0.0759956,0.0977746,0.0543051,0.015093,0.082238,0.130568,0,9.02682,0,
549,2,,0.0009801,,,,,,,,,,,,,,,,,,,,,,,,
599,2,,0.0009801,,,,,,,,,,,,,,,,,,,,,,,,
649,2,,0.0009801,,,,,,,,,,,,,,,,,,,,,,,,
699,2,,0.0009801,,,,,,,,,,,,,,,,,,,,,,,,
749,2,2,0.0009801,10,0,0,0.000117639,0.03125,0.00011663,0.03125,0.03125,0.693768,6.8442,14.6425,1.36723,0.154985,6.17494,0.0633422,0.079575,0.0515387,0.0121123,0.0591117,0.114373,0,9.07972,0,
799,3,,0.000970299,,,,,,,,,,,,,,,,,,,,,,,,
849,3,,0.000970299,,,,,,,,,,,,,,,,,,,,,,,,
899,3,,0.000970299,,,,,,,,,,,,,,,,,,,,,,,,
949,3,,0.000970299,,,,,,,,,,,,,,,,,,,,,,,,
999,3,3,0.000970299,10,0,0,0.000117232,0.03125,0.000116061,0.03125,0.03125,0.621386,6.74018,13.9451,1.32242,0.122653,5.63232,0.0621385,0.0808305,0.0508494,0.0102217,0.0762402,0.0925507,0,7.57578,0,
1049,4,,0.000960596,,,,,,,,,,,,,,,,,,,,,,,,
1099,4,,0.000960596,,,,,,,,,,,,,,,,,,,,,,,,
1149,4,,0.000960596,,,,,,,,,,,,,,,,,,,,,,,,
1199,4,,0.000960596,,,,,,,,,,,,,,,,,,,,,,,,
1249,4,4,0.000960596,10,0,0,0.000116498,0.03125,0.000115558,0.03125,0.03125,0.576654,6.76609,14.1309,1.31698,0.127079,5.70461,0.0515313,0.0728216,0.0456214,0.00964937,0.0413576,0.0882065,0,7.9534,0,
1299,5,,0.00095099,,,,,,,,,,,,,,,,,,,,,,,,
1349,5,,0.00095099,,,,,,,,,,,,,,,,,,,,,,,,
1399,5,,0.00095099,,,,,,,,,,,,,,,,,,,,,,,,
1449,5,,0.00095099,,,,,,,,,,,,,,,,,,,,,,,,
1499,5,5,0.00095099,10,0,0,0.000116078,0.03125,0.000114759,0.03125,0.03125,0.5351,6.80231,13.0325,1.24205,0.110245,4.67368,0.0559939,0.076324,0.0461008,0.00696289,0.0591352,0.0914464,0,7.06502,0,
1549,6,,0.00094148,,,,,,,,,,,,,,,,,,,,,,,,
1599,6,,0.00094148,,,,,,,,,,,,,,,,,,,,,,,,
1649,6,,0.00094148,,,,,,,,,,,,,,,,,,,,,,,,
1699,6,,0.00094148,,,,,,,,,,,,,,,,,,,,,,,,
1749,6,6,0.00094148,10,0,0,0.000115576,0.03125,0.000114441,0.03125,0.03125,0.510508,6.74578,13.3722,1.25885,0.112345,4.68214,0.0516125,0.0785555,0.0435147,0.00844791,0.0488135,0.0787307,0,6.96418,0,
