step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/BFRQ_0,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/perc,train/spec,train/total,train/wave,val_id/loud,val_id/lsd,val_id/mfcc,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_hz,val_id/param_group/harmor_f0_mult,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/loud,val_ood/lsd,val_ood/mfcc,val_ood/param,val_ood/perc,val_ood/spec,val_ood/wave
0,0,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,40,,,,,
12549,50,,0.000605006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12599,50,,0.000605006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12649,50,,0.000605006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12699,50,,0.000605006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12749,50,50,0.000605006,9.9668,0,0.00332,0.267332,4.73472e-05,4.77859e-05,0.0269372,9.04803e-05,0.026173,0.0129783,0.0129779,0.0259566,0,0.000977711,0.268412,0,6.0152,14.4703,1.25761,0.0504669,0.0480993,0.0309609,0.00566879,0.0359037,0.0987871,0.0833817,0,0.305371,0,6.0871,17.4657,2.56749,0,0,0.469337,0
12799,51,,0.000598956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12849,51,,0.000598956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12899,51,,0.000598956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12949,51,,0.000598956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12999,51,51,0.000598956,9.90013,0,0.00998667,0.266268,4.72763e-05,4.76124e-05,0.0288726,9.02064e-05,0.026616,0.0128931,0.0128917,0.0257858,0,0.00289029,0.269159,0,6.08918,14.9446,1.27561,0.0522013,0.0496451,0.030848,0.00645221,0.036271,0.103399,0.0865927,0,0.325753,0,6.20234,17.4623,2.60545,0,0,0.475275,0
13049,52,,0.000592966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13099,52,,0.000592966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13149,52,,0.000592966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13199,52,,0.000592966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13249,52,52,0.000592966,9.83347,0,0.0166533,0.255789,4.7106e-05,4.72523e-05,0.0306317,8.90884e-05,0.0272886,0.0128074,0.0128054,0.0256159,0,0.0048734,0.260662,0,6.10461,14.4917,1.26695,0.0502881,0.0493624,0.0319721,0.00540608,0.0344916,0.0976221,0.0828743,0,0.313362,0,6.29254,17.5549,2.6692,0,0,0.481405,0
13299,53,,0.000587037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13349,53,,0.000587037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
