step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/BFRQ_0,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/perc,train/spec,train/total,train/wave,val_id/loud,val_id/lsd,val_id/mfcc,val_id/param,val_id/perc,val_id/spec,val_id/wave,val_ood/loud,val_ood/lsd,val_ood/mfcc,val_ood/param,val_ood/perc,val_ood/spec,val_ood/wave
0,0,,,,,,,,,,,,,,,,,,,,40,,,,,,,40,,,,,
12549,50,,0.000605006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12599,50,,0.000605006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12649,50,,0.000605006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12699,50,,0.000605006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12749,50,50,0.000605006,9.9668,0,0.00332,0.27467,4.91551e-05,4.79604e-05,0.051648,9.11399e-05,0.0358341,0.0130021,0.0129835,0.0259921,0,0.0317324,0.306352,0,6.15755,16.6419,1.48955,0.0519718,0,9.77732,0,6.33034,17.3404,2.58421,0,0,16.7733,0
12799,51,,0.000598956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12849,51,,0.000598956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12899,51,,0.000598956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12949,51,,0.000598956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12999,51,51,0.000598956,9.90013,0,0.00998667,0.280813,5.20532e-05,4.7356e-05,0.0860567,9.21851e-05,0.0531784,0.012943,0.0128909,0.0258522,0,0.0964328,0.377246,0,6.18535,16.0556,1.3959,0.0529713,0,9.28998,0,6.34459,17.2592,2.5636,0,0,15.4648,0
13049,52,,0.000592966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13099,52,,0.000592966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13149,52,,0.000592966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13199,52,,0.000592966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13249,52,52,0.000592966,9.83347,0,0.0166533,0.285203,5.49958e-05,4.70724e-05,0.114941,9.34176e-05,0.0628704,0.012898,0.0128049,0.0256922,0,0.156563,0.441766,0,6.39458,16.0505,1.40081,0.0537512,0,8.74449,0,6.6213,17.454,2.6295,0,0,14.7526,0
13299,53,,0.000587037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13349,53,,0.000587037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13399,53,,0.000587037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13449,53,,0.000587037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13499,53,53,0.000587037,9.7668,0,0.02332,0.303503,6.09663e-05,4.80107e-05,0.138495,9.49122e-05,0.073763,0.0128589,0.0127206,0.0256171,0,0.210352,0.513855,0,6.33434,16.7002,1.47087,0.0540981,0,9.51933,0,6.6463,17.5708,2.60879,0,0,14.5645,0
13549,54,,0.000581166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13599,54,,0.000581166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
