step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/BFRQ_0,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/perc,train/spec,train/total,train/wave,val_id/loud,val_id/lsd,val_id/mfcc,val_id/mfcc03,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_hz,val_id/param_group/harmor_f0_mult,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/loud,val_ood/lsd,val_ood/mfcc,val_ood/mfcc03,val_ood/param,val_ood/perc,val_ood/spec,val_ood/wave
0,0,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,40,,,,,,
50049,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50099,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50149,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50199,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50249,200,200,0.00013398,0,0,1,0,4.68505e-05,1.51861e-05,0.0116504,4.28359e-06,0.00853021,5.66638e-05,3.91754e-05,0.000109561,0,0.125899,0.125899,0,9.15178,15.6291,1.87801,0.254227,0.110874,0.108051,0.0732597,0.0115764,0.160667,0.189056,0.122635,0,0.11804,0,8.59637,16.4069,2.39384,0.299227,0,0,0.123828,0
50299,201,,0.00013264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50349,201,,0.00013264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50399,201,,0.00013264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50449,201,,0.00013264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50499,201,201,0.00013264,0,0,1,0,4.09989e-05,1.25245e-05,0.0131259,4.07952e-06,0.0117982,6.77646e-05,2.67463e-05,9.13023e-05,0,0.122419,0.122419,0,8.68817,15.2772,1.8025,0.241873,0.106565,0.108052,0.069814,0.0107108,0.12029,0.205452,0.125073,0,0.114336,0,8.51922,16.1698,2.32857,0.293143,0,0,0.122513,0
50549,202,,0.000131313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50599,202,,0.000131313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50649,202,,0.000131313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50699,202,,0.000131313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
