step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/BFRQ_0,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/perc,train/spec,train/total,train/wave,val_id/loud,val_id/lsd,val_id/mfcc,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_hz,val_id/param_group/harmor_f0_mult,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/loud,val_ood/lsd,val_ood/mfcc,val_ood/param,val_ood/perc,val_ood/spec,val_ood/wave
0,0,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,40,,,,,
50049,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50099,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50149,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50199,200,,0.00013398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50249,200,200,0.00013398,0,0,1,0,0.000202426,6.59615e-05,0.0573817,2.01742e-05,0.123809,0.00019054,7.95158e-05,0.000337999,0,0.387337,0.387337,0,8.42722,16.5601,1.87368,0.11595,0.112281,0.0539279,0.0183882,0.121572,0.256925,0.132608,0,0.389242,0,7.95374,15.9704,2.26746,0,0,0.382192,0
50299,201,,0.00013264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50349,201,,0.00013264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50399,201,,0.00013264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50449,201,,0.00013264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50499,201,201,0.00013264,0,0,1,0,0.000288085,6.43109e-05,0.0587461,1.77694e-05,0.0507615,0.00017426,7.23429e-05,0.000258482,0,0.377081,0.377081,0,8.67226,15.4424,1.85236,0.123988,0.116144,0.0562506,0.013547,0.141706,0.283125,0.133152,0,0.36626,0,8.40745,15.7708,2.21103,0,0,0.377061,0
50549,202,,0.000131313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50599,202,,0.000131313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50649,202,,0.000131313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50699,202,,0.000131313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50749,202,202,0.000131313,0,0,1,0,0.000272177,4.96988e-05,0.0603577,1.63115e-05,0.0349645,0.000187505,5.29387e-05,0.000237587,0,0.379014,0.379014,0,8.22513,16.1813,1.87845,0.142623,0.115921,0.0591213,0.0179331,0.213542,0.303907,0.145315,0,0.383388,0,8.10553,15.7251,2.15274,0,0,0.379292,0
50799,203,,0.00013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
