step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/BFRQ_0,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/perc,train/spec,train/total,train/wave,val_id/loud,val_id/lsd,val_id/mfcc,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_hz,val_id/param_group/harmor_f0_mult,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/loud,val_ood/lsd,val_ood/mfcc,val_ood/param,val_ood/perc,val_ood/spec,val_ood/wave
0,0,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,40,,,,,
49,0,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,0,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,0,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,0,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,0,0,0.001,0,0,0.5,0,2.46412e-07,2.93276e-08,0.000188971,4.27261e-07,0.00011842,1.03489e-05,2.2407e-06,2.03937e-05,0,0.183935,0.183935,0,29.9753,24.7153,6.50608,0.45109,0.441486,0.536482,0.531365,0.320678,0.39266,0.483869,0,0.365911,0,23.0563,21.9225,4.83504,0,0,0.322481,0
299,1,,0.00099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,1,,0.00099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,1,,0.00099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,1,,0.00099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,1,1,0.00099,0,0,0.5,0,6.92064e-09,1.51043e-13,9.36193e-08,1.55468e-10,1.08989e-08,2.42893e-09,1.58355e-11,4.15383e-10,0,0.182722,0.182722,0,29.9754,24.7153,6.50604,0.45388,0.44258,0.536672,0.533356,0.334187,0.393338,0.483149,0,0.365911,0,23.0563,21.9225,4.83536,0,0,0.322481,0
549,2,,0.0009801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,2,,0.0009801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,2,,0.0009801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699,2,,0.0009801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749,2,2,0.0009801,0,0,0.5,0,6.85315e-09,0,7.08307e-08,1.87902e-10,0,2.9481e-09,0,5.0936e-10,0,0.182722,0.182722,0,29.9753,24.7153,6.506,0.454095,0.445395,0.536947,0.532453,0.332675,0.393747,0.483352,0,0.365911,0,23.0563,21.9225,4.83608,0,0,0.322481,0
799,3,,0.000970299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
849,3,,0.000970299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899,3,,0.000970299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,3,,0.000970299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999,3,3,0.000970299,0,0,0.5,0,6.72694e-09,0,9.94103e-08,2.52185e-10,0,3.92404e-09,0,7.02623e-10,0,0.182722,0.182722,0,29.9751,24.7152,6.50613,0.454006,0.447911,0.537181,0.532167,0.33,0.393119,0.483662,0,0.365911,0,23.0561,21.9224,4.83828,0,0,0.322481,0
1049,4,,0.000960596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1099,4,,0.000960596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1149,4,,0.000960596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199,4,,0.000960596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
