folder,file,label_hz,F_hz,semis,score,alpha,p1,bump2,bump3,bump4,odd_only,kind
17475__modularsamples__rol,302552__modularsamples__roland-juno-6-open-pad-c2-open-pad-36-127-urio.aiff,65.41,32.70,-12.00,49.58,1.16,0.28,5.08,0.54,1.25,-5.08,octave
17475__modularsamples__rol,302553__modularsamples__roland-juno-6-open-pad-c2-open-pad-37-127-olx2.aiff,69.30,34.65,-12.00,49.24,1.17,0.44,4.65,0.76,0.20,-4.65,octave
17475__modularsamples__rol,302554__modularsamples__roland-juno-6-open-pad-d2-open-pad-38-127-76rd.aiff,73.42,36.71,-12.00,51.04,1.11,0.68,4.71,1.02,0.04,-4.71,octave
17475__modularsamples__rol,302555__modularsamples__roland-juno-6-open-pad-d2-open-pad-39-127-f5b5.aiff,77.78,38.89,-12.00,47.98,1.11,1.09,4.62,0.09,-0.07,-4.62,octave
17475__modularsamples__rol,302556__modularsamples__roland-juno-6-open-pad-e2-open-pad-40-127-2dbr.aiff,82.41,41.20,-12.00,49.70,1.08,1.57,4.94,-0.33,1.48,-4.94,octave
17475__modularsamples__rol,302557__modularsamples__roland-juno-6-open-pad-e2-open-pad-41-127-rfsv.aiff,87.31,43.65,-12.00,45.18,1.08,1.79,5.25,-0.85,1.78,-5.25,octave
17475__modularsamples__rol,302558__modularsamples__roland-juno-6-open-pad-f2-open-pad-42-127-guw8.aiff,92.50,46.25,-12.00,44.09,1.05,1.26,5.10,-0.98,2.43,-5.10,octave
17475__modularsamples__rol,302559__modularsamples__roland-juno-6-open-pad-f2-open-pad-43-127-yuzn.aiff,98.00,49.00,-12.00,45.03,1.05,2.07,4.64,-1.18,3.05,-4.64,octave
17475__modularsamples__rol,302560__modularsamples__roland-juno-6-open-pad-g2-open-pad-44-127-5qmx.aiff,103.83,51.91,-12.00,44.92,1.05,1.91,4.93,-1.43,2.41,-4.93,octave
17475__modularsamples__rol,302561__modularsamples__roland-juno-6-open-pad-a2-open-pad-45-127-4qr6.aiff,110.00,55.00,-12.00,44.59,1.04,1.50,4.65,-1.17,1.86,-4.65,octave
17475__modularsamples__rol,302562__modularsamples__roland-juno-6-open-pad-a2-open-pad-46-127-dhqx.aiff,116.54,58.27,-12.00,44.96,1.03,1.96,4.33,0.20,2.90,-4.33,octave
17475__modularsamples__rol,302563__modularsamples__roland-juno-6-open-pad-b2-open-pad-47-127-9cl5.aiff,123.47,61.74,-12.00,45.26,1.05,1.90,4.16,1.20,1.95,-4.16,octave
17475__modularsamples__rol,302564__modularsamples__roland-juno-6-open-pad-c3-open-pad-48-127-xwz1.aiff,130.81,65.41,-12.00,45.72,1.03,1.60,3.98,1.14,2.00,-3.98,octave
17475__modularsamples__rol,302565__modularsamples__roland-juno-6-open-pad-c3-open-pad-49-127-fm88.aiff,138.59,69.30,-12.00,44.45,1.06,1.29,3.49,1.07,1.67,-3.49,octave
17475__modularsamples__rol,302566__modularsamples__roland-juno-6-open-pad-d3-open-pad-50-127-4zkh.aiff,146.83,73.42,-12.00,45.99,1.00,1.88,3.47,1.02,1.56,-3.47,octave
