filename,target_npz,runtime,best_loss,n_restarts_run,total_evaluations,cmaes_gen_count,best_popsize,loss_name,gt_loss,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0001.npz,random_IR_0001.npz,26.37433218955994,5.710913342227286e-08,1,2580,86,30,L2,7.372535741623221e-12,5.569875850501605e-06,True,48.33155041356694,13.78018084220498,12.32343878087767,199379399429.3479,14429.28348901314,0.003349546112277019,2.691539336747918,595.6109027064949,0.826616296043271,0.7243808603195837,131819184298.8524,12673.80384034166,0.0038607574654896,2.691559161389242,602.7673484378831,0.8264881154026615,0.7244177335187193
random_IR_0002.npz,random_IR_0002.npz,70.15790510177612,8.359494074738905e-08,3,7669,163,55,L2,5.016813787311891e-12,0.006063444190033873,True,103.8387769357726,17.89783918317729,4.571556464192126,175698815197.8752,21111.1364321591,0.004918673007938716,3.686174079748821,474.7048319345355,0.7883403003849094,0.9635217721351906,147920922722.1944,17314.43071595409,0.0048546510420041,3.686141702268032,383.4476844105894,0.7883418349360268,0.9635423527634041
random_IR_0003.npz,random_IR_0003.npz,183.8822643756866,0.03647910803556442,20,9890,191,46,L2,5.146373258102521e-11,0.003514309785952146,True,32.71301308713269,1.617534298506055,12.21081856580586,67004109772.54043,15794.72874493994,0.002071134846023409,1.291536618322422,399.45266754781,0.9883871404708078,0.9647658329731282,186057982895.3271,18083.25309630123,0.0013485171988061,1.306004568773872,20.22819525635132,0.9363059526409414,0.9895229876940544
random_IR_0004.npz,random_IR_0004.npz,187.4253923892975,4.04707058976328e-08,16,9088,220,45,L2,7.18924095602369e-12,0.0002143482771489759,True,16.96325481457943,25.5128844690026,58.93041215234006,171022144871.5125,5555.453863689271,0.003053441758458679,3.417581857725812,999.6515976683328,0.58023887307495,0.9729199564895123,164907916263.1111,4653.559206335945,0.0028459174490117,3.417559836228498,780.5313709946926,0.5802431108304328,0.972887769354296
random_IR_0005.npz,random_IR_0005.npz,49.47745227813721,3.462798758846475e-08,1,2730,91,30,L2,8.24111287024698e-13,0.0002536434531085712,True,41.11254915628985,5.059903278573296,5.855656068614191,136935979721.0347,15960.89408675101,0.002575829958699933,2.613337925053211,240.7409479632279,0.7884258657729879,0.5191972341559477,136791000829.1319,16985.59336136327,0.002658647759962,2.613360133075208,264.5629665485059,0.7885326349456379,0.519207002213814
random_IR_0006.npz,random_IR_0006.npz,43.00752186775208,1.816520835973279e-07,1,3256,88,37,L2,3.498614375638254e-12,0.009855466927899041,True,44.34054173230868,8.975890484422472,8.87663830762046,200466410617.7405,15744.82527420807,0.002816197764032597,2.891036783018974,393.5949513216549,0.6861769480250195,0.7241442884634999,171318505762.8329,20172.46387607493,0.0034483828908896,2.891142941520044,616.9378275347882,0.6861588712811552,0.7241456573616774
random_IR_0007.npz,random_IR_0007.npz,848.7717959880829,1.586669498010451e-07,9,15199,310,41,L2,1.745886313124501e-12,0.0002950039548555773,True,23.02433537214297,0.9027278928962449,35.74503259459733,140838245635.7335,19444.4266824892,0.001184109757932729,3.123010336366236,823.0056183461909,0.5731429261821033,0.6645518809268658,99188531844.29764,15037.9919488214,0.001240901886517,3.123130468189068,666.7700477785132,0.5731738858508781,0.6645598919528501
random_IR_0008.npz,random_IR_0008.npz,67.10866045951843,4.069291392738705e-08,1,3600,80,45,L2,3.999993695644188e-13,3.180792694493921e-07,True,68.79189386746789,3.761732324206686,6.372837516254339,84094647545.23399,21107.37171230917,0.003259140683411123,2.154755556139659,438.3995620527862,0.6122654658631607,0.5890292976139505,82612856044.4483,21011.42815551345,0.0032807870816715,2.154761235733606,438.6071274471857,0.612349610486469,0.5890416637636482
random_IR_0009.npz,random_IR_0009.npz,70.49352121353149,0.008895314298570156,1,4095,91,45,L2,1.91463012978732e-12,0.0537598706362239,True,70.37990655268844,7.073362473016775,10.68771730989833,149920568093.9209,21053.6170015623,0.003342889088723607,3.322354588853,752.200545532195,0.5100000522338153,0.8206149121325403,91322346297.76453,7025.201129630132,0.0020131664101591,2.994014143849656,466.3161097485777,0.5640838191705095,0.831601498837984
random_IR_0010.npz,random_IR_0010.npz,925.6304738521576,8.591416644776473e-08,14,23079,438,60,L2,4.723248268195812e-12,0.0002888631142261738,True,36.23020278787822,1.299678795432673,11.56069246280276,83066723487.04375,19537.09634078852,0.001854431290909832,1.500768303242205,418.8462322956391,0.9205717097477504,0.5570772904225942,81856495196.33838,17864.67272114118,0.0017863294467202,1.50073055891098,368.7314834092575,0.920593004674414,0.5570882198680419
random_IR_0011.npz,random_IR_0011.npz,75.10529780387878,3.897335432156979e-08,1,4108,79,52,L2,1.20342657280309e-12,6.035078692052543e-06,True,40.2966055092984,9.585269408590811,24.6152292719901,141761301384.1335,12875.94928739559,0.003129602688692256,3.93169228985941,991.9101834943193,0.529123313524261,0.6485683648545336,180107327647.9402,13801.09577120686,0.0028746048065908,3.931732448538848,976.7613205794552,0.5292020182046171,0.6485754116624407
random_IR_0012.npz,random_IR_0012.npz,110.2038328647614,1.664200226514367e-07,7,6244,146,49,L2,9.466723195281079e-13,0.006307078317577789,True,38.5447378566633,6.578005249791244,6.445151817602335,113255461307.5627,13149.6502766053,0.002931236728419972,1.448537172958827,248.426687255879,0.5412723680133913,0.8492780732806779,130382238160.7445,8408.083772606749,0.0021845607900885,1.44857002751819,118.7365316770545,0.5414322732109044,0.8493113384913098
random_IR_0013.npz,random_IR_0013.npz,45.81470537185669,8.690697939073289e-08,1,4524,78,58,L2,6.384442453877259e-12,0.0004876004599481777,True,14.26055516319288,13.96542699187295,60.50760509685779,164914478063.2871,5976.427238091779,0.00238613382127382,2.743119325281357,862.8720402764312,0.9653403318362791,0.6661204323592922,155119813820.0954,4196.081602258703,0.0020615579637577,2.743144217199068,523.252820986165,0.965355136812345,0.6660987867011486
random_IR_0014.npz,random_IR_0014.npz,67.4088122844696,4.931314023792766e-08,1,2812,76,37,L2,3.747100719986296e-12,9.945272176620878e-05,True,14.55391838161751,2.50318054820877,59.58746742350161,127649404396.7087,9865.323287927302,0.001475260156900067,3.035508437788276,867.2311374489349,0.797393793951269,0.5198402806857363,95028278387.08888,7870.83454740738,0.0015271914496175,3.035490101894677,716.3300408465243,0.7973913380569407,0.5198526976318718
random_IR_0015.npz,random_IR_0015.npz,266.2019710540771,0.04836905002593994,20,7376,194,36,L2,3.327579531364755e-11,0.03099406936944976,True,10.89286323372712,2.237915810687873,86.60916089534827,141795094594.3911,8742.782624114487,0.001245926348858571,2.449304555811386,943.4217444208955,0.9077320298811195,0.7168485375440914,179484685384.757,7506.149896012699,0.0010187819047701,3.503926084730353,677.8197586308621,0.9814723871075448,0.6318890403247794
random_IR_0016.npz,random_IR_0016.npz,97.85549664497375,3.489503441755915e-08,7,7606,167,48,L2,1.892724909094423e-12,9.828633985635617e-05,True,19.79184094458427,32.39030631929978,25.68856723835235,106413328488.6776,4854.37822940387,0.004077111425867357,2.770835156963038,508.4240368757279,0.7290191063318125,0.9247416534945843,212770598762.0987,6623.934693643624,0.0033681677250873,2.770856269811727,572.2561832718154,0.7290914355226374,0.9247402495108528
