filename,target_npz,runtime,best_loss,n_restarts_run,best_popsize,loss_name,gt_loss,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0001.npz,random_IR_0001.npz,14.143,0.00046443,1,30,L1_STFT,1.403e-05,0.00068875,True,55.59808489,13.78041366,12.33588586,68955641204.34044,11119.66140133,0.00499998,2.69156927,685.85162941,0.8265232,0.7244209,131819184298.85242,12673.80384034,0.00386076,2.69155916,602.76734844,0.82648812,0.72441773
random_IR_0002.npz,random_IR_0002.npz,21.144,0.00039763,1,52,L1_STFT,2.066e-05,0.00730778,True,62.33697178,17.89713492,4.57978862,108778832255.55151,12804.61682049,0.00486832,3.68612612,285.49015407,0.78835096,0.96353629,147920922722.1944,17314.43071595,0.00485465,3.6861417,383.44768441,0.78834183,0.96354235
random_IR_0003.npz,random_IR_0003.npz,60.789,0.00077967,4,51,L1_STFT,4.55e-05,0.00217033,True,12.54968208,1.66311486,0.82521982,146467114469.3474,10722.8509386,0.00117037,1.30600232,10.35624643,0.93631186,0.98951858,186057982895.32712,18083.2530963,0.00134852,1.30600457,20.22819526,0.93630595,0.98952299
random_IR_0004.npz,random_IR_0004.npz,21.335,0.00031288,1,47,L1_STFT,2.43e-05,0.00015839,True,16.44110945,25.51204082,58.91938083,168853761923.24207,5417.82641224,0.00303463,3.41755838,968.69998897,0.58023138,0.97289356,164907916263.11115,4653.55920634,0.00284592,3.41755984,780.53137099,0.58024311,0.97288777
random_IR_0005.npz,random_IR_0005.npz,23.296,0.00049246,1,48,L1_STFT,8.55e-06,0.00390007,True,61.02495247,5.059821,5.84830984,90304342925.42255,18077.78791475,0.00337569,2.61337309,356.89282982,0.7885143,0.51920209,136791000829.13193,16985.59336136,0.00265865,2.61336013,264.56296655,0.78853263,0.519207
random_IR_0006.npz,random_IR_0006.npz,15.873,0.00081492,1,33,L1_STFT,1.207e-05,0.00155715,True,79.58777532,8.97685521,8.86293589,87092644745.37952,17611.61388902,0.00451905,2.8911669,705.38135066,0.68627399,0.72414959,171318505762.83295,20172.46387607,0.00344838,2.89114294,616.93782753,0.68615887,0.72414566
random_IR_0007.npz,random_IR_0007.npz,55.572,0.00024611,1,46,L1_STFT,1.17e-05,0.00021415,True,22.3785963,0.90281607,35.73303991,83995340814.62445,16059.16742573,0.00139351,3.12312615,799.65527473,0.57318487,0.66455534,99188531844.29764,15037.99194882,0.0012409,3.12313047,666.77004778,0.57317389,0.66455989
random_IR_0008.npz,random_IR_0008.npz,47.824,0.00039162,2,59,L1_STFT,6.83e-06,0.01200706,True,41.0948429,3.76182585,6.37166794,188330313244.90094,19587.59982897,0.002098,2.15476857,261.84269289,0.61238177,0.58903495,82612856044.4483,21011.42815551,0.00328079,2.15476124,438.60712745,0.61234961,0.58904166
random_IR_0009.npz,random_IR_0009.npz,110.946,0.00076465,10,32,L1_STFT,1.049e-05,0.00354135,True,29.26187711,4.6827598,32.98299517,110066112073.0669,12139.51107077,0.00241047,2.99402866,965.14435146,0.56411756,0.83158181,91322346297.76453,7025.20112963,0.00201317,2.99401414,466.31610975,0.56408382,0.8316015
random_IR_0010.npz,random_IR_0010.npz,63.036,0.0005651,4,52,L1_STFT,1.332e-05,0.00039481,True,26.86402935,1.29968298,11.56019907,153478899419.3247,19639.64694078,0.00136785,1.50072723,310.55352704,0.92061236,0.55710225,81856495196.33838,17864.67272114,0.00178633,1.50073056,368.73148341,0.920593,0.55708822
